Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2008,30,1935,WAS,Washington Wizards,22.0,NBA,SG,70.0,695.0,6.6,0.4,0.06,0.31,8.7,14.9,11.7,8.3,1.5,3.1,25.5,10.4,,-0.6,0.6,0.0,-0.0,,-4.4,0.1,-4.3,-0.4
2009,30,1935,WAS,Washington Wizards,23.0,NBA,SF,79.0,2072.0,10.8,0.48,0.01,0.32,6.2,18.4,12.1,13.8,1.6,2.9,20.0,10.1,,0.5,1.3,1.7,0.04,,-1.8,0.7,-1.1,0.5
2010,31,1935,TOT,Total After Trade,24.0,NBA,SF,51.0,307.0,3.8,0.34,0.0,0.14,8.5,21.3,14.8,5.1,0.8,1.0,23.6,10.6,,-0.5,0.3,-0.2,-0.04,,-5.7,-0.5,-6.2,-0.3
2010,30,1935,WAS,Washington Wizards,24.0,NBA,SF,41.0,240.0,4.2,0.36,0.0,0.12,8.0,21.4,14.6,4.8,0.9,1.0,19.2,9.9,,-0.3,0.2,-0.1,-0.02,,-5.6,-0.3,-5.9,-0.2
2010,26,1935,SAC,Sacramento Kings,24.0,NBA,SF,10.0,67.0,2.4,0.31,0.0,0.17,10.1,20.8,15.4,6.1,0.8,1.1,35.2,13.1,,-0.2,0.0,-0.2,-0.12,,-6.1,-1.3,-7.4,-0.1
2011,4,1935,CHA,Charlotte Bobcats,25.0,NBA,SF,52.0,760.0,10.4,0.44,0.01,0.21,10.0,21.8,15.9,9.0,0.7,3.5,11.2,13.8,,0.1,0.9,0.9,0.06,,-3.3,0.3,-2.9,-0.2
2012,10,1935,GSW,Golden State Warriors,26.0,NBA,PF,64.0,1127.0,11.8,0.49,0.02,0.25,7.4,17.4,12.4,14.0,2.0,2.5,19.4,11.8,,0.6,0.9,1.5,0.06,,-1.8,1.0,-0.8,0.3
2013,31,1935,TOT,Total After Trade,27.0,NBA,SF,26.0,387.0,7.7,0.42,0.0,0.18,5.7,18.4,12.0,7.5,1.8,2.3,16.6,8.7,,-0.1,0.4,0.3,0.04,,-3.7,1.3,-2.3,0.0
2013,28,1935,TOR,Toronto Raptors,27.0,NBA,SF,15.0,230.0,7.5,0.46,0.0,0.19,5.6,19.5,12.4,6.4,1.2,2.8,16.8,8.4,,0.0,0.2,0.2,0.04,,-3.8,1.0,-2.8,0.0
2013,19,1935,NOH,New Orleans Hornets,27.0,NBA,SF,9.0,145.0,9.1,0.43,0.0,0.1,5.7,17.6,11.5,9.1,3.0,1.7,18.6,8.6,,0.0,0.1,0.1,0.04,,-3.1,2.5,-0.6,0.0
2013,12,1935,IND,Indiana Pacers,27.0,NBA,SF,2.0,12.0,-6.0,0.0,0.0,0.67,9.5,9.1,9.3,11.5,0.0,0.0,0.0,14.7,,-0.1,0.0,-0.1,-0.24,,-9.1,-5.1,-14.2,0.0
