Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1984,23,PHI,Philadelphia 76Ers,Julius Erving,33,77,77,2683,12.2,23.8,0.51,0.1,0.4,0.33,12.1,23.4,0.52,6.5,8.7,0.75,3.4,6.1,9.6,5.6,2.5,2.5,4.1,3.9,31.0,,112,102
1984,23,PHI,Philadelphia 76Ers,Moses Malone,28,71,71,2613,9.8,20.3,0.48,0.0,0.1,0.0,9.8,20.2,0.48,10.1,13.4,0.75,6.5,11.0,17.5,1.8,1.3,2.0,4.6,3.5,29.7,,111,102
1984,23,PHI,Philadelphia 76Ers,Andrew Toney,26,78,72,2556,11.2,21.2,0.53,0.2,0.7,0.32,11.0,20.5,0.53,7.4,8.8,0.84,1.1,2.6,3.6,7.0,1.3,0.4,5.6,4.7,30.0,,110,109
1984,23,PHI,Philadelphia 76Ers,Maurice Cheeks,27,75,75,2494,7.5,13.6,0.55,0.2,0.4,0.4,7.3,13.2,0.55,3.3,4.5,0.73,0.9,3.1,4.0,9.2,3.3,0.4,3.5,3.8,18.4,,114,105
1984,23,PHI,Philadelphia 76Ers,Bobby Jones,32,75,0,1761,6.2,11.8,0.52,0.0,0.0,0.0,6.2,11.8,0.52,4.6,5.8,0.78,2.5,6.3,8.8,5.1,2.9,2.8,2.8,5.4,16.9,,116,101
1984,23,PHI,Philadelphia 76Ers,Clemon Johnson,27,80,10,1721,5.4,11.5,0.47,0.0,0.0,,5.4,11.5,0.47,1.9,3.2,0.61,3.7,7.5,11.2,1.5,1.0,1.8,2.7,5.7,12.7,,98,105
1984,23,PHI,Philadelphia 76Ers,Clint Richardson,27,69,12,1571,6.8,14.5,0.47,0.0,0.1,0.0,6.8,14.4,0.47,2.4,3.2,0.77,1.9,3.2,5.1,4.8,1.5,0.7,3.1,4.5,16.0,,101,108
1984,23,PHI,Philadelphia 76Ers,Marc Iavaroni,27,78,71,1532,4.7,10.1,0.46,0.0,0.1,0.0,4.7,10.1,0.47,3.1,4.1,0.74,2.9,6.9,9.8,3.0,1.1,1.7,3.9,7.0,12.4,,94,105
1984,23,PHI,Philadelphia 76Ers,Sam Williams,24,70,12,1375,6.8,14.2,0.48,0.0,0.0,0.0,6.8,14.2,0.48,3.0,4.7,0.65,4.1,7.3,11.4,2.1,2.2,3.6,3.4,7.1,16.6,,100,101
1984,23,PHI,Philadelphia 76Ers,Franklin Edwards,24,60,0,654,6.2,16.3,0.38,0.0,0.1,0.0,6.2,16.2,0.38,2.5,3.5,0.71,0.9,3.5,4.3,6.6,2.3,0.4,3.4,5.8,14.9,,90,106
1984,23,PHI,Philadelphia 76Ers,Sedale Threatt,22,45,0,464,6.4,15.4,0.42,0.1,0.8,0.12,6.3,14.5,0.44,2.4,2.9,0.82,1.8,2.4,4.2,4.3,1.4,0.2,3.4,6.8,15.4,,93,109
1984,23,PHI,Philadelphia 76Ers,Wes Matthews,24,14,5,292,7.4,16.7,0.45,0.2,1.2,0.14,7.3,15.5,0.47,1.5,2.3,0.64,1.0,2.8,3.8,10.2,1.8,0.3,5.0,5.3,16.5,,94,108
1984,23,PHI,Philadelphia 76Ers,Leo Rautins,23,28,3,196,5.2,14.3,0.36,0.0,0.0,,5.2,14.3,0.36,1.5,2.5,0.6,2.2,5.9,8.1,7.1,2.2,0.5,4.7,7.6,11.8,,81,105
1984,23,PHI,Philadelphia 76Ers,Bruce Kuczenski,22,3,2,40,1.2,9.6,0.12,0.0,0.0,,1.2,9.6,0.12,1.2,2.4,0.5,1.2,6.0,7.2,2.4,1.2,1.2,6.0,8.4,3.6,,36,106
1984,23,PHI,Philadelphia 76Ers,Charles Jones,26,1,0,3,0.0,16.1,0.0,0.0,0.0,,0.0,16.1,0.0,16.1,64.3,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,16.1,,42,113
