SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1984,21,SEA,Gus Williams,30,5,,43.0,10.0,19.6,0.51,0.4,1.2,0.33,9.6,18.4,0.52,0.52,3.0,4.2,0.71,0.4,2.0,2.4,11.4,1.6,0.6,2.8,1.4,23.4
1984,21,SEA,Jack Sikma,28,5,,38.6,9.8,19.6,0.5,0.0,0.2,0.0,9.8,19.4,0.5,0.5,2.4,2.8,0.86,2.2,8.0,10.2,1.0,0.6,1.4,1.8,4.4,22.0
1984,21,SEA,Tom Chambers,24,5,,38.2,5.6,11.8,0.48,0.0,0.2,0.0,5.6,11.6,0.48,0.48,2.4,3.6,0.67,0.8,5.8,6.6,1.6,1.0,0.6,1.8,4.6,13.6
1984,21,SEA,Al Wood,25,5,,31.4,5.2,11.2,0.46,0.0,0.2,0.0,5.2,11.0,0.47,0.46,1.6,2.4,0.67,1.4,5.4,6.8,2.0,0.2,0.2,1.4,3.2,12.0
1984,21,SEA,Danny Vranes,25,5,,29.4,3.2,7.8,0.41,0.0,0.2,0.0,3.2,7.6,0.42,0.41,0.8,1.4,0.57,3.2,4.4,7.6,2.2,0.6,1.2,1.0,4.8,7.2
1984,21,SEA,Reggie King,26,5,,18.2,1.0,2.4,0.42,0.0,0.0,,1.0,2.4,0.42,0.42,0.0,0.0,,1.2,2.2,3.4,1.2,0.4,0.6,1.4,2.8,2.0
1984,21,SEA,Fred Brown,35,5,,17.6,4.0,9.4,0.43,0.2,0.6,0.33,3.8,8.8,0.43,0.44,1.6,2.2,0.73,0.4,1.0,1.4,2.0,0.8,0.0,0.6,0.8,9.8
1984,21,SEA,Steve Hawes,33,5,,14.8,1.2,2.8,0.43,0.2,0.4,0.5,1.0,2.4,0.42,0.46,0.4,0.4,1.0,1.6,2.4,4.0,1.4,0.4,0.0,0.4,1.2,3.0
1984,21,SEA,Scooter McCray,23,4,,9.5,1.0,1.5,0.67,0.0,0.3,0.0,1.0,1.3,0.8,0.67,0.0,0.3,0.0,0.8,0.8,1.5,0.8,0.3,0.0,0.0,2.0,2.0
1984,21,SEA,Jon Sundvold,22,3,,7.3,1.0,2.7,0.38,0.0,1.0,0.0,1.0,1.7,0.6,0.38,0.7,0.7,1.0,0.3,0.3,0.7,1.7,0.0,0.0,0.3,0.3,2.7
1984,21,SEA,Clay Johnson,27,3,,3.0,0.7,1.3,0.5,0.0,0.3,0.0,0.7,1.0,0.67,0.5,0.0,0.0,,0.3,0.0,0.3,0.3,0.3,0.0,0.0,1.0,1.3
