Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
2011,13,267,LAC,Los Angeles Clippers,21.0,NBA,PG,81.0,25.0,1841.0,206.0,486.0,0.42,32.0,116.0,0.28,174.0,370.0,0.47,0.46,99.0,133.0,0.74,68.0,155.0,223.0,289.0,92.0,26.0,194.0,130.0,543.0,,0.0
2012,13,267,LAC,Los Angeles Clippers,22.0,NBA,PG,40.0,1.0,464.0,49.0,126.0,0.39,6.0,30.0,0.2,43.0,96.0,0.45,0.41,28.0,44.0,0.64,22.0,43.0,65.0,66.0,31.0,14.0,47.0,58.0,132.0,,0.0
2013,13,267,LAC,Los Angeles Clippers,23.0,NBA,PG,76.0,12.0,1553.0,253.0,568.0,0.44,31.0,78.0,0.4,222.0,490.0,0.45,0.47,106.0,134.0,0.79,78.0,147.0,225.0,233.0,109.0,55.0,137.0,112.0,643.0,,0.0
2014,24,267,PHO,Phoenix Suns,24.0,NBA,PG,43.0,40.0,1416.0,265.0,556.0,0.48,50.0,140.0,0.36,215.0,416.0,0.52,0.52,183.0,237.0,0.77,27.0,175.0,202.0,235.0,69.0,14.0,143.0,99.0,763.0,,0.0
2015,24,267,PHO,Phoenix Suns,25.0,NBA,PG,81.0,81.0,2800.0,468.0,1046.0,0.45,88.0,272.0,0.32,380.0,774.0,0.49,0.49,353.0,441.0,0.8,72.0,351.0,423.0,493.0,127.0,45.0,274.0,189.0,1377.0,,2.0
2016,24,267,PHO,Phoenix Suns,26.0,NBA,PG,31.0,31.0,1059.0,223.0,492.0,0.45,48.0,129.0,0.37,175.0,363.0,0.48,0.5,138.0,172.0,0.8,18.0,107.0,125.0,190.0,63.0,19.0,110.0,75.0,632.0,,0.0
2017,24,267,PHO,Phoenix Suns,27.0,NBA,PG,66.0,66.0,2176.0,449.0,1034.0,0.43,104.0,310.0,0.34,345.0,724.0,0.48,0.48,388.0,458.0,0.85,52.0,268.0,320.0,418.0,91.0,31.0,224.0,164.0,1390.0,,1.0
2018,31,267,TOT,Total After Trade,28.0,NBA,PG,74.0,74.0,2322.0,468.0,989.0,0.47,125.0,360.0,0.35,343.0,629.0,0.55,0.54,252.0,317.0,0.8,51.0,233.0,284.0,370.0,149.0,42.0,216.0,185.0,1313.0,,1.0
2018,24,267,PHO,Phoenix Suns,28.0,NBA,PG,3.0,3.0,83.0,16.0,40.0,0.4,4.0,13.0,0.31,12.0,27.0,0.44,0.45,11.0,14.0,0.79,3.0,4.0,7.0,9.0,4.0,2.0,10.0,6.0,47.0,,0.0
2018,17,267,MIL,Milwaukee Bucks,28.0,NBA,PG,71.0,71.0,2239.0,452.0,949.0,0.48,121.0,347.0,0.35,331.0,602.0,0.55,0.54,241.0,303.0,0.8,48.0,229.0,277.0,361.0,145.0,40.0,206.0,179.0,1266.0,,1.0
2019,17,267,MIL,Milwaukee Bucks,29.0,NBA,PG,78.0,78.0,2272.0,470.0,971.0,0.48,124.0,377.0,0.33,346.0,594.0,0.58,0.55,177.0,236.0,0.75,82.0,280.0,362.0,430.0,116.0,29.0,165.0,156.0,1241.0,,1.0
2020,17,267,MIL,Milwaukee Bucks,30.0,NBA,PG,61.0,61.0,1646.0,334.0,703.0,0.48,74.0,215.0,0.34,260.0,488.0,0.53,0.53,169.0,214.0,0.79,43.0,239.0,282.0,328.0,57.0,26.0,148.0,128.0,911.0,,0.0
2021,19,267,NOP,New Orleans Pelicans,31.0,NBA,SG,14.0,13.0,406.0,67.0,152.0,0.44,26.0,64.0,0.41,41.0,88.0,0.47,0.53,19.0,28.0,0.68,8.0,43.0,51.0,50.0,14.0,4.0,27.0,24.0,179.0,,0.0
