PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Brad Daugherty,27,9,9,356,9.7,17.4,0.557,0.0,0.0,,9.7,17.4,0.557,6.1,7.6,0.8,3.9,12.0,15.9,4.7,0.9,1.1,3.9,3.8,25.4,,115,106
Larry Nance,33,9,9,329,10.0,17.7,0.565,0.0,0.0,,10.0,17.7,0.565,3.8,4.9,0.767,5.7,6.4,12.1,3.4,1.3,2.3,1.0,5.4,23.7,,131,107
Craig Ehlo,31,9,9,289,7.1,17.0,0.418,1.9,4.8,0.385,5.2,12.1,0.431,2.2,2.8,0.8,1.9,3.9,5.8,4.7,2.2,0.7,3.2,3.5,18.3,,99,109
Mark Price,28,9,9,288,8.0,18.1,0.44299999999999995,1.5,4.9,0.308,6.5,13.3,0.493,4.3,4.5,0.958,0.2,3.4,3.6,10.3,2.8,0.0,6.2,2.4,21.9,,98,109
Hot Rod Williams,30,9,0,237,6.8,17.0,0.4,0.0,0.0,,6.8,17.0,0.4,4.8,6.4,0.75,2.7,6.6,9.3,3.9,1.1,3.2,2.5,5.9,18.4,,99,107
Gerald Wilkins,29,9,2,236,8.7,19.9,0.43700000000000006,0.9,2.7,0.33299999999999996,7.8,17.1,0.45299999999999996,3.0,3.9,0.765,1.4,2.3,3.7,5.5,2.1,0.5,2.5,3.7,21.2,,103,110
Mike Sanders,32,8,7,145,7.4,17.8,0.41700000000000004,0.0,0.7,0.0,7.4,17.1,0.435,2.2,3.7,0.6,3.0,3.7,6.7,3.7,3.0,0.4,1.1,6.3,17.1,,101,108
Terrell Brandon,22,8,0,132,8.2,18.8,0.435,0.8,2.0,0.4,7.3,16.7,0.439,3.7,3.7,1.0,1.6,5.3,6.9,6.9,2.9,1.2,5.7,2.4,20.8,,93,106
Danny Ferry,26,8,0,118,5.9,15.5,0.382,1.8,4.1,0.444,4.1,11.4,0.36,4.1,4.6,0.9,1.8,9.6,11.4,6.4,1.8,1.4,3.2,6.4,17.8,,104,105
Jay Guidinger,23,4,0,15,3.6,10.8,0.33299999999999996,0.0,0.0,,3.6,10.8,0.33299999999999996,0.0,7.2,0.0,3.6,0.0,3.6,0.0,0.0,3.6,7.2,3.6,7.2,,42,113
Bobby Phills,23,2,0,9,6.0,18.0,0.33299999999999996,0.0,0.0,,6.0,18.0,0.33299999999999996,12.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,23.9,,89,117
John Battle,30,1,0,6,0.0,9.0,0.0,0.0,0.0,,0.0,9.0,0.0,0.0,0.0,,0.0,9.0,9.0,9.0,0.0,0.0,18.0,18.0,0.0,,16,110
