PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Rod Strickland,26,4,4,156,7.4,17.5,0.423,0.0,0.3,0.0,7.4,17.2,0.431,3.4,4.0,0.833,3.0,5.7,8.8,12.5,1.7,0.7,2.4,3.4,18.2,,113,105
Terry Porter,29,4,4,152,9.3,23.5,0.397,1.0,6.6,0.158,8.3,17.0,0.49,3.1,3.8,0.818,1.4,5.5,6.9,2.8,1.4,0.0,2.1,3.5,22.8,,99,106
Clifford Robinson,26,4,0,131,6.4,24.5,0.262,0.0,0.4,0.0,6.4,24.1,0.267,3.6,8.8,0.409,4.0,2.8,6.8,2.4,2.4,2.8,3.2,6.8,16.5,,69,104
Buck Williams,32,4,4,119,4.9,10.2,0.478,0.0,0.0,,4.9,10.2,0.478,5.7,8.4,0.684,5.3,7.5,12.8,0.4,0.4,1.3,2.7,5.3,15.5,,110,106
Clyde Drexler,30,3,3,116,8.2,19.5,0.419,2.3,5.4,0.41700000000000004,5.9,14.1,0.419,7.3,9.1,0.8,3.6,5.0,8.6,6.4,2.3,1.4,1.4,4.1,25.9,,127,104
Jerome Kersey,30,4,1,98,11.8,22.6,0.524,0.5,0.5,1.0,11.3,22.0,0.512,6.4,9.1,0.706,5.4,12.9,18.3,2.1,2.1,1.1,1.1,8.1,30.6,,127,98
Mark Bryant,27,4,4,83,10.8,23.5,0.45899999999999996,0.0,0.0,,10.8,23.5,0.45899999999999996,3.2,3.2,1.0,6.3,5.1,11.4,0.0,0.0,1.9,3.8,8.9,24.7,,100,108
Kevin Duckworth,28,4,0,58,6.4,19.1,0.33299999999999996,0.0,0.0,,6.4,19.1,0.33299999999999996,3.6,3.6,1.0,3.6,8.2,11.8,2.7,0.0,0.9,5.4,10.9,16.3,,78,106
Mario Elie,29,4,0,52,5.1,10.1,0.5,2.0,2.0,1.0,3.0,8.1,0.375,8.1,9.1,0.889,2.0,4.0,6.1,4.0,2.0,1.0,5.1,1.0,20.2,,116,105
Joe Wolf,28,2,0,20,2.6,5.3,0.5,0.0,0.0,,2.6,5.3,0.5,0.0,0.0,,5.3,5.3,10.5,0.0,0.0,2.6,0.0,2.6,5.3,,135,107
