PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Reggie Miller,27,4,4,175,12.1,22.8,0.5329999999999999,3.0,5.8,0.526,9.1,17.0,0.536,10.9,11.5,0.9470000000000001,1.2,2.4,3.6,3.3,0.9,0.0,3.0,3.3,38.3,,130,115
Detlef Schrempf,30,4,4,165,8.1,17.4,0.46299999999999997,0.0,0.6,0.0,8.1,16.7,0.48100000000000004,9.0,11.6,0.778,1.0,6.4,7.4,9.3,0.3,0.6,5.5,4.5,25.1,,105,112
Rik Smits,26,4,4,143,13.7,23.8,0.578,0.0,0.4,0.0,13.7,23.4,0.5870000000000001,5.9,8.2,0.727,4.8,7.1,11.9,2.6,1.9,1.5,3.0,6.7,33.4,,118,108
Dale Davis,23,4,4,117,3.6,5.5,0.667,0.0,0.0,,3.6,5.5,0.667,0.5,1.8,0.25,1.8,12.7,14.5,1.8,1.8,1.8,1.4,6.8,7.7,,111,103
Pooh Richardson,26,4,1,95,3.4,8.4,0.4,0.6,0.6,1.0,2.8,7.8,0.35700000000000004,2.2,3.4,0.667,0.6,5.6,6.2,12.9,1.1,0.0,3.4,3.9,9.5,,105,112
Vern Fleming,30,3,3,80,8.0,17.9,0.444,1.3,2.7,0.5,6.6,15.3,0.435,2.7,2.7,1.0,0.7,2.7,3.3,2.0,1.3,0.7,3.3,4.0,19.9,,93,113
George McCloud,25,4,0,79,5.4,15.5,0.348,1.3,8.1,0.16699999999999998,4.0,7.4,0.545,0.7,2.7,0.25,2.0,5.4,7.4,9.4,2.7,0.7,3.4,9.4,12.8,,88,108
LaSalle Thompson,31,4,0,73,3.6,10.9,0.33299999999999996,0.0,0.0,,3.6,10.9,0.33299999999999996,3.6,4.4,0.833,5.1,5.1,10.2,2.2,2.2,1.5,2.9,6.6,10.9,,94,109
Sam Mitchell,29,4,0,25,10.6,17.0,0.625,0.0,0.0,,10.6,17.0,0.625,4.3,4.3,1.0,0.0,2.1,2.1,0.0,0.0,0.0,4.3,8.5,25.5,,104,117
Malik Sealy,22,3,0,18,0.0,14.8,0.0,0.0,3.0,0.0,0.0,11.8,0.0,5.9,5.9,1.0,5.9,0.0,5.9,0.0,0.0,0.0,3.0,3.0,5.9,,54,119
Kenny Williams,23,2,0,11,4.8,4.8,1.0,0.0,0.0,,4.8,4.8,1.0,0.0,9.7,0.0,0.0,0.0,0.0,9.7,0.0,9.7,4.8,4.8,9.7,,81,111
Greg Dreiling,30,2,0,4,13.3,13.3,1.0,13.3,13.3,1.0,0.0,0.0,,0.0,0.0,,0.0,13.3,13.3,0.0,0.0,0.0,0.0,13.3,39.9,,300,107
