PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
David Robinson,27,10,10,421,9.7,20.8,0.465,0.0,0.1,0.0,9.7,20.7,0.467,8.9,13.5,0.664,3.6,11.9,15.4,4.9,1.2,4.4,3.1,4.8,28.3,,111,101
Sean Elliott,24,10,10,381,8.0,16.9,0.47200000000000003,0.4,1.9,0.214,7.6,15.0,0.505,5.0,5.4,0.925,1.1,5.4,6.5,4.9,1.1,0.4,3.0,3.0,21.4,,109,109
Avery Johnson,27,10,10,314,5.9,11.5,0.514,0.0,0.2,0.0,5.9,11.3,0.522,1.6,2.3,0.7140000000000001,1.3,3.8,5.1,13.3,1.6,0.2,3.8,4.4,13.5,,109,110
Dale Ellis,32,10,10,305,8.6,19.1,0.451,1.7,5.4,0.313,6.9,13.7,0.506,2.2,2.7,0.813,1.5,4.4,5.9,1.9,0.7,0.0,1.7,4.2,21.1,,106,111
J.R. Reid,24,10,2,220,6.8,14.1,0.483,0.0,0.5,0.0,6.8,13.6,0.5,6.3,8.2,0.7709999999999999,3.8,8.0,11.7,3.5,1.9,1.9,3.0,7.3,19.9,,112,104
Willie Anderson,26,10,0,219,8.7,19.3,0.451,1.4,2.6,0.545,7.3,16.7,0.43700000000000006,3.5,4.0,0.882,0.9,4.5,5.4,6.6,2.1,0.5,2.8,5.4,22.4,,108,108
Antoine Carr,31,8,8,171,11.8,22.3,0.527,0.0,0.0,,11.8,22.3,0.527,1.8,3.0,0.6,3.9,7.5,11.5,2.7,0.9,2.7,2.1,8.4,25.3,,109,106
Terry Cummings,31,10,0,138,11.6,26.2,0.44299999999999995,0.0,0.4,0.0,11.6,25.8,0.449,1.9,3.0,0.625,6.4,8.2,14.6,1.9,1.1,0.4,3.0,10.1,25.0,,97,107
Vinny Del Negro,26,8,0,112,7.8,17.5,0.447,0.9,4.1,0.222,6.9,13.4,0.517,1.8,1.8,1.0,2.8,6.0,8.7,11.1,0.5,0.5,1.4,6.0,18.4,,121,110
Lloyd Daniels,25,8,0,74,7.7,20.9,0.36700000000000005,0.7,4.9,0.14300000000000002,7.0,16.0,0.435,3.5,4.2,0.833,6.3,4.2,10.5,1.4,2.1,0.0,3.5,5.6,19.5,,92,108
Larry Smith,35,6,0,50,2.1,3.1,0.667,0.0,0.0,,2.1,3.1,0.667,3.1,4.1,0.75,8.3,8.3,16.5,1.0,4.1,2.1,1.0,16.5,7.2,,152,99
David Wood,28,5,0,20,5.2,10.3,0.5,2.6,2.6,1.0,2.6,7.7,0.33299999999999996,0.0,0.0,,2.6,5.2,7.7,2.6,0.0,0.0,0.0,18.0,12.9,,143,111
