NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
12,Steven Adams,C,6-11,265,1993-07-20,NZ,2,Pitt
14,D.J. Augustin,PG,5-11,183,1987-11-10,US,7,Texas
4,Nick Collison,PF,6-10,255,1980-10-26,US,11,Kansas
35,Kevin Durant,SF,6-10,240,1988-09-29,US,8,Texas
6,Randy Foye,SG,6-4,213,1983-09-24,US,9,Villanova
34,Josh Huestis,PF,6-7,230,1991-12-19,US,R,Stanford
9,Serge Ibaka,PF,7-0,235,1989-09-18,CG,6,
11,Enes Kanter,C,6-10,250,1992-05-20,CH,4,
33,Mitch McGary,PF,6-10,255,1992-06-06,US,1,Michigan
13,Nazr Mohammed,C,6-10,221,1977-09-05,US,17,Kentucky
2,Anthony Morrow,SG,6-5,210,1985-09-27,US,7,Georgia Tech
6,Steve Novak,PF,6-10,225,1983-06-13,US,9,Marquette
22,Cameron Payne,PG,6-3,190,1994-08-08,US,R,Murray State
21,Andre Roberson,SG,6-7,210,1991-12-04,US,2,Colorado
5,Kyle Singler,SF,6-8,228,1988-05-04,US,3,Duke
3,Dion Waiters,SG,6-3,215,1991-12-10,US,3,Syracuse
0,Russell Westbrook,PG,6-3,200,1988-11-12,US,7,UCLA
