SEASON,TEAM ID,TEAM,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
2016,8,DEN,0,Darrell Arthur,PF,6-9,235,1988-03-25,US,6,Kansas
2016,8,DEN,12,D.J. Augustin,PG,5-11,183,1987-11-10,US,7,Texas
2016,8,DEN,5,Will Barton,SG,6-5,181,1991-01-06,US,3,Memphis
2016,8,DEN,35,Kenneth Faried,PF,6-8,220,1989-11-19,US,4,Morehead State University
2016,8,DEN,4,Randy Foye,SG,6-4,213,1983-09-24,US,9,Villanova
2016,8,DEN,8,Danilo Gallinari,SF,6-10,233,1988-08-08,IT,6,
2016,8,DEN,11,Erick Green,PG,6-4,185,1991-05-09,US,1,Virginia Tech
2016,8,DEN,14,Gary Harris,SG,6-4,210,1994-09-14,US,1,Michigan State
2016,8,DEN,7,J.J. Hickson,C,6-9,242,1988-09-04,US,7,NC State
2016,8,DEN,15,Nikola Jokic,C,7-0,284,1995-02-19,RS,R,
2016,8,DEN,6,Sean Kilpatrick,SG,6-4,210,1990-01-06,US,1,Cincinnati
2016,8,DEN,77,Joffrey Lauvergne,C,6-11,220,1991-09-30,FR,1,
2016,8,DEN,3,Mike Miller,SF,6-8,218,1980-02-19,US,15,Florida
2016,8,DEN,0,Emmanuel Mudiay,PG,6-3,200,1996-03-05,CD,R,
2016,8,DEN,1,Jameer Nelson,PG,6-0,190,1982-02-09,US,11,Saint Joseph's
2016,8,DEN,23,Jusuf Nurkic,C,7-0,290,1994-08-23,BA,1,
2016,8,DEN,16,Kostas Papanikolaou,SF,6-8,225,1990-07-31,GR,1,
2016,8,DEN,9,JaKarr Sampson,SF,6-7,214,1993-03-20,US,1,St. John's
2016,8,DEN,6,Axel Toupane,SF,6-7,197,1992-07-23,FR,R,
