Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1984,5.0,3079,CHI,Charlotte Bobcats,21.0,NBA,PG,80.0,73.0,2159.0,5.8,12.4,0.47,0.0,0.0,0.0,5.8,12.3,0.47,3.3,4.5,0.73,1.4,3.0,4.4,14.8,2.7,0.4,6.0,5.0,14.9,,98.0,108.0
1985,5.0,3079,CHI,Charlotte Bobcats,22.0,NBA,PG,70.0,44.0,1385.0,4.9,10.9,0.45,0.0,0.3,0.11,4.8,10.6,0.46,2.4,3.0,0.79,1.2,2.3,3.5,13.3,2.3,0.3,5.0,4.9,12.2,,99.0,111.0
1986,31.0,3079,TOT,Total After Trade,23.0,NBA,PG,14.0,1.0,107.0,6.6,15.5,0.43,0.0,0.0,,6.6,15.5,0.43,2.2,4.4,0.5,1.8,4.4,6.2,10.2,2.2,0.4,4.4,4.4,15.5,,92.0,108.0
1986,6.0,3079,CLE,Cleveland Cavaliers,23.0,NBA,PG,8.0,0.0,66.0,6.4,13.6,0.47,0.0,0.0,,6.4,13.6,0.47,2.9,5.0,0.57,1.4,3.6,5.0,9.3,3.6,0.0,4.3,5.7,15.7,,98.0,107.0
1986,,3079,WSB,None,23.0,NBA,PG,4.0,0.0,27.0,9.0,25.1,0.36,0.0,0.0,,9.0,25.1,0.36,1.8,5.4,0.33,3.6,9.0,12.6,12.6,0.0,1.8,0.0,1.8,19.7,,101.0,106.0
1986,27.0,3079,SAS,San Antonio Spurs,23.0,NBA,PG,2.0,1.0,14.0,3.3,6.6,0.5,0.0,0.0,,3.3,6.6,0.5,0.0,0.0,,0.0,0.0,0.0,9.9,0.0,0.0,13.2,3.3,6.6,,50.0,117.0
1987,,3079,WSB,None,24.0,NBA,PG,73.0,72.0,1816.0,6.5,13.6,0.48,0.0,0.1,0.0,6.5,13.5,0.48,3.3,4.4,0.76,1.5,3.6,5.1,10.3,2.4,0.3,3.6,4.5,16.3,,108.0,109.0
1988,1.0,3079,ATL,Atlanta Hawks,25.0,NBA,PG,5.0,0.0,24.0,8.3,18.7,0.44,0.0,0.0,,8.3,18.7,0.44,6.2,8.3,0.75,0.0,8.3,8.3,4.2,4.2,0.0,8.3,6.2,22.8,,81.0,102.0
1989,13.0,3079,LAC,Los Angeles Clippers,26.0,NBA,PG,8.0,0.0,90.0,6.1,16.9,0.36,0.0,0.0,,6.1,16.9,0.36,5.1,5.6,0.91,1.0,7.1,8.2,11.2,3.6,0.5,5.6,7.7,17.4,,91.0,106.0
1992,25.0,3079,POR,Portland Trail Blazers,29.0,NBA,PG,23.0,0.0,209.0,4.9,11.8,0.41,0.0,0.9,0.0,4.9,10.9,0.45,6.3,7.2,0.87,1.4,3.5,4.9,7.9,3.2,0.7,3.2,2.8,16.0,,112.0,104.0
1994,1.0,3079,ATL,Atlanta Hawks,31.0,NBA,PG,82.0,1.0,1004.0,6.1,12.0,0.51,0.0,0.3,0.0,6.1,11.7,0.52,2.6,3.3,0.79,1.1,3.9,5.0,9.2,3.0,0.1,4.0,4.7,14.8,,105.0,103.0
1995,1.0,3079,ATL,Atlanta Hawks,32.0,NBA,PG,27.0,2.0,292.0,4.4,9.7,0.45,0.4,1.5,0.25,4.0,8.2,0.49,3.7,5.9,0.62,1.6,3.8,5.5,9.9,3.5,0.0,3.5,6.8,12.8,,108.0,105.0
1997,25.0,3079,POR,Portland Trail Blazers,34.0,NBA,PG,3.0,0.0,22.0,4.8,9.6,0.5,0.0,0.0,,4.8,9.6,0.5,0.0,0.0,,0.0,7.2,7.2,7.2,0.0,0.0,2.4,12.0,9.6,,103.0,107.0
