Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
2010,21,1182,OKC,Oklahoma City Thunder,20.0,NBA,SG,6.0,0.0,120.0,12.0,31.0,0.39,6.0,16.0,0.38,6.0,15.0,0.4,0.48,16.0,19.0,0.84,1.0,14.0,15.0,11.0,6.0,1.0,3.0,14.0,46.0,,0.0
2011,21,1182,OKC,Oklahoma City Thunder,21.0,NBA,SG,17.0,0.0,537.0,66.0,139.0,0.48,23.0,76.0,0.3,43.0,63.0,0.68,0.56,66.0,80.0,0.82,10.0,81.0,91.0,61.0,21.0,13.0,28.0,48.0,221.0,,0.0
2012,21,1182,OKC,Oklahoma City Thunder,22.0,NBA,SG,20.0,0.0,630.0,93.0,214.0,0.44,32.0,78.0,0.41,61.0,136.0,0.45,0.51,108.0,126.0,0.86,13.0,89.0,102.0,68.0,31.0,2.0,42.0,67.0,326.0,,0.0
2013,11,1182,HOU,Houston Rockets,23.0,NBA,SG,6.0,6.0,243.0,45.0,115.0,0.39,15.0,44.0,0.34,30.0,71.0,0.42,0.46,53.0,66.0,0.8,5.0,35.0,40.0,27.0,12.0,6.0,27.0,18.0,158.0,,0.0
2014,11,1182,HOU,Houston Rockets,24.0,NBA,SG,6.0,6.0,263.0,50.0,133.0,0.38,16.0,54.0,0.3,34.0,79.0,0.43,0.44,45.0,50.0,0.9,5.0,23.0,28.0,35.0,12.0,1.0,21.0,21.0,161.0,,0.0
2015,11,1182,HOU,Houston Rockets,25.0,NBA,SG,17.0,17.0,636.0,129.0,294.0,0.44,41.0,107.0,0.38,88.0,187.0,0.47,0.51,163.0,178.0,0.92,12.0,85.0,97.0,128.0,28.0,7.0,77.0,49.0,462.0,,1.0
2016,11,1182,HOU,Houston Rockets,26.0,NBA,SG,5.0,5.0,193.0,41.0,100.0,0.41,13.0,42.0,0.31,28.0,58.0,0.48,0.48,38.0,45.0,0.84,7.0,19.0,26.0,38.0,12.0,1.0,26.0,13.0,133.0,,0.0
2017,11,1182,HOU,Houston Rockets,27.0,NBA,PG,11.0,11.0,407.0,90.0,218.0,0.41,32.0,115.0,0.28,58.0,103.0,0.56,0.49,101.0,115.0,0.88,7.0,53.0,60.0,93.0,21.0,5.0,59.0,43.0,313.0,,1.0
2018,11,1182,HOU,Houston Rockets,28.0,NBA,SG,17.0,17.0,621.0,158.0,385.0,0.41,52.0,174.0,0.3,106.0,211.0,0.5,0.48,118.0,133.0,0.89,14.0,75.0,89.0,116.0,38.0,11.0,65.0,46.0,486.0,,0.0
2019,11,1182,HOU,Houston Rockets,29.0,NBA,PG,11.0,11.0,424.0,109.0,264.0,0.41,48.0,137.0,0.35,61.0,127.0,0.48,0.5,82.0,98.0,0.84,9.0,67.0,76.0,73.0,24.0,10.0,51.0,41.0,348.0,,1.0
2020,11,1182,HOU,Houston Rockets,30.0,NBA,SG,12.0,12.0,448.0,109.0,228.0,0.48,39.0,117.0,0.33,70.0,111.0,0.63,0.56,98.0,116.0,0.84,12.0,55.0,67.0,92.0,18.0,10.0,45.0,43.0,355.0,,0.0
