SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1991,10,GSW,Chris Mullin,27,82,82,40.4,9.5,17.7,0.54,0.5,1.6,0.3,9.0,16.0,0.56,0.55,6.3,7.1,0.88,1.7,3.7,5.4,4.0,2.1,0.8,3.0,2.1,25.7
1991,10,GSW,Mitch Richmond,25,77,77,39.3,9.1,18.5,0.49,0.5,1.5,0.35,8.6,17.0,0.51,0.51,5.1,6.0,0.85,1.9,4.0,5.9,3.1,1.6,0.4,3.0,2.7,23.9
1991,10,GSW,Tim Hardaway,24,82,82,39.2,9.0,18.9,0.48,1.2,3.1,0.38,7.8,15.8,0.49,0.51,3.7,4.6,0.8,1.1,3.0,4.0,9.7,2.6,0.1,3.3,2.8,22.9
1991,10,GSW,Rod Higgins,31,82,9,24.7,3.2,6.8,0.46,0.9,2.7,0.33,2.3,4.1,0.55,0.53,2.3,2.8,0.82,1.3,3.0,4.3,1.4,0.6,0.5,0.8,2.4,9.5
1991,10,GSW,Tom Tolbert,25,62,32,22.1,3.0,7.0,0.42,0.1,0.3,0.33,2.8,6.6,0.43,0.43,2.0,2.8,0.74,1.4,3.0,4.4,1.2,0.6,0.6,1.3,3.1,8.1
1991,10,GSW,Mario Elie,27,30,0,20.8,2.6,5.1,0.51,0.1,0.3,0.38,2.5,4.8,0.51,0.52,2.5,2.9,0.85,1.5,2.1,3.6,1.5,0.6,0.3,0.9,2.8,7.7
1991,10,GSW,Alton Lister,32,77,65,20.2,2.4,5.1,0.48,0.0,0.0,0.0,2.4,5.1,0.48,0.48,1.5,2.6,0.57,1.6,4.7,6.3,1.2,0.3,1.2,1.4,3.7,6.4
1991,10,GSW,AarAnas MarAiulionis,26,50,10,19.7,3.7,7.3,0.5,0.0,0.1,0.17,3.6,7.2,0.51,0.5,3.6,4.9,0.72,1.0,1.3,2.4,1.7,1.2,0.1,1.5,2.7,10.9
1991,10,GSW,Tyrone Hill,22,74,22,16.1,2.0,4.0,0.49,0.0,0.0,,2.0,4.0,0.49,0.49,1.3,2.1,0.63,2.1,3.1,5.2,0.3,0.4,0.4,1.0,3.6,5.3
1991,10,GSW,Jim Petersen,28,62,21,13.5,1.8,3.8,0.48,0.0,0.1,0.25,1.8,3.7,0.49,0.48,0.8,1.2,0.66,1.1,2.1,3.2,0.4,0.2,0.7,0.8,2.5,4.5
1991,10,GSW,Kevin Pritchard,23,62,1,12.5,1.4,3.7,0.38,0.1,0.5,0.16,1.3,3.2,0.42,0.4,1.0,1.2,0.8,0.3,0.8,1.0,1.3,0.5,0.1,1.0,1.7,3.9
1991,10,GSW,Vincent Askew,24,7,0,12.1,1.7,3.6,0.48,0.0,0.0,,1.7,3.6,0.48,0.48,1.3,1.6,0.82,1.0,0.6,1.6,1.9,0.3,0.0,0.9,3.0,4.7
1991,10,GSW,Steve Johnson,33,24,8,9.5,1.4,2.6,0.54,0.0,0.0,,1.4,2.6,0.54,0.54,0.9,1.5,0.6,0.8,1.6,2.4,0.7,0.2,0.2,1.0,2.1,3.8
1991,10,GSW,Paul Mokeski,34,36,1,7.1,0.6,1.6,0.36,0.1,0.3,0.33,0.5,1.4,0.36,0.38,0.3,0.4,0.8,0.6,1.3,1.9,0.3,0.2,0.1,0.2,1.6,1.6
1991,10,GSW,Larry Robinson,23,24,0,7.1,1.0,2.5,0.41,0.0,0.0,,1.0,2.5,0.41,0.41,0.3,0.6,0.53,0.6,0.3,1.0,0.5,0.4,0.0,0.7,1.0,2.3
1991,10,GSW,Les Jepsen,23,21,0,5.0,0.5,1.7,0.31,0.0,0.0,0.0,0.5,1.7,0.31,0.31,0.3,0.4,0.67,0.8,1.0,1.8,0.0,0.0,0.1,0.1,0.8,1.3
1991,10,GSW,Mike Smrek,28,5,0,5.0,1.2,2.2,0.55,0.0,0.0,,1.2,2.2,0.55,0.55,0.4,0.8,0.5,0.6,0.8,1.4,0.2,0.4,0.0,0.4,1.8,2.8
1991,10,GSW,Bart Kofoed,26,5,0,4.2,0.0,0.6,0.0,0.0,0.0,,0.0,0.6,0.0,0.0,0.6,1.2,0.5,0.4,0.2,0.6,0.8,0.0,0.0,0.4,0.8,0.6
