Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1996,28,2768,TOR,Toronto Raptors,22.0,NBA,PG,70.0,70.0,2865.0,481.0,1129.0,0.43,133.0,337.0,0.4,348.0,792.0,0.44,0.48,236.0,296.0,0.8,59.0,222.0,281.0,653.0,98.0,19.0,267.0,166.0,1331.0,,1.0
1997,28,2768,TOR,Toronto Raptors,23.0,NBA,PG,81.0,81.0,3311.0,564.0,1407.0,0.4,176.0,496.0,0.36,388.0,911.0,0.43,0.46,330.0,401.0,0.82,86.0,244.0,330.0,709.0,123.0,13.0,288.0,162.0,1634.0,,2.0
1998,31,2768,TOT,Total After Trade,24.0,NBA,PG,71.0,71.0,2839.0,448.0,1091.0,0.41,91.0,304.0,0.3,357.0,787.0,0.45,0.45,238.0,287.0,0.83,87.0,211.0,298.0,580.0,113.0,7.0,223.0,150.0,1225.0,,0.0
1998,28,2768,TOR,Toronto Raptors,24.0,NBA,PG,49.0,49.0,2033.0,354.0,833.0,0.42,65.0,205.0,0.32,289.0,628.0,0.46,0.46,179.0,212.0,0.84,63.0,154.0,217.0,399.0,80.0,5.0,159.0,112.0,952.0,,0.0
1998,25,2768,POR,Portland Trail Blazers,24.0,NBA,PG,22.0,22.0,806.0,94.0,258.0,0.36,26.0,99.0,0.26,68.0,159.0,0.43,0.42,59.0,75.0,0.79,24.0,57.0,81.0,181.0,33.0,2.0,64.0,38.0,273.0,,0.0
1999,25,2768,POR,Portland Trail Blazers,25.0,NBA,PG,50.0,50.0,1673.0,249.0,629.0,0.4,44.0,142.0,0.31,205.0,487.0,0.42,0.43,89.0,122.0,0.73,41.0,126.0,167.0,312.0,49.0,4.0,110.0,81.0,631.0,,0.0
2001,25,2768,POR,Portland Trail Blazers,27.0,NBA,PG,82.0,82.0,2655.0,406.0,935.0,0.43,82.0,219.0,0.37,324.0,716.0,0.45,0.48,172.0,207.0,0.83,69.0,234.0,303.0,468.0,106.0,8.0,191.0,202.0,1066.0,,1.0
2002,25,2768,POR,Portland Trail Blazers,28.0,NBA,PG,75.0,71.0,2796.0,369.0,918.0,0.4,104.0,295.0,0.35,265.0,623.0,0.42,0.46,174.0,196.0,0.89,78.0,214.0,292.0,490.0,67.0,7.0,149.0,153.0,1016.0,,0.0
2003,25,2768,POR,Portland Trail Blazers,29.0,NBA,PG,59.0,27.0,1315.0,156.0,415.0,0.38,44.0,114.0,0.39,112.0,301.0,0.37,0.43,53.0,67.0,0.79,40.0,115.0,155.0,204.0,39.0,6.0,82.0,67.0,409.0,,0.0
2004,25,2768,POR,Portland Trail Blazers,30.0,NBA,PG,82.0,82.0,3118.0,408.0,1018.0,0.4,156.0,427.0,0.36,252.0,591.0,0.43,0.48,127.0,145.0,0.88,52.0,256.0,308.0,500.0,99.0,9.0,180.0,173.0,1099.0,,0.0
2005,25,2768,POR,Portland Trail Blazers,31.0,NBA,PG,81.0,70.0,2762.0,457.0,1165.0,0.39,181.0,490.0,0.37,276.0,675.0,0.41,0.47,182.0,199.0,0.92,56.0,254.0,310.0,458.0,86.0,2.0,164.0,158.0,1277.0,,2.0
2006,15,2768,MEM,Memphis Grizzlies,32.0,NBA,PG,27.0,27.0,862.0,114.0,287.0,0.4,36.0,104.0,0.35,78.0,183.0,0.43,0.46,53.0,62.0,0.86,23.0,72.0,95.0,128.0,19.0,1.0,55.0,49.0,317.0,,0.0
2007,15,2768,MEM,Memphis Grizzlies,33.0,NBA,PG,62.0,51.0,1501.0,171.0,437.0,0.39,59.0,175.0,0.34,112.0,262.0,0.43,0.46,66.0,83.0,0.8,31.0,108.0,139.0,299.0,47.0,2.0,101.0,95.0,467.0,,0.0
2008,31,2768,TOT,Total After Trade,34.0,NBA,PG,60.0,33.0,1037.0,120.0,337.0,0.36,50.0,149.0,0.34,70.0,188.0,0.37,0.43,27.0,34.0,0.79,20.0,98.0,118.0,165.0,30.0,2.0,80.0,76.0,317.0,,0.0
2008,15,2768,MEM,Memphis Grizzlies,34.0,NBA,PG,29.0,29.0,624.0,77.0,194.0,0.4,36.0,94.0,0.38,41.0,100.0,0.41,0.49,21.0,26.0,0.81,14.0,57.0,71.0,112.0,19.0,0.0,50.0,46.0,211.0,,0.0
2008,27,2768,SAS,San Antonio Spurs,34.0,NBA,PG,31.0,4.0,413.0,43.0,143.0,0.3,14.0,55.0,0.26,29.0,88.0,0.33,0.35,6.0,8.0,0.75,6.0,41.0,47.0,53.0,11.0,2.0,30.0,30.0,106.0,,0.0
