Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
1985,29,2760,UTA,Utah Jazz,John Stockton,"March 26, 1962",22.0,NBA,PG,10,0,186,21,45,0.47,0,2,0.0,21,43,0.49,0.47,26,35,0.74,7,21,28,43,11,2,16,30,68,0
1986,29,2760,UTA,Utah Jazz,John Stockton,"March 26, 1962",23.0,NBA,PG,4,0,73,9,17,0.53,1,1,1.0,8,16,0.5,0.56,8,9,0.89,3,3,6,14,5,0,4,10,27,0
1987,29,2760,UTA,Utah Jazz,John Stockton,"March 26, 1962",24.0,NBA,PG,5,2,157,18,29,0.62,4,5,0.8,14,24,0.58,0.69,10,13,0.77,2,9,11,40,15,1,11,18,50,0
1988,29,2760,UTA,Utah Jazz,John Stockton,"March 26, 1962",25.0,NBA,PG,11,11,478,68,134,0.51,4,14,0.29,64,120,0.53,0.52,75,91,0.82,14,31,45,163,37,3,48,36,215,0
1989,29,2760,UTA,Utah Jazz,John Stockton,"March 26, 1962",26.0,NBA,PG,3,3,139,30,59,0.51,3,4,0.75,27,55,0.49,0.53,19,21,0.9,2,8,10,41,11,5,11,15,82,0
1990,29,2760,UTA,Utah Jazz,John Stockton,"March 26, 1962",27.0,NBA,PG,5,5,194,29,69,0.42,1,13,0.08,28,56,0.5,0.43,16,20,0.8,4,12,16,75,6,0,14,20,75,0
1991,29,2760,UTA,Utah Jazz,John Stockton,"March 26, 1962",28.0,NBA,PG,9,9,373,58,108,0.54,11,27,0.41,47,81,0.58,0.59,37,44,0.84,10,32,42,124,20,2,32,33,164,0
1992,29,2760,UTA,Utah Jazz,John Stockton,"March 26, 1962",29.0,NBA,PG,16,16,623,77,182,0.42,18,58,0.31,59,124,0.48,0.47,65,78,0.83,10,37,47,217,34,5,58,38,237,0
1993,29,2760,UTA,Utah Jazz,John Stockton,"March 26, 1962",30.0,NBA,PG,5,5,193,23,51,0.45,5,13,0.38,18,38,0.47,0.5,15,18,0.83,5,7,12,55,12,0,15,16,66,0
1994,29,2760,UTA,Utah Jazz,John Stockton,"March 26, 1962",31.0,NBA,PG,16,16,597,88,193,0.46,4,24,0.17,84,169,0.5,0.47,51,63,0.81,14,38,52,157,27,8,40,44,231,0
1995,29,2760,UTA,Utah Jazz,John Stockton,"March 26, 1962",32.0,NBA,PG,5,5,193,34,74,0.46,8,20,0.4,26,54,0.48,0.51,13,17,0.76,6,11,17,51,7,1,14,13,89,0
1996,29,2760,UTA,Utah Jazz,John Stockton,"March 26, 1962",33.0,NBA,PG,18,18,679,70,157,0.45,11,38,0.29,59,119,0.5,0.48,48,59,0.81,14,44,58,195,29,7,58,50,199,0
1997,29,2760,UTA,Utah Jazz,John Stockton,"March 26, 1962",34.0,NBA,PG,20,20,739,113,217,0.52,19,50,0.38,94,167,0.56,0.56,77,90,0.86,18,60,78,191,33,5,62,52,322,0
1998,29,2760,UTA,Utah Jazz,John Stockton,"March 26, 1962",35.0,NBA,PG,20,20,596,81,164,0.49,9,26,0.35,72,138,0.52,0.52,51,71,0.72,16,44,60,155,31,3,48,54,222,0
1999,29,2760,UTA,Utah Jazz,John Stockton,"March 26, 1962",36.0,NBA,PG,11,11,352,42,105,0.4,4,12,0.33,38,93,0.41,0.42,34,46,0.74,11,25,36,92,18,1,31,32,122,0
2000,29,2760,UTA,Utah Jazz,John Stockton,"March 26, 1962",37.0,NBA,PG,10,10,350,41,89,0.46,7,18,0.39,34,71,0.48,0.5,23,30,0.77,7,23,30,103,13,2,26,30,112,0
2001,29,2760,UTA,Utah Jazz,John Stockton,"March 26, 1962",38.0,NBA,PG,5,5,186,17,37,0.46,0,8,0.0,17,29,0.59,0.46,15,21,0.71,11,17,28,57,10,3,7,19,49,1
2002,29,2760,UTA,Utah Jazz,John Stockton,"March 26, 1962",39.0,NBA,PG,4,4,141,18,40,0.45,2,7,0.29,16,33,0.48,0.48,12,13,0.92,3,13,16,40,11,1,8,16,50,0
2003,29,2760,UTA,Utah Jazz,John Stockton,"March 26, 1962",40.0,NBA,PG,5,5,149,18,39,0.46,0,1,0.0,18,38,0.47,0.46,20,20,1.0,5,11,16,26,8,1,14,13,56,0
