SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1989,27,SAS,Willie Anderson,22.0,81,79.0,2738,640,1285,0.5,4,21,0.19,636,1264,0.5,0.5,224,289,0.78,152,265,417,372,150,62,261,295,1508
1989,27,SAS,Greg Anderson,24.0,82,56.0,2401,460,914,0.5,0,3,0.0,460,911,0.5,0.5,207,403,0.51,255,421,676,61,102,103,180,221,1127
1989,27,SAS,Alvin Robertson,26.0,65,65.0,2287,465,962,0.48,9,45,0.2,456,917,0.5,0.49,183,253,0.72,157,227,384,393,197,36,231,259,1122
1989,27,SAS,Vernon Maxwell,23.0,79,36.0,2065,357,827,0.43,32,129,0.25,325,698,0.47,0.45,181,243,0.74,49,153,202,301,86,8,178,136,927
1989,27,SAS,Frank Brickowski,29.0,64,60.0,1822,337,654,0.52,0,2,0.0,337,652,0.52,0.52,201,281,0.72,148,258,406,131,102,35,165,252,875
1989,27,SAS,Dallas Comegys,24.0,67,10.0,1119,166,341,0.49,0,2,0.0,166,339,0.49,0.49,106,161,0.66,112,122,234,30,42,63,85,160,438
1989,27,SAS,Johnny Dawkins,25.0,32,30.0,1083,177,400,0.44,0,4,0.0,177,396,0.45,0.44,100,112,0.89,32,69,101,224,55,0,111,64,454
1989,27,SAS,Dave Greenwood,31.0,38,15.0,912,105,247,0.42,0,0,,105,247,0.42,0.42,84,105,0.8,92,146,238,55,30,24,55,123,294
1989,27,SAS,Albert King,29.0,46,11.0,791,141,327,0.43,8,32,0.25,133,295,0.45,0.44,37,48,0.77,33,107,140,79,27,7,74,97,327
1989,27,SAS,Darwin Cook,30.0,36,0.0,757,147,315,0.47,6,31,0.19,141,284,0.5,0.48,46,56,0.82,21,38,59,84,43,4,62,77,346
1989,27,SAS,Michael Anderson,22.0,36,12.0,730,73,175,0.42,1,7,0.14,72,168,0.43,0.42,57,82,0.7,44,45,89,153,44,3,84,64,204
1989,27,SAS,Mike Smrek,26.0,43,18.0,623,72,153,0.47,0,0,,72,153,0.47,0.47,49,76,0.64,42,87,129,12,13,58,48,102,193
1989,27,SAS,Jerome Whitehead,32.0,52,4.0,580,69,176,0.39,0,0,,69,176,0.39,0.39,30,45,0.67,49,80,129,17,22,4,22,107,168
1989,27,SAS,Jay Vincent,29.0,24,3.0,551,91,219,0.42,0,1,0.0,91,218,0.42,0.42,35,51,0.69,36,56,92,22,5,3,37,52,217
1989,27,SAS,Scott Roth,25.0,47,3.0,464,52,143,0.36,2,10,0.2,50,133,0.38,0.37,52,76,0.68,20,36,56,48,19,4,33,55,158
1989,27,SAS,Anthony Bowie,25.0,18,5.0,438,72,144,0.5,1,5,0.2,71,139,0.51,0.5,10,15,0.67,25,31,56,29,18,4,22,43,155
1989,27,SAS,Calvin Natt,32.0,10,0.0,185,25,66,0.38,0,0,,25,66,0.38,0.38,35,48,0.73,16,16,32,11,2,2,19,19,85
1989,27,SAS,Shelton Jones,22.0,7,0.0,92,9,25,0.36,0,0,,9,25,0.36,0.36,8,13,0.62,6,10,16,7,2,2,7,8,26
1989,27,SAS,PAtur GuAmundsson,30.0,5,3.0,70,9,25,0.36,0,0,,9,25,0.36,0.36,3,4,0.75,5,11,16,5,1,1,8,15,21
1989,27,SAS,Todd Mitchell,22.0,2,0.0,33,2,9,0.22,0,0,,2,9,0.22,0.22,1,4,0.25,1,2,3,1,1,0,4,2,5
1989,27,SAS,Keith Smart,24.0,2,0.0,12,0,2,0.0,0,1,0.0,0,1,0.0,0.0,2,2,1.0,0,1,1,2,0,0,2,0,2
1989,27,SAS,John Stroeder,30.0,1,0.0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,2,0
1989,27,SAS,Team Totals,,82,,19755,3469,7409,0.47,63,293,0.22,3406,7116,0.48,0.47,1651,2367,0.7,1295,2181,3476,2037,961,423,1712,2153,8652
