PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Harrison Barnes,27.0,72,72.0,2482,365,793,0.46,102,268,0.381,263,525,0.501,0.525,214,267,0.8009999999999999,77,278,355,159,43,12,88,93,1046
Buddy Hield,27.0,72,44.0,2216,498,1162,0.429,271,688,0.39399999999999996,227,474,0.479,0.545,115,136,0.846,57,271,328,213,66,17,168,165,1382
Nemanja Bjelica,31.0,72,67.0,2011,314,653,0.48100000000000004,134,320,0.419,180,333,0.541,0.583,69,84,0.821,111,347,458,203,62,40,99,216,831
Bogdan Bogdanović,27.0,61,28.0,1766,337,766,0.44,164,441,0.37200000000000005,173,325,0.532,0.547,86,116,0.741,26,181,207,207,64,15,102,133,924
Cory Joseph,28.0,72,26.0,1759,171,412,0.415,56,159,0.35200000000000004,115,253,0.455,0.483,60,70,0.857,44,144,188,251,53,21,80,133,458
De'Aaron Fox,22.0,51,49.0,1634,391,815,0.48,54,185,0.292,337,630,0.535,0.513,241,342,0.705,35,161,196,348,74,25,158,145,1077
Richaun Holmes,26.0,44,38.0,1242,223,344,0.648,0,0,,223,344,0.648,0.648,93,118,0.7879999999999999,127,231,358,42,41,56,52,169,539
Trevor Ariza,34.0,32,0.0,791,64,165,0.38799999999999996,43,122,0.35200000000000004,21,43,0.488,0.518,21,27,0.778,21,125,146,50,35,7,28,63,192
Harry Giles,21.0,46,17.0,667,139,251,0.5539999999999999,0,2,0.0,139,249,0.5579999999999999,0.5539999999999999,38,49,0.7759999999999999,43,145,188,60,22,18,44,119,316
Kent Bazemore,30.0,25,0.0,577,87,208,0.418,28,73,0.384,59,135,0.43700000000000006,0.486,55,75,0.733,14,108,122,32,29,9,31,75,257
Dewayne Dedmon,30.0,34,10.0,541,69,171,0.40399999999999997,14,71,0.19699999999999998,55,100,0.55,0.444,23,28,0.821,46,121,167,15,15,26,47,93,175
Yogi Ferrell,26.0,50,0.0,530,79,188,0.42,24,79,0.304,55,109,0.505,0.484,36,42,0.857,6,43,49,69,18,4,28,38,218
Marvin Bagley,20.0,13,6.0,334,78,167,0.467,4,22,0.182,74,145,0.51,0.479,25,31,0.8059999999999999,29,68,97,10,6,12,18,43,185
Justin James,23.0,36,0.0,232,35,84,0.41700000000000004,9,29,0.31,26,55,0.473,0.47,10,21,0.47600000000000003,6,26,32,18,6,9,8,17,89
Alex Len,26.0,15,3.0,225,35,59,0.593,2,3,0.667,33,56,0.589,0.61,17,24,0.708,31,60,91,8,3,15,16,34,89
DaQuan Jeffries,22.0,13,0.0,141,20,40,0.5,5,18,0.278,15,22,0.682,0.563,5,6,0.833,3,15,18,7,4,1,2,19,50
Anthony Tolliver,34.0,9,0.0,82,3,17,0.17600000000000002,2,15,0.133,1,2,0.5,0.235,1,2,0.5,2,9,11,3,4,1,4,6,9
Jabari Parker,24.0,6,0.0,80,21,36,0.583,1,4,0.25,20,32,0.625,0.597,8,9,0.889,7,16,23,10,3,1,4,6,51
Wenyen Gabriel,22.0,11,0.0,61,6,17,0.353,1,8,0.125,5,9,0.556,0.382,6,10,0.6,4,6,10,3,3,2,5,7,19
Corey Brewer,33.0,5,0.0,33,2,4,0.5,0,1,0.0,2,3,0.667,0.5,1,3,0.33299999999999996,2,6,8,2,4,0,2,7,5
Caleb Swanigan,22.0,7,0.0,23,2,4,0.5,0,0,,2,4,0.5,0.5,1,2,0.5,2,5,7,2,1,2,6,8,5
Eric Mika,25.0,1,0.0,19,2,3,0.667,0,0,,2,3,0.667,0.667,2,2,1.0,2,5,7,0,0,0,0,5,6
Kyle Guy,22.0,3,0.0,10,2,5,0.4,0,3,0.0,2,2,1.0,0.4,0,0,,0,1,1,1,0,0,0,1,4
Team Totals,,72,,17455,2943,6364,0.462,914,2511,0.364,2029,3853,0.527,0.534,1127,1464,0.77,695,2372,3067,1713,556,293,1043,1595,7927
