PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Joe Harris,28.0,69,69.0,2123,381,784,0.486,172,406,0.424,209,378,0.5529999999999999,0.596,64,89,0.7190000000000001,64,234,298,144,41,17,104,159,998
Spencer Dinwiddie,26.0,64,49.0,1994,424,1021,0.415,123,400,0.308,301,621,0.485,0.47600000000000003,347,446,0.778,32,189,221,432,40,21,174,180,1318
Taurean Prince,25.0,64,61.0,1857,278,739,0.376,146,431,0.33899999999999997,132,308,0.429,0.475,71,89,0.7979999999999999,50,331,381,116,57,25,127,159,773
Jarrett Allen,21.0,70,64.0,1852,302,465,0.649,0,6,0.0,302,459,0.6579999999999999,0.649,171,270,0.633,216,455,671,110,40,92,77,162,775
Garrett Temple,33.0,62,35.0,1730,222,587,0.37799999999999995,127,386,0.32899999999999996,95,201,0.473,0.486,70,87,0.805,29,189,218,156,49,29,62,108,641
Caris LeVert,25.0,45,31.0,1330,311,732,0.425,80,220,0.364,231,512,0.451,0.48,140,197,0.711,49,140,189,199,53,10,118,81,842
DeAndre Jordan,31.0,56,6.0,1234,191,287,0.6659999999999999,0,0,,191,287,0.6659999999999999,0.6659999999999999,83,122,0.68,141,420,561,105,18,52,74,114,465
Timothé Luwawu-Cabarrot,24.0,47,2.0,853,117,269,0.435,62,160,0.38799999999999996,55,109,0.505,0.55,69,81,0.852,29,98,127,29,18,7,37,106,365
Wilson Chandler,32.0,35,3.0,734,74,183,0.40399999999999997,37,121,0.306,37,62,0.597,0.505,20,23,0.87,11,134,145,39,16,12,34,79,205
Rodions Kurucs,21.0,47,9.0,684,79,177,0.446,33,90,0.36700000000000005,46,87,0.529,0.54,24,38,0.632,25,112,137,51,25,5,46,90,215
Kyrie Irving,27.0,20,20.0,658,199,416,0.478,56,142,0.39399999999999996,143,274,0.522,0.546,94,102,0.922,22,81,103,128,27,10,52,53,548
Timothé Luwawu-Cabarrot,20.0,40,0.0,487,64,172,0.37200000000000005,19,78,0.244,45,94,0.479,0.42700000000000005,45,60,0.75,21,65,86,43,15,1,36,30,192
Theo Pinson,24.0,33,0.0,365,45,155,0.29,15,80,0.188,30,75,0.4,0.33899999999999997,15,16,0.938,10,44,54,56,17,4,33,35,120
Chris Chiozza,24.0,18,2.0,278,45,106,0.425,20,56,0.35700000000000004,25,50,0.5,0.519,5,5,1.0,9,29,38,55,11,2,23,25,115
David Nwaba,27.0,20,0.0,268,37,71,0.521,12,28,0.429,25,43,0.581,0.606,18,27,0.667,8,37,45,8,11,12,8,32,104
Iman Shumpert,29.0,13,0.0,241,21,64,0.32799999999999996,8,33,0.242,13,31,0.419,0.391,4,7,0.5710000000000001,9,25,34,12,12,2,10,21,54
Tyler Johnson,27.0,8,4.0,194,32,79,0.405,14,36,0.389,18,43,0.419,0.494,18,18,1.0,8,16,24,24,4,1,5,15,96
Nicolas Claxton,20.0,15,0.0,187,27,48,0.563,1,7,0.14300000000000002,26,41,0.634,0.573,11,21,0.524,19,25,44,16,1,8,9,14,66
Justin Anderson,26.0,10,1.0,107,10,38,0.263,6,29,0.207,4,9,0.444,0.342,2,4,0.5,1,20,21,8,0,6,4,13,28
Jeremiah Martin,23.0,9,0.0,99,24,53,0.45299999999999996,5,18,0.278,19,35,0.5429999999999999,0.5,11,14,0.7859999999999999,1,9,10,18,7,2,4,7,64
Lance Thomas,31.0,7,4.0,98,8,23,0.348,4,13,0.308,4,10,0.4,0.435,4,4,1.0,2,11,13,6,0,0,6,11,24
Donta Hall,22.0,5,0.0,85,14,18,0.778,0,0,,14,18,0.778,0.778,5,12,0.41700000000000004,8,15,23,2,2,5,3,14,33
Henry Ellenson,23.0,5,0.0,15,1,7,0.14300000000000002,0,4,0.0,1,3,0.33299999999999996,0.14300000000000002,0,0,,2,4,6,1,0,0,0,1,2
Jamal Crawford,39.0,1,0.0,6,2,4,0.5,1,2,0.5,1,2,0.5,0.625,0,0,,0,0,0,3,0,0,0,1,5
Team Totals,,72,,17480,2908,6498,0.44799999999999995,941,2746,0.34299999999999997,1967,3752,0.524,0.52,1291,1732,0.745,766,2683,3449,1761,464,323,1099,1510,8048
