NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
42,Charlie Bell,SG,6-3,200,1979-03-12,US,3,Michigan State
6,Andrew Bogut,C,7-0,260,1984-11-28,AU,2,Utah
50,Dan Gadzuric,C,6-11,240,1978-02-02,NL,5,UCLA
12,Royal Ivey,PG,6-3,200,1981-12-20,US,3,Texas
9,Yi Jianlian,PF,7-0,240,1987-10-27,CN,R,
24,Desmond Mason,SF,6-7,224,1977-10-11,US,7,Oklahoma State
22,Michael Redd,SG,6-6,220,1979-08-24,US,7,Ohio State
51,Michael Ruffin,C,6-9,246,1977-01-21,US,7,Tulsa
7,Ramon Sessions,PG,6-3,190,1986-04-11,US,R,Nevada
21,Bobby Simmons,SF,6-7,210,1980-06-02,US,5,DePaul
20,Awvee Storey,SG,6-6,222,1977-04-18,US,2,"Illinois, Arizona State"
31,Charlie Villanueva,PF,6-11,232,1984-08-24,US,2,UConn
43,Jake Voskuhl,C,6-11,245,1977-11-01,US,7,UConn
25,Mo Williams,PG,6-1,198,1982-12-19,US,4,Alabama
