NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
1,Chris Andersen,C,6-10,245,1978-07-07,US,5,Blinn College
12,Hilton Armstrong,C,6-11,235,1984-11-11,US,1,UConn
40,Ryan Bowen,SF,6-7,215,1975-11-20,US,7,Iowa
45,Rasual Butler,SF,6-7,215,1979-05-23,US,5,La Salle
6,Tyson Chandler,C,7-0,235,1982-10-02,US,6,
33,Melvin Ely,C,6-10,260,1978-05-02,US,5,Fresno State
8,Bobby Jackson,SG,6-1,185,1973-03-13,US,10,Minnesota
5,Mike James,PG,6-2,188,1975-06-23,US,6,Duquesne
2,Jannero Pargo,SG,6-1,175,1979-10-22,US,5,Arkansas
3,Chris Paul,PG,6-1,175,1985-05-06,US,2,Wake Forest
9,Morris Peterson,SG,6-7,218,1977-08-26,US,7,Michigan State
16,Peja Stojaković,SF,6-10,229,1977-06-09,HR,9,
11,Marcus Vinicius,SF,6-8,225,1984-05-31,BR,1,
24,Bonzi Wells,SG,6-5,210,1976-09-28,US,9,Ball State University
30,David West,PF,6-9,250,1980-08-29,US,4,Xavier
32,Julian Wright,SF,6-8,225,1987-05-20,US,R,Kansas
