SEASON,TEAM ID,TEAM,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
2008,26,SAC,3,Shareef Abdur-Rahim,PF,6-9,225,1976-12-11,US,11,California
2008,26,SAC,10,Mike Bibby,PG,6-1,190,1978-05-13,US,9,Arizona
2008,26,SAC,8,Quincy Douby,PG,6-3,175,1984-05-16,US,1,Rutgers University
2008,26,SAC,32,Francisco Garcia,SF,6-7,195,1981-12-31,DO,2,Louisville
2008,26,SAC,5,Orien Greene,SG,6-4,208,1982-02-04,US,2,"Florida, Louisiana"
2008,26,SAC,31,Spencer Hawes,C,7-1,245,1988-04-28,US,R,Washington
2008,26,SAC,5,Anthony Johnson,PG,6-3,190,1974-10-02,US,10,College of Charleston
2008,26,SAC,7,Dahntay Jones,SG,6-6,225,1980-12-27,US,4,"Rutgers University, Duke"
2008,26,SAC,23,Kevin Martin,SG,6-7,199,1983-02-01,US,3,Western Carolina University
2008,26,SAC,52,Brad Miller,C,6-11,244,1976-04-12,US,9,Purdue
2008,26,SAC,33,Mikki Moore,PF,6-11,225,1975-11-04,US,9,Nebraska
2008,26,SAC,15,John Salmons,SG,6-7,210,1979-12-12,US,5,Miami (FL)
2008,26,SAC,9,Kenny Thomas,PF,6-7,261,1977-07-25,US,8,New Mexico
2008,26,SAC,19,Beno Udrih,PG,6-3,205,1982-07-05,SI,3,
2008,26,SAC,13,Darryl Watkins,C,6-11,258,1984-11-08,US,R,Syracuse
2008,26,SAC,30,Justin Williams,C,6-10,225,1984-05-12,US,1,Wyoming
2008,26,SAC,22,Shelden Williams,PF,6-9,250,1983-10-21,US,1,Duke
2008,26,SAC,93,Metta World Peace,SF,6-6,260,1979-11-13,US,8,St. John's
2008,26,SAC,42,Lorenzen Wright,C,6-11,225,1975-11-04,US,11,Memphis
