Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003,16,441,MIA,Miami Heat,23.0,NBA,SG,72.0,28.0,1514.0,207.0,572.0,0.36,50.0,171.0,0.29,157.0,401.0,0.39,0.41,76.0,104.0,0.73,29.0,157.0,186.0,93.0,21.0,43.0,77.0,105.0,540.0
2004,16,441,MIA,Miami Heat,24.0,NBA,SF,45.0,0.0,675.0,119.0,250.0,0.48,50.0,108.0,0.46,69.0,142.0,0.49,0.58,16.0,21.0,0.76,4.0,57.0,61.0,23.0,10.0,13.0,28.0,72.0,304.0
2005,16,441,MIA,Miami Heat,25.0,NBA,SF,65.0,15.0,1203.0,163.0,409.0,0.4,57.0,153.0,0.37,106.0,256.0,0.41,0.47,37.0,48.0,0.77,15.0,136.0,151.0,62.0,18.0,29.0,37.0,104.0,420.0
2006,19,441,NOK,New Orleans/Oklahoma City Hornets,26.0,NBA,SF,79.0,20.0,1875.0,257.0,633.0,0.41,92.0,242.0,0.38,165.0,391.0,0.42,0.48,79.0,114.0,0.69,51.0,181.0,232.0,40.0,33.0,45.0,65.0,142.0,685.0
2007,19,441,NOK,New Orleans/Oklahoma City Hornets,27.0,NBA,SF,81.0,38.0,2223.0,314.0,788.0,0.4,134.0,363.0,0.37,180.0,425.0,0.42,0.48,56.0,87.0,0.64,42.0,214.0,256.0,63.0,40.0,54.0,67.0,148.0,818.0
2008,19,441,NOH,New Orleans Hornets,28.0,NBA,SF,51.0,8.0,875.0,91.0,260.0,0.35,44.0,133.0,0.33,47.0,127.0,0.37,0.44,26.0,31.0,0.84,16.0,84.0,100.0,36.0,15.0,21.0,10.0,66.0,252.0
2009,19,441,NOH,New Orleans Hornets,29.0,NBA,SF,82.0,74.0,2614.0,348.0,803.0,0.43,140.0,359.0,0.39,208.0,444.0,0.47,0.52,86.0,110.0,0.78,49.0,222.0,271.0,75.0,51.0,61.0,59.0,159.0,922.0
2010,13,441,LAC,Los Angeles Clippers,30.0,NBA,SF,82.0,64.0,2702.0,356.0,870.0,0.41,145.0,432.0,0.34,211.0,438.0,0.48,0.49,122.0,145.0,0.84,39.0,201.0,240.0,116.0,36.0,68.0,79.0,121.0,979.0
2011,31,441,TOT,Total After Trade,31.0,NBA,SG,47.0,2.0,770.0,79.0,237.0,0.33,46.0,136.0,0.34,33.0,101.0,0.33,0.43,18.0,27.0,0.67,10.0,67.0,77.0,27.0,8.0,15.0,24.0,37.0,222.0
2011,13,441,LAC,Los Angeles Clippers,31.0,NBA,SG,41.0,2.0,744.0,73.0,226.0,0.32,42.0,129.0,0.33,31.0,97.0,0.32,0.42,18.0,27.0,0.67,10.0,66.0,76.0,27.0,8.0,15.0,22.0,34.0,206.0
2011,5,441,CHI,Charlotte Bobcats,31.0,NBA,SG,6.0,0.0,26.0,6.0,11.0,0.55,4.0,7.0,0.57,2.0,4.0,0.5,0.73,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,16.0
2012,28,441,TOR,Toronto Raptors,32.0,NBA,SF,34.0,14.0,453.0,41.0,133.0,0.31,21.0,77.0,0.27,20.0,56.0,0.36,0.39,7.0,12.0,0.58,6.0,60.0,66.0,19.0,7.0,5.0,15.0,39.0,110.0
2014,12,441,IND,Indiana Pacers,34.0,NBA,SG,50.0,2.0,378.0,51.0,110.0,0.46,26.0,62.0,0.42,25.0,48.0,0.52,0.58,8.0,14.0,0.57,6.0,35.0,41.0,17.0,7.0,9.0,11.0,30.0,136.0
2015,30,441,WAS,Washington Wizards,35.0,NBA,SF,75.0,1.0,1505.0,218.0,517.0,0.42,91.0,235.0,0.39,127.0,282.0,0.45,0.51,53.0,67.0,0.79,27.0,170.0,197.0,63.0,29.0,22.0,48.0,98.0,580.0
2016,27,441,SAS,San Antonio Spurs,36.0,NBA,SF,46.0,0.0,432.0,49.0,104.0,0.47,15.0,49.0,0.31,34.0,55.0,0.62,0.54,11.0,16.0,0.69,3.0,53.0,56.0,24.0,13.0,23.0,8.0,11.0,124.0
