Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2013,17,127,MIL,Milwaukee Bucks,19,Gustavo Ayon,C,6-10,250,"April 1, 1985",MX,1,
2013,17,660,MIL,Milwaukee Bucks,21,Samuel Dalembert,C,6-11,255,"May 10, 1981",HT,10,Seton Hall
2013,17,666,MIL,Milwaukee Bucks,6,Marquis Daniels,SF,6-6,200,"January 7, 1981",US,9,Auburn
2013,17,802,MIL,Milwaukee Bucks,17,Mike Dunleavy Jr.,SF,6-9,230,"September 15, 1980",US,10,Duke
2013,17,853,MIL,Milwaukee Bucks,11,Monta Ellis,SG,6-3,185,"October 26, 1985",US,7,
2013,17,1056,MIL,Milwaukee Bucks,0,Drew Gooden,C,6-10,250,"September 24, 1981",US,10,Kansas
2013,17,1210,MIL,Milwaukee Bucks,15,Tobias Harris,SF,6-8,226,"July 15, 1992",US,1,Tennessee
2013,17,1264,MIL,Milwaukee Bucks,31,John Henson,PF,6-9,219,"December 28, 1990",US,R,UNC
2013,17,1381,MIL,Milwaukee Bucks,7,Ersan Ilyasova,PF,6-9,235,"May 15, 1987",TR,4,
2013,17,1451,MIL,Milwaukee Bucks,3,Brandon Jennings,PG,6-1,170,"September 23, 1989",US,3,
2013,17,1680,MIL,Milwaukee Bucks,20,Doron Lamb,SG,6-4,210,"November 6, 1991",US,R,Kentucky
2013,17,1891,MIL,Milwaukee Bucks,12,Luc Mbah a Moute,SF,6-8,230,"September 9, 1986",CM,4,UCLA
2013,17,2373,MIL,Milwaukee Bucks,10,Joel Przybilla,C,7-1,255,"October 10, 1979",US,12,Minnesota
2013,17,2414,MIL,Milwaukee Bucks,5,J.J. Redick,SG,6-3,200,"June 24, 1984",US,6,Duke
2013,17,2557,MIL,Milwaukee Bucks,8,Larry Sanders,C,6-11,235,"November 21, 1988",US,2,VCU
2013,17,2681,MIL,Milwaukee Bucks,15,Ish Smith,PG,6-0,175,"July 5, 1988",US,2,Wake Forest
2013,17,2939,MIL,Milwaukee Bucks,13,Ekpe Udoh,C,6-10,245,"May 20, 1987",US,2,"Michigan, Baylor"
2013,17,2941,MIL,Milwaukee Bucks,19,Beno Udrih,SG,6-3,205,"July 5, 1982",SI,8,
