Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
1990,27,2478,SAS,San Antonio Spurs,David Robinson,1965-08-06,24.0,NBA,C,82,81,3002,690,1300,0.53,0,2,0.0,690,1298,0.53,0.53,613,837,0.73,303,680,983,164,138,319,257,259,1993,3
1991,27,2478,SAS,San Antonio Spurs,David Robinson,1965-08-06,25.0,NBA,C,82,81,3095,754,1366,0.55,1,7,0.14,753,1359,0.55,0.55,592,777,0.76,335,728,1063,208,127,320,270,264,2101,3
1992,27,2478,SAS,San Antonio Spurs,David Robinson,1965-08-06,26.0,NBA,C,68,68,2564,592,1074,0.55,1,8,0.12,591,1066,0.55,0.55,393,561,0.7,261,568,829,181,158,305,182,219,1578,2
1993,27,2478,SAS,San Antonio Spurs,David Robinson,1965-08-06,27.0,NBA,C,82,82,3211,676,1348,0.5,3,17,0.18,673,1331,0.51,0.5,561,766,0.73,229,727,956,301,127,264,241,239,1916,1
1994,27,2478,SAS,San Antonio Spurs,David Robinson,1965-08-06,28.0,NBA,C,80,80,3241,840,1658,0.51,10,29,0.34,830,1629,0.51,0.51,693,925,0.75,241,614,855,381,139,265,253,228,2383,5
1995,27,2478,SAS,San Antonio Spurs,David Robinson,1965-08-06,29.0,NBA,C,81,81,3074,788,1487,0.53,6,20,0.3,782,1467,0.53,0.53,656,847,0.77,234,643,877,236,134,262,233,230,2238,0
1996,27,2478,SAS,San Antonio Spurs,David Robinson,1965-08-06,30.0,NBA,C,82,82,3019,711,1378,0.52,3,9,0.33,708,1369,0.52,0.52,626,823,0.76,319,681,1000,247,111,271,190,262,2051,0
1997,27,2478,SAS,San Antonio Spurs,David Robinson,1965-08-06,31.0,NBA,C,6,6,147,36,72,0.5,0,0,,36,72,0.5,0.5,34,52,0.65,19,32,51,8,6,6,8,9,106,0
1998,27,2478,SAS,San Antonio Spurs,David Robinson,1965-08-06,32.0,NBA,C,73,73,2457,544,1065,0.51,1,4,0.25,543,1061,0.51,0.51,485,660,0.74,239,536,775,199,64,192,202,204,1574,0
1999,27,2478,SAS,San Antonio Spurs,David Robinson,1965-08-06,33.0,NBA,C,49,49,1554,268,527,0.51,0,1,0.0,268,526,0.51,0.51,239,363,0.66,148,344,492,103,69,119,108,143,775,0
2000,27,2478,SAS,San Antonio Spurs,David Robinson,1965-08-06,34.0,NBA,C,80,80,2557,528,1031,0.51,0,2,0.0,528,1029,0.51,0.51,371,511,0.73,193,577,770,142,97,183,164,247,1427,0
2001,27,2478,SAS,San Antonio Spurs,David Robinson,1965-08-06,35.0,NBA,C,80,80,2371,400,823,0.49,0,1,0.0,400,822,0.49,0.49,351,470,0.75,208,483,691,116,80,197,122,212,1151,0
2002,27,2478,SAS,San Antonio Spurs,David Robinson,1965-08-06,36.0,NBA,C,78,78,2303,341,672,0.51,0,0,,341,672,0.51,0.51,269,395,0.68,191,456,647,94,86,140,104,193,951,0
2003,27,2478,SAS,San Antonio Spurs,David Robinson,1965-08-06,37.0,NBA,C,64,64,1676,197,420,0.47,0,0,,197,420,0.47,0.47,152,214,0.71,163,345,508,61,52,111,83,126,546,0
