SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1980,26,KCK,Scott Wedman,27,3,,116,29,64,0.45,2,3,0.67,27,61,0.44,0.47,8,11,0.73,6,15,21,9,1,3,2,9,68
1980,26,KCK,Otis Birdsong,24,3,,112,30,62,0.48,0,3,0.0,30,59,0.51,0.48,6,14,0.43,11,12,23,7,4,0,6,5,66
1980,26,KCK,Phil Ford,23,3,,110,20,43,0.46,3,4,0.75,17,39,0.44,0.5,9,11,0.82,0,6,6,26,5,0,12,6,52
1980,26,KCK,Sam Lacey,31,3,,101,8,21,0.38,1,1,1.0,7,20,0.35,0.4,3,4,0.75,6,16,22,13,7,2,8,11,20
1980,26,KCK,Reggie King,22,3,,77,10,21,0.48,0,0,,10,21,0.48,0.48,5,9,0.56,7,18,25,4,1,0,2,10,25
1980,26,KCK,Bill Robinzine,27,3,,69,13,24,0.54,0,0,,13,24,0.54,0.54,7,10,0.7,7,11,18,0,3,0,6,6,33
1980,26,KCK,Len Elmore,27,3,,43,4,13,0.31,0,0,,4,13,0.31,0.31,1,2,0.5,6,5,11,1,3,1,4,4,9
1980,26,KCK,Billy McKinney,24,3,,34,2,5,0.4,0,1,0.0,2,4,0.5,0.4,0,0,,2,1,3,8,0,0,3,2,4
1980,26,KCK,Ernie Grunfeld,24,3,,32,5,9,0.56,0,0,,5,9,0.56,0.56,1,3,0.33,1,0,1,0,1,0,0,3,11
1980,26,KCK,Gus Gerard,26,3,,26,4,10,0.4,0,0,,4,10,0.4,0.4,2,4,0.5,4,4,8,2,0,0,4,2,10
