Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1980,27,SAS,San Antonio Spurs,George Gervin,27,3,,122,37,74,0.5,0,2,0.0,37,72,0.51,0.5,26,30,0.87,9,11,20,12,5,3,9,8,100
1980,27,SAS,San Antonio Spurs,Mark Olberding,23,3,,97,13,23,0.56,0,0,,13,23,0.56,0.56,3,4,0.75,5,17,22,11,2,1,3,14,29
1980,27,SAS,San Antonio Spurs,James Silas,30,3,,90,16,36,0.44,0,0,,16,36,0.44,0.44,11,11,1.0,1,6,7,9,6,1,5,8,43
1980,27,SAS,San Antonio Spurs,Larry Kenon,27,3,,81,10,34,0.29,0,0,,10,34,0.29,0.29,6,11,0.55,6,7,13,4,0,0,5,6,26
1980,27,SAS,San Antonio Spurs,John Shumate,27,3,,78,9,20,0.45,0,0,,9,20,0.45,0.45,3,3,1.0,7,6,13,5,4,4,5,9,21
1980,27,SAS,San Antonio Spurs,Kevin Restani,28,3,,74,17,28,0.61,0,1,0.0,17,27,0.63,0.61,4,9,0.44,8,8,16,3,0,1,2,8,38
1980,27,SAS,San Antonio Spurs,Mike Gale,29,3,,69,8,20,0.4,1,4,0.25,7,16,0.44,0.42,4,7,0.57,1,5,6,16,5,0,3,6,21
1980,27,SAS,San Antonio Spurs,Paul Griffin,26,3,,69,7,14,0.5,0,0,,7,14,0.5,0.5,6,6,1.0,3,12,15,6,0,1,7,9,20
1980,27,SAS,San Antonio Spurs,Tim Bassett,28,3,,19,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,1,0,1,0,0,0,1,7,2
1980,27,SAS,San Antonio Spurs,Mike Evans,24,2,,12,3,8,0.38,2,4,0.5,1,4,0.25,0.5,3,4,0.75,0,2,2,2,0,0,0,2,11
1980,27,SAS,San Antonio Spurs,Wiley Peck,22,2,,9,0,3,0.0,0,0,,0,3,0.0,0.0,0,0,,0,3,3,0,0,1,0,1,0
