Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1992,5,CHI,Charlotte Bobcats,Michael Jordan,28,22,22,920,17.0,34.1,0.5,1.0,2.6,0.39,16.0,31.5,0.51,9.5,11.1,0.86,2.2,5.9,8.0,7.4,2.6,0.9,4.7,3.6,44.5,,115,104
1992,5,CHI,Charlotte Bobcats,Scottie Pippen,26,22,22,899,9.1,19.5,0.47,0.4,1.4,0.25,8.8,18.1,0.48,7.1,9.3,0.76,3.5,8.0,11.6,8.8,2.5,1.5,4.2,4.3,25.7,,112,102
1992,5,CHI,Charlotte Bobcats,Horace Grant,26,22,22,856,6.2,11.5,0.54,0.0,0.1,0.0,6.2,11.4,0.55,3.2,4.8,0.67,4.8,7.4,12.2,4.2,1.5,2.5,1.3,4.3,15.7,,127,104
1992,5,CHI,Charlotte Bobcats,Bill Cartwright,34,22,22,612,4.8,10.2,0.47,0.0,0.0,,4.8,10.2,0.47,1.1,2.7,0.42,2.6,6.1,8.6,3.3,1.0,0.4,2.4,6.2,10.8,,97,108
1992,5,CHI,Charlotte Bobcats,John Paxson,31,22,22,598,6.6,12.5,0.52,1.1,2.4,0.44,5.5,10.1,0.55,1.4,1.7,0.84,0.0,2.0,2.0,5.5,1.3,0.1,1.2,4.8,15.7,,124,111
1992,5,CHI,Charlotte Bobcats,B.J. Armstrong,24,22,0,434,7.8,17.3,0.45,0.6,2.1,0.29,7.2,15.2,0.48,3.7,4.7,0.79,0.2,2.7,3.0,5.8,1.7,0.0,2.2,4.1,20.0,,108,109
1992,5,CHI,Charlotte Bobcats,Scott Williams,23,22,0,321,5.7,11.8,0.49,0.0,0.2,0.0,5.7,11.6,0.49,3.4,4.7,0.71,5.5,10.4,16.0,1.2,1.0,3.0,2.5,10.9,14.8,,109,102
1992,5,CHI,Charlotte Bobcats,Cliff Levingston,31,22,0,191,7.1,16.1,0.44,0.0,0.3,0.0,7.1,15.8,0.45,4.0,7.9,0.5,4.8,6.8,11.6,2.5,1.1,1.7,3.1,8.8,18.1,,97,106
1992,5,CHI,Charlotte Bobcats,Will Perdue,26,18,0,157,6.2,12.7,0.49,0.0,0.3,0.0,6.2,12.4,0.5,3.1,6.9,0.45,6.2,7.6,13.7,3.1,1.0,3.4,4.1,11.7,15.5,,97,104
1992,5,CHI,Charlotte Bobcats,Craig Hodges,31,17,0,137,6.3,16.1,0.39,3.5,7.9,0.45,2.8,8.3,0.33,0.4,0.8,0.5,1.2,0.4,1.6,2.0,2.0,0.0,3.1,3.9,16.5,,93,111
1992,5,CHI,Charlotte Bobcats,Stacey King,25,14,0,111,8.7,19.4,0.45,1.0,1.0,1.0,7.8,18.5,0.42,7.3,11.2,0.65,3.4,6.3,9.7,2.4,2.4,1.0,4.9,5.8,25.7,,99,104
1992,5,CHI,Charlotte Bobcats,Bob Hansen,31,9,0,69,7.0,17.2,0.41,2.3,4.7,0.5,4.7,12.5,0.38,0.8,2.3,0.33,3.1,3.9,7.0,7.8,0.8,0.0,1.6,7.8,17.2,,112,110
