Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1992,26,394,SAC,Sacramento Kings,23.0,NBA,PG,56.0,0.0,535.0,6.9,15.2,0.46,0.0,0.5,0.0,6.9,14.7,0.47,3.4,5.2,0.66,2.3,3.9,6.2,5.3,3.2,1.1,3.8,6.1,17.3,,96.0,109.0
1993,26,394,SAC,Sacramento Kings,24.0,NBA,PG,75.0,34.0,1726.0,6.2,13.4,0.46,0.1,0.2,0.33,6.2,13.2,0.46,3.2,4.3,0.73,2.1,3.8,5.8,5.4,3.0,0.9,3.3,5.7,15.6,,101.0,109.0
1994,26,394,SAC,Sacramento Kings,25.0,NBA,PG,61.0,2.0,1041.0,5.2,11.9,0.44,0.0,0.2,0.0,5.2,11.7,0.44,2.5,4.1,0.61,1.9,3.4,5.3,6.3,3.0,0.7,3.5,6.2,12.9,,93.0,108.0
1995,26,394,SAC,Sacramento Kings,26.0,NBA,PG,67.0,2.0,1086.0,5.9,13.7,0.43,0.7,2.2,0.3,5.3,11.5,0.46,2.6,3.9,0.67,1.1,4.0,5.2,6.4,4.7,0.9,3.7,7.3,15.2,,97.0,102.0
1996,5,394,CHI,Charlotte Bobcats,27.0,NBA,PG,68.0,0.0,671.0,6.1,15.1,0.41,0.1,0.9,0.09,6.0,14.2,0.42,2.2,3.6,0.61,1.3,3.8,5.2,5.7,4.5,0.9,2.4,6.9,14.5,,99.0,98.0
1997,5,394,CHI,Charlotte Bobcats,28.0,NBA,PG,72.0,3.0,1057.0,7.1,16.8,0.42,0.2,1.1,0.18,6.9,15.7,0.44,2.9,4.2,0.68,1.7,3.9,5.6,6.7,4.1,0.9,2.9,5.9,17.2,,102.0,100.0
1998,5,394,CHI,Charlotte Bobcats,29.0,NBA,PG,71.0,6.0,1147.0,5.5,14.2,0.38,0.0,0.2,0.0,5.5,14.0,0.39,2.6,3.7,0.72,1.6,2.8,4.4,7.1,3.3,0.6,3.0,5.5,13.5,,96.0,100.0
1999,5,394,CHI,Charlotte Bobcats,30.0,NBA,PG,39.0,32.0,1139.0,6.3,15.3,0.41,0.0,0.5,0.0,6.3,14.8,0.43,3.7,4.9,0.76,1.3,5.0,6.3,7.1,3.3,0.4,3.8,4.4,16.4,,92.0,102.0
2001,2,394,BOS,Boston Celtics,32.0,NBA,PG,54.0,35.0,1238.0,4.2,9.9,0.42,0.0,0.1,0.0,4.2,9.8,0.43,1.0,1.7,0.57,1.0,3.2,4.1,6.4,2.6,0.4,2.3,5.5,9.3,,94.0,105.0
2002,2,394,BOS,Boston Celtics,33.0,NBA,PG,1.0,0.0,6.0,0.0,8.6,0.0,0.0,0.0,,0.0,8.6,0.0,0.0,0.0,,0.0,0.0,0.0,17.3,0.0,8.6,0.0,8.6,0.0,,84.0,102.0
2003,24,394,PHO,Phoenix Suns,34.0,NBA,PG,32.0,0.0,262.0,3.2,8.6,0.37,0.0,0.0,,3.2,8.6,0.37,1.8,2.4,0.75,0.6,4.6,5.2,7.0,3.4,0.4,3.4,7.2,8.2,,86.0,101.0
