Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1993,23.0,TOT,NBA,PF,12.0,0.0,104.0,4.5,11.1,0.406,0.0,0.0,,4.5,11.1,0.406,2.4,3.1,0.778,1.4,5.2,6.6,1.0,1.7,1.7,2.1,5.9,11.4
1993,23.0,CHI,NBA,PF,5.0,0.0,34.0,4.2,9.5,0.444,0.0,0.0,,4.2,9.5,0.444,3.2,4.2,0.75,2.1,0.0,2.1,1.1,2.1,1.1,3.2,9.5,11.6
1993,23.0,GSW,NBA,PF,7.0,0.0,70.0,4.6,11.8,0.391,0.0,0.0,,4.6,11.8,0.391,2.1,2.6,0.8,1.0,7.7,8.7,1.0,1.5,2.1,1.5,4.1,11.3
1994,24.0,TOT,NBA,PF,52.0,1.0,345.0,7.0,15.4,0.453,0.2,0.3,0.667,6.8,15.1,0.448,3.3,4.9,0.681,2.9,2.9,5.8,1.6,1.0,1.3,2.2,4.6,17.5
1994,24.0,PHO,NBA,PF,33.0,1.0,168.0,8.6,16.7,0.513,0.0,0.0,,8.6,16.7,0.513,4.9,6.9,0.719,3.0,2.8,5.8,1.9,0.6,1.3,2.1,4.9,22.1
1994,24.0,MIL,NBA,PF,19.0,0.0,177.0,5.5,14.2,0.386,0.4,0.6,0.667,5.1,13.6,0.373,1.8,3.1,0.6,2.8,3.1,5.9,1.2,1.4,1.2,2.2,4.3,13.2
1996,26.0,CLE,NBA,PF,23.0,0.0,200.0,2.7,6.3,0.429,0.0,0.0,,2.7,6.3,0.429,1.4,3.2,0.444,4.3,4.5,8.8,1.6,0.9,1.1,3.1,6.3,6.8
1997,27.0,TOT,NBA,PF,9.0,0.0,100.0,4.0,10.8,0.367,0.0,0.0,,4.0,10.8,0.367,1.1,1.8,0.6,3.2,2.5,5.8,0.0,0.0,0.0,1.1,5.0,9.0
1997,27.0,PHI,NBA,PF,4.0,0.0,52.0,4.2,9.7,0.429,0.0,0.0,,4.2,9.7,0.429,0.0,0.0,,3.5,2.8,6.2,0.0,0.0,0.0,0.7,5.5,8.3
1997,27.0,SAS,NBA,PF,5.0,0.0,48.0,3.7,12.0,0.313,0.0,0.0,,3.7,12.0,0.313,2.3,3.7,0.6,3.0,2.3,5.2,0.0,0.0,0.0,1.5,4.5,9.7
