Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2004,10,2307,GSW,Golden State Warriors,21.0,NBA,PG,53.0,748.0,12.9,0.53,0.46,0.32,7.2,10.7,9.0,6.1,2.3,1.2,13.2,18.7,0.8,0.7,1.5,0.1,-1.0,0.4,-0.6,0.3
2005,10,2307,GSW,Golden State Warriors,22.0,NBA,SF,67.0,1340.0,14.2,0.54,0.39,0.4,5.0,10.5,7.7,10.2,1.8,1.0,13.5,22.5,1.1,1.0,2.1,0.08,-0.2,-0.8,-1.0,0.3
2006,10,2307,GSW,Golden State Warriors,23.0,NBA,SF,52.0,1179.0,10.0,0.5,0.42,0.34,5.4,10.2,7.7,6.2,1.4,0.6,14.0,21.1,-0.3,0.9,0.6,0.02,-2.3,-0.9,-3.2,-0.4
2007,10,2307,GSW,Golden State Warriors,24.0,NBA,SF,72.0,1937.0,13.0,0.59,0.41,0.36,4.5,14.2,9.3,4.7,1.2,2.2,13.4,17.2,2.0,1.5,3.6,0.09,-0.8,-0.5,-1.3,0.4
2008,10,2307,GSW,Golden State Warriors,25.0,NBA,SF,66.0,1316.0,12.7,0.55,0.47,0.25,5.2,14.8,9.8,5.1,2.4,2.4,10.0,15.3,1.4,1.4,2.8,0.1,-1.1,0.9,-0.2,0.6
2009,22,2307,ORL,Orlando Magic,26.0,NBA,SG,54.0,1329.0,11.6,0.54,0.52,0.26,3.8,10.9,7.5,8.0,1.2,1.3,10.6,18.4,1.0,2.0,3.0,0.11,-0.6,0.8,0.3,0.8
2010,22,2307,ORL,Orlando Magic,27.0,NBA,SF,75.0,1687.0,11.9,0.56,0.57,0.2,2.8,11.6,7.4,4.7,1.6,1.4,10.5,18.0,1.2,2.5,3.6,0.1,0.0,0.9,0.9,1.2
2011,31,2307,TOT,Total After Trade,28.0,NBA,"SF,SG",57.0,1107.0,9.8,0.53,0.65,0.16,1.6,11.5,6.6,4.6,1.3,1.4,9.1,17.6,0.3,1.0,1.3,0.06,-1.2,0.2,-1.0,0.3
2011,22,2307,ORL,Orlando Magic,28.0,NBA,SF,19.0,418.0,8.3,0.54,0.76,0.05,1.7,12.0,7.0,3.8,1.3,0.6,10.6,14.6,0.1,0.6,0.7,0.08,-1.3,0.8,-0.5,0.2
2011,24,2307,PHO,Phoenix Suns,28.0,NBA,SG,38.0,689.0,10.8,0.52,0.6,0.2,1.5,11.2,6.4,5.0,1.4,1.9,8.4,19.5,0.1,0.4,0.6,0.04,-1.1,-0.1,-1.2,0.1
2012,2,2307,BOS,Boston Celtics,29.0,NBA,SG,42.0,921.0,8.5,0.51,0.67,0.12,2.4,13.7,8.3,4.4,1.2,0.8,10.4,16.5,-0.2,1.4,1.2,0.06,-2.1,0.3,-1.8,0.0
2013,28,2307,TOR,Toronto Raptors,30.0,NBA,SF,19.0,386.0,6.0,0.47,0.65,0.18,1.5,9.7,5.5,3.5,1.7,1.2,13.1,14.7,-0.3,0.2,0.0,-0.0,-3.8,-0.9,-4.8,-0.3
