Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2005,14,2986,LAL,Los Angeles Lakers,20.0,NBA,SG,35.0,403.0,8.9,0.4,0.54,0.16,3.7,13.6,8.7,19.5,1.6,0.4,10.7,15.8,,0.0,0.1,0.2,0.02,,-3.0,-0.7,-3.7,-0.2
2006,14,2986,LAL,Los Angeles Lakers,21.0,NBA,PG,82.0,1449.0,8.4,0.48,0.55,0.17,2.7,10.2,6.5,14.1,1.7,0.2,13.0,12.1,,0.8,1.2,2.0,0.07,,-2.6,0.4,-2.2,-0.1
2007,14,2986,LAL,Los Angeles Lakers,22.0,NBA,SG,73.0,935.0,11.7,0.54,0.6,0.18,3.5,9.8,6.7,10.3,2.3,0.1,9.4,15.4,,1.2,0.6,1.8,0.09,,-0.9,-0.1,-1.0,0.2
2008,14,2986,LAL,Los Angeles Lakers,23.0,NBA,SG,72.0,1279.0,15.1,0.6,0.56,0.19,1.7,11.3,6.7,8.7,1.4,0.3,9.1,19.8,,2.4,1.2,3.6,0.14,,1.8,-0.7,1.2,1.0
2009,14,2986,LAL,Los Angeles Lakers,24.0,NBA,SG,80.0,1293.0,12.6,0.53,0.56,0.19,1.7,10.0,5.9,12.2,3.0,0.4,7.5,16.0,,1.8,1.9,3.7,0.14,,-1.2,2.0,0.8,0.9
2010,14,2986,LAL,Los Angeles Lakers,25.0,NBA,SG,67.0,575.0,11.4,0.52,0.49,0.2,4.9,10.4,7.7,10.5,1.8,0.5,8.7,15.2,,0.7,0.7,1.4,0.12,,-1.7,1.0,-0.7,0.2
2011,31,2986,TOT,Total After Trade,26.0,NBA,SG,67.0,1648.0,12.3,0.52,0.44,0.16,2.1,11.5,6.7,13.7,1.7,0.2,9.4,19.8,,1.1,1.0,2.1,0.06,,-1.0,-0.5,-1.5,0.2
2011,14,2986,LAL,Los Angeles Lakers,26.0,NBA,SG,11.0,54.0,3.4,0.42,0.3,0.09,2.2,6.1,4.2,14.5,1.0,0.0,17.3,24.4,,-0.1,0.0,-0.1,-0.08,,-7.2,-3.3,-10.5,-0.1
2011,3,2986,NJN,New Jersey Nets,26.0,NBA,SG,56.0,1594.0,12.6,0.52,0.45,0.16,2.1,11.7,6.7,13.6,1.8,0.2,9.0,19.6,,1.2,1.0,2.2,0.07,,-0.8,-0.4,-1.2,0.3
2014,13,2986,LAC,Los Angeles Clippers,29.0,NBA,SG,2.0,10.0,1.5,0.5,0.4,0.0,0.0,32.2,16.7,0.0,5.0,0.0,37.5,35.3,,-0.1,0.0,-0.1,-0.29,,-12.3,-0.1,-12.4,0.0
2016,20,2986,NYK,New York Knicks,31.0,NBA,SG,61.0,908.0,11.1,0.5,0.52,0.14,3.2,14.6,9.0,14.3,1.9,0.4,13.0,16.8,,0.3,0.8,1.1,0.06,,-1.5,0.3,-1.2,0.2
2017,20,2986,NYK,New York Knicks,32.0,NBA,SG,42.0,408.0,8.6,0.42,0.54,0.18,3.2,12.4,7.8,17.9,1.6,0.4,9.8,17.3,,-0.1,0.2,0.1,0.01,,-2.7,-0.5,-3.2,-0.1
