Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1981,25,POR,Portland Trail Blazers,Mychal Thompson,26,3,,132,11.8,19.3,0.61,0.0,0.0,,11.8,19.3,0.61,4.9,6.8,0.72,1.9,6.8,8.7,1.5,1.1,3.4,2.7,3.8,28.4,,121.0,103
1981,25,POR,Portland Trail Blazers,Kelvin Ransey,22,3,,131,8.8,24.8,0.35,0.0,0.4,0.0,8.8,24.4,0.36,1.1,2.3,0.5,1.9,2.7,4.6,9.6,2.3,0.4,4.2,3.1,18.7,,84.0,106
1981,25,POR,Portland Trail Blazers,Kermit Washington,29,3,,128,4.7,9.0,0.52,0.0,0.4,0.0,4.7,8.6,0.55,0.8,0.8,1.0,5.5,14.9,20.3,2.7,3.1,0.8,2.7,3.5,10.2,,106.0,98
1981,25,POR,Portland Trail Blazers,Billy Ray Bates,24,3,,115,15.2,27.0,0.56,0.4,0.4,1.0,14.8,26.5,0.56,6.1,7.4,0.82,1.3,1.7,3.0,5.7,2.2,0.4,4.8,4.8,37.0,,115.0,107
1981,25,POR,Portland Trail Blazers,Calvin Natt,24,3,,95,7.4,16.3,0.45,0.0,0.0,,7.4,16.3,0.45,2.1,4.2,0.5,3.2,7.4,10.5,0.5,0.5,0.5,3.7,2.1,16.9,,87.0,108
1981,25,POR,Portland Trail Blazers,Bob Gross,27,3,,60,7.5,11.7,0.64,0.0,0.0,,7.5,11.7,0.64,7.5,11.7,0.64,4.2,2.5,6.7,4.2,1.7,1.7,4.2,7.5,22.5,,118.0,106
1981,25,POR,Portland Trail Blazers,Mike Gale,30,3,,51,3.9,15.7,0.25,0.0,0.0,,3.9,15.7,0.25,0.0,0.0,,2.0,2.9,4.9,8.8,4.9,0.0,2.0,2.0,7.9,,76.0,101
1981,25,POR,Portland Trail Blazers,Kevin Kunnert,29,3,,43,5.8,11.6,0.5,0.0,1.2,0.0,5.8,10.5,0.56,1.2,4.7,0.25,2.3,8.1,10.5,1.2,1.2,0.0,3.5,8.1,12.8,,83.0,106
1981,25,POR,Portland Trail Blazers,Mike Harper,23,1,,6,8.3,8.3,1.0,0.0,0.0,,8.3,8.3,1.0,8.3,8.3,1.0,0.0,8.3,8.3,0.0,0.0,0.0,0.0,0.0,25.0,,218.0,109
1981,25,POR,Portland Trail Blazers,Tom Owens,31,1,,5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,,,108
1981,25,POR,Portland Trail Blazers,Jim Paxson,23,1,,4,0.0,37.5,0.0,0.0,0.0,,0.0,37.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,113
