PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Alex English,28,3,,118,10.0,21.1,0.473,0.0,0.0,,10.0,21.1,0.473,2.3,2.7,0.857,3.1,5.8,8.8,6.5,1.2,1.2,1.5,2.3,22.3,,114.0,114
Kiki Vandeweghe,23,3,,109,10.4,17.9,0.581,0.0,0.0,,10.4,17.9,0.581,7.5,7.5,1.0,1.7,5.8,7.5,3.7,0.8,1.7,2.5,2.9,28.3,,131.0,115
Dan Issel,33,3,,103,14.1,26.4,0.5329999999999999,0.0,0.0,,14.1,26.4,0.5329999999999999,5.3,5.3,1.0,3.5,5.7,9.2,2.2,1.3,0.4,3.1,4.4,33.4,,117.0,115
Billy McKinney,26,3,,91,8.0,13.4,0.593,0.0,0.5,0.0,8.0,12.9,0.615,5.0,6.0,0.833,1.0,2.0,3.0,5.0,1.5,0.0,2.5,4.5,20.9,,125.0,117
T.R. Dunn,26,3,,81,3.4,7.3,0.462,0.0,0.0,,3.4,7.3,0.462,3.9,4.5,0.875,5.6,4.5,10.1,5.6,4.5,0.6,2.8,6.2,10.6,,119.0,109
David Thompson,27,3,,66,10.3,22.6,0.455,0.7,2.1,0.33299999999999996,9.6,20.6,0.467,2.7,4.8,0.5710000000000001,2.7,4.1,6.9,4.1,0.7,0.0,5.5,5.5,24.0,,91.0,117
Kenny Higgs,27,3,,54,6.7,17.6,0.381,0.0,1.7,0.0,6.7,15.9,0.42100000000000004,5.9,10.1,0.583,0.8,1.7,2.5,5.0,2.5,0.0,4.2,10.1,19.3,,88.0,115
Glen Gondrezick,26,3,,51,7.1,17.8,0.4,0.0,0.9,0.0,7.1,16.9,0.42100000000000004,1.8,2.7,0.667,2.7,4.4,7.1,8.0,1.8,0.9,0.0,7.1,16.0,,114.0,114
Cedrick Hordges,25,3,,45,8.1,19.1,0.42100000000000004,0.0,1.0,0.0,8.1,18.1,0.444,3.0,4.0,0.75,2.0,11.1,13.1,2.0,1.0,0.0,4.0,4.0,19.1,,88.0,112
James Ray,24,1,,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,22.6,0.0,22.6,0.0,,,103
