Season,Tm,Player,Rank,Pts Won,Pts Max,Share,Type
2009,CHI,Derrick Rose,1,574.0,600,0.957,ROY
2009,MEM,O.J. Mayo,2,246.0,600,0.41,ROY
2009,NJN,Brook Lopez,3,127.0,600,0.212,ROY
2009,OKC,Russell Westbrook,4,73.0,600,0.122,ROY
2009,LAC,Eric Gordon,5,22.0,600,0.037,ROY
2009,MIN,Kevin Love,6,16.0,600,0.027,ROY
2009,MIA,Michael Beasley,7,7.0,600,0.012,ROY
2009,MEM,Marc Gasol,8,4.0,600,0.007,ROY
2009,POR,Rudy Fernandez,9T,3.0,600,0.005,ROY
2009,PHO,Robin Lopez,9T,3.0,600,0.005,ROY
2009,MIA,Mario Chalmers,11T,2.0,600,0.003,ROY
2009,ORL,Courtney Lee,11T,2.0,600,0.003,ROY
2009,POR,Nicolas Batum,13,1.0,600,0.002,ROY
