Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
2004,12,1550,IND,Indiana Pacers,James Jones,1980-10-04,23.0,NBA,SF,6.0,0.0,26.0,4.2,19.0,0.22,2.1,8.4,0.25,2.1,10.5,0.2,4.2,4.2,1.0,0.0,4.2,4.2,0.0,2.1,0.0,0.0,2.1,14.8,83.0,100.0
2005,12,1550,IND,Indiana Pacers,James Jones,1980-10-04,24.0,NBA,SF,75.0,24.0,1330.0,5.2,13.2,0.4,2.7,6.9,0.4,2.5,6.3,0.4,2.2,2.6,0.86,1.6,5.6,7.2,2.4,1.3,1.2,1.8,5.1,15.4,108.0,106.0
2006,24,1550,PHO,Phoenix Suns,James Jones,1980-10-04,25.0,NBA,SF,75.0,24.0,1772.0,6.9,16.4,0.42,3.1,8.1,0.39,3.8,8.4,0.45,2.9,3.4,0.85,1.2,5.9,7.2,1.6,1.1,1.4,1.0,4.0,19.8,112.0,107.0
2007,24,1550,PHO,Phoenix Suns,James Jones,1980-10-04,26.0,NBA,SF,76.0,7.0,1376.0,5.9,16.0,0.37,3.3,8.7,0.38,2.6,7.4,0.36,2.6,3.0,0.88,1.2,5.2,6.4,1.6,1.0,1.5,1.0,4.2,17.7,106.0,108.0
2008,25,1550,POR,Portland Trail Blazers,James Jones,1980-10-04,27.0,NBA,SF,58.0,3.0,1276.0,6.1,14.0,0.44,3.9,8.8,0.44,2.2,5.2,0.43,3.7,4.2,0.88,1.8,5.0,6.9,1.5,1.0,0.6,1.2,4.1,19.8,126.0,111.0
2009,16,1550,MIA,Miami Heat,James Jones,1980-10-04,28.0,NBA,SF,40.0,1.0,630.0,4.7,12.6,0.37,2.8,8.1,0.34,1.9,4.5,0.42,2.2,2.6,0.84,1.0,4.2,5.3,1.7,1.0,1.2,1.0,4.9,14.3,108.0,111.0
2010,16,1550,MIA,Miami Heat,James Jones,1980-10-04,29.0,NBA,SF,36.0,6.0,503.0,4.6,12.7,0.36,3.9,9.6,0.41,0.6,3.1,0.21,2.4,3.0,0.82,0.4,4.4,4.8,1.8,1.2,0.4,1.2,4.8,15.5,113.0,108.0
2011,16,1550,MIA,Miami Heat,James Jones,1980-10-04,30.0,NBA,SF,81.0,8.0,1549.0,5.0,11.8,0.42,4.2,9.8,0.43,0.8,2.0,0.39,2.0,2.5,0.83,0.8,4.7,5.5,1.5,1.0,0.6,0.7,4.4,16.2,128.0,107.0
2012,16,1550,MIA,Miami Heat,James Jones,1980-10-04,31.0,NBA,SG,51.0,10.0,666.0,4.5,11.9,0.38,3.6,9.0,0.4,0.9,2.8,0.31,2.0,2.4,0.83,0.5,3.4,3.9,1.5,1.3,0.7,0.8,3.6,14.6,117.0,104.0
2013,16,1550,MIA,Miami Heat,James Jones,1980-10-04,32.0,NBA,SF,38.0,0.0,221.0,5.0,14.6,0.34,3.8,12.7,0.3,1.2,1.9,0.62,0.5,1.0,0.5,0.0,5.3,5.3,3.1,0.5,1.4,0.7,3.8,14.4,101.0,108.0
2014,16,1550,MIA,Miami Heat,James Jones,1980-10-04,33.0,NBA,SF,20.0,6.0,236.0,6.9,15.2,0.46,6.2,12.0,0.52,0.7,3.1,0.21,1.6,2.5,0.64,0.4,4.7,5.1,2.0,0.7,0.9,0.9,1.3,21.6,127.0,110.0
2015,6,1550,CLE,Cleveland Cavaliers,James Jones,1980-10-04,34.0,NBA,SF,57.0,2.0,669.0,5.7,15.6,0.37,4.9,13.6,0.36,0.9,2.0,0.42,3.0,3.6,0.85,0.7,4.1,4.8,1.9,1.0,0.6,1.0,5.2,19.4,117.0,110.0
2016,6,1550,CLE,Cleveland Cavaliers,James Jones,1980-10-04,35.0,NBA,SF,48.0,0.0,463.0,6.4,15.8,0.41,4.6,11.6,0.39,1.9,4.2,0.45,2.3,2.9,0.81,0.9,4.7,5.6,1.6,1.2,1.1,1.4,5.6,19.8,114.0,106.0
2017,6,1550,CLE,Cleveland Cavaliers,James Jones,1980-10-04,36.0,NBA,SF,48.0,2.0,381.0,5.8,12.1,0.48,4.1,8.6,0.47,1.7,3.4,0.5,1.7,2.6,0.65,0.4,4.5,4.8,1.8,0.8,1.3,1.3,4.8,17.3,122.0,113.0
