Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1999,12,636,IND,Indiana Pacers,Austin Croshere,"May 1, 1975",23.0,NBA,PF,1.0,0.0,1.0,0.0,55.3,0.0,0.0,0.0,,0.0,55.3,0.0,110.7,110.7,1.0,55.3,0.0,55.3,0.0,0.0,0.0,0.0,0.0,110.7,,145.0,112.0
2000,12,636,IND,Indiana Pacers,Austin Croshere,"May 1, 1975",24.0,NBA,PF,23.0,2.0,490.0,7.0,16.8,0.42,1.7,4.1,0.4,5.4,12.8,0.42,8.0,9.6,0.84,3.4,8.6,12.0,2.1,1.0,1.8,2.8,5.6,23.8,,113.0,105.0
2001,12,636,IND,Indiana Pacers,Austin Croshere,"May 1, 1975",25.0,NBA,PF,4.0,0.0,129.0,6.0,15.0,0.4,0.9,4.3,0.2,5.1,10.7,0.48,5.6,6.4,0.87,2.1,6.4,8.6,2.6,1.7,0.9,3.9,6.4,18.4,,95.0,107.0
2002,12,636,IND,Indiana Pacers,Austin Croshere,"May 1, 1975",26.0,NBA,PF,4.0,0.0,59.0,7.2,18.0,0.4,1.8,5.4,0.33,5.4,12.6,0.43,5.4,7.2,0.75,3.6,9.0,12.6,1.8,0.9,0.9,5.4,6.3,21.6,,89.0,97.0
2003,12,636,IND,Indiana Pacers,Austin Croshere,"May 1, 1975",27.0,NBA,PF,4.0,0.0,46.0,5.9,22.3,0.26,0.0,7.0,0.0,5.9,15.3,0.38,7.0,8.2,0.86,9.4,10.6,20.0,3.5,0.0,1.2,3.5,5.9,18.8,,89.0,109.0
2004,12,636,IND,Indiana Pacers,Austin Croshere,"May 1, 1975",28.0,NBA,PF,13.0,2.0,214.0,4.9,14.3,0.34,2.1,6.2,0.33,2.9,8.0,0.36,4.4,5.4,0.81,3.4,7.0,10.4,3.1,1.0,0.8,1.6,4.4,16.3,,108.0,97.0
2005,12,636,IND,Indiana Pacers,Austin Croshere,"May 1, 1975",29.0,NBA,PF,10.0,0.0,88.0,2.6,6.4,0.4,1.3,2.6,0.5,1.3,3.8,0.33,9.6,11.5,0.83,4.5,6.4,10.9,0.0,2.6,0.6,3.8,6.4,16.0,,117.0,101.0
2006,12,636,IND,Indiana Pacers,Austin Croshere,"May 1, 1975",30.0,NBA,PF,6.0,2.0,175.0,3.8,12.0,0.32,2.9,7.3,0.39,1.0,4.8,0.2,5.1,5.7,0.89,1.6,5.4,7.0,2.2,1.6,0.0,1.9,3.5,15.5,,108.0,109.0
2007,7,636,DAL,Dallas Mavericks,Austin Croshere,"May 1, 1975",31.0,NBA,PF,3.0,0.0,34.0,6.1,18.2,0.33,4.5,6.1,0.75,1.5,12.1,0.12,6.1,6.1,1.0,4.5,4.5,9.1,0.0,0.0,0.0,3.0,7.6,22.7,,111.0,119.0
