SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
2017,11,HOU,Trevor Ariza,31,11,11,413,4.9,11.7,0.42,2.8,7.4,0.38,2.2,4.3,0.5,1.6,1.7,0.93,1.0,5.8,6.8,2.8,1.7,0.2,1.1,3.0,14.2,,118,111
2017,11,HOU,James Harden,27,11,11,407,11.0,26.7,0.41,3.9,14.1,0.28,7.1,12.6,0.56,12.4,14.1,0.88,0.9,6.5,7.3,11.4,2.6,0.6,7.2,5.3,38.3,,111,108
2017,11,HOU,Eric Gordon,28,11,2,358,7.1,16.8,0.42,3.8,9.7,0.39,3.3,7.1,0.47,1.8,2.5,0.72,0.7,5.3,6.0,3.1,1.1,0.8,1.9,2.8,19.8,,108,112
2017,11,HOU,Ryan Anderson,28,11,9,336,5.3,13.6,0.39,2.5,8.9,0.28,2.8,4.7,0.59,2.1,2.4,0.88,2.2,6.2,8.4,1.0,0.6,0.3,1.3,3.6,15.3,,107,113
2017,11,HOU,Patrick Beverley,28,11,11,325,6.9,16.7,0.41,3.2,8.0,0.4,3.7,8.7,0.42,1.7,2.1,0.79,3.2,6.1,9.3,5.1,2.5,0.3,2.8,5.8,18.7,,109,109
2017,11,HOU,Clint Capela,22,11,11,286,8.0,14.3,0.56,0.0,0.2,0.0,8.0,14.1,0.57,4.2,6.8,0.62,4.5,12.2,16.7,2.1,1.4,4.9,1.4,4.9,20.2,,124,102
2017,11,HOU,Lou Williams,30,11,0,272,9.2,21.6,0.42,2.2,7.1,0.31,7.0,14.5,0.48,4.8,5.3,0.9,1.3,4.2,5.5,2.6,1.3,0.2,2.6,3.1,25.3,,104,113
2017,11,HOU,NenA HilArio,34,9,0,161,11.1,15.8,0.71,0.0,0.3,0.0,11.1,15.5,0.72,5.6,9.6,0.58,3.4,9.6,13.0,1.5,1.9,1.2,2.8,7.4,27.8,,127,107
2017,11,HOU,Sam Dekker,22,4,0,31,4.8,19.3,0.25,4.8,9.6,0.5,0.0,9.6,0.0,0.0,0.0,,8.0,8.0,16.1,1.6,1.6,1.6,0.0,3.2,14.5,,105,108
2017,11,HOU,Bobby Brown,32,5,0,22,22.6,45.3,0.5,11.3,24.9,0.46,11.3,20.4,0.56,0.0,0.0,,0.0,4.5,4.5,2.3,0.0,0.0,0.0,2.3,56.6,,117,116
2017,11,HOU,Montrezl Harrell,23,5,0,21,2.4,7.1,0.33,0.0,0.0,,2.4,7.1,0.33,7.1,14.2,0.5,2.4,11.9,14.2,4.7,0.0,0.0,4.7,16.6,11.9,,86,110
2017,11,HOU,Troy Williams,22,5,0,19,0.0,23.6,0.0,0.0,13.1,0.0,0.0,10.5,0.0,2.6,5.2,0.5,5.2,13.1,18.3,2.6,0.0,0.0,5.2,0.0,2.6,,28,110
2017,11,HOU,Isaiah Taylor,22,3,0,10,0.0,10.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,,5.0,5.0,10.0,5.0,0.0,0.0,0.0,5.0,0.0,,62,115
2017,11,HOU,Kyle Wiltjer,24,1,0,5,10.0,10.0,1.0,10.0,10.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.9,,300,119
