Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1998,27,800,SAS,San Antonio Spurs,21.0,NBA,PF,82,82,3204,706,1287,0.55,0,10,0.0,706,1277,0.55,0.55,319,482,0.66,274,703,977,224,55,206,279,254,1731,,0
1999,27,800,SAS,San Antonio Spurs,22.0,NBA,PF,50,50,1963,418,845,0.5,1,7,0.14,417,838,0.5,0.5,247,358,0.69,159,412,571,121,45,126,146,147,1084,,0
2001,27,800,SAS,San Antonio Spurs,24.0,NBA,PF,82,82,3174,702,1406,0.5,7,27,0.26,695,1379,0.5,0.5,409,662,0.62,259,738,997,245,70,192,242,247,1820,,0
2002,27,800,SAS,San Antonio Spurs,25.0,NBA,PF,82,82,3329,764,1504,0.51,1,10,0.1,763,1494,0.51,0.51,560,701,0.8,268,774,1042,307,61,203,263,217,2089,,0
2003,27,800,SAS,San Antonio Spurs,26.0,NBA,PF,81,81,3181,714,1392,0.51,6,22,0.27,708,1370,0.52,0.52,450,634,0.71,259,784,1043,316,55,237,248,231,1884,,1
2004,27,800,SAS,San Antonio Spurs,27.0,NBA,PF,69,68,2527,592,1181,0.5,2,12,0.17,590,1169,0.5,0.5,352,588,0.6,227,632,859,213,62,185,183,164,1538,,0
2005,27,800,SAS,San Antonio Spurs,28.0,NBA,PF,66,66,2203,517,1042,0.5,3,9,0.33,514,1033,0.5,0.5,305,455,0.67,202,530,732,179,45,174,127,144,1342,,0
2006,27,800,SAS,San Antonio Spurs,29.0,NBA,PF,80,80,2784,574,1185,0.48,2,5,0.4,572,1180,0.48,0.48,335,533,0.63,231,650,881,253,70,162,198,219,1485,,0
2007,27,800,SAS,San Antonio Spurs,30.0,NBA,C,80,80,2726,618,1131,0.55,1,9,0.11,617,1122,0.55,0.55,362,568,0.64,213,633,846,273,66,190,224,203,1599,,0
2008,27,800,SAS,San Antonio Spurs,31.0,NBA,C,78,78,2651,585,1178,0.5,0,4,0.0,585,1174,0.5,0.5,338,463,0.73,237,644,881,218,56,152,178,185,1508,,0
2009,27,800,SAS,San Antonio Spurs,32.0,NBA,C,75,75,2524,558,1107,0.5,0,2,0.0,558,1105,0.5,0.5,334,483,0.69,201,599,800,264,38,126,165,173,1450,,0
2010,27,800,SAS,San Antonio Spurs,33.0,NBA,C,78,77,2438,561,1082,0.52,2,11,0.18,559,1071,0.52,0.52,271,374,0.72,221,567,788,246,45,117,140,152,1395,,0
2011,27,800,SAS,San Antonio Spurs,34.0,NBA,C,76,76,2156,419,838,0.5,0,4,0.0,419,834,0.5,0.5,184,257,0.72,169,509,678,203,50,146,122,119,1022,,1
2012,27,800,SAS,San Antonio Spurs,35.0,NBA,C,58,58,1634,361,733,0.49,0,4,0.0,361,729,0.5,0.49,173,249,0.7,110,410,520,132,38,88,97,98,895,,0
2013,27,800,SAS,San Antonio Spurs,36.0,NBA,C,69,69,2078,490,976,0.5,2,7,0.29,488,969,0.5,0.5,245,300,0.82,124,562,686,184,50,183,147,117,1227,,0
2014,27,800,SAS,San Antonio Spurs,37.0,NBA,C,74,74,2158,444,906,0.49,0,5,0.0,444,901,0.49,0.49,231,316,0.73,158,563,721,220,43,139,159,134,1119,,0
2015,27,800,SAS,San Antonio Spurs,38.0,NBA,C,77,77,2227,419,819,0.51,2,7,0.29,417,812,0.51,0.51,230,311,0.74,170,534,704,230,63,151,131,165,1070,,1
2016,27,800,SAS,San Antonio Spurs,39.0,NBA,C,61,60,1536,215,441,0.49,0,2,0.0,215,439,0.49,0.49,92,131,0.7,115,332,447,163,47,78,90,125,522,,0
