Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
2019,13,1033,LAC,Los Angeles Clippers,Shai Gilgeous-Alexander,"July 12, 1998",20.0,NBA,PG,82.0,73.0,2174.0,341.0,716.0,0.48,51.0,139.0,0.37,290.0,577.0,0.5,0.51,156.0,195.0,0.8,57.0,175.0,232.0,270.0,96.0,45.0,141.0,175.0,889.0,0.0
2020,21,1033,OKC,Oklahoma City Thunder,Shai Gilgeous-Alexander,"July 12, 1998",21.0,NBA,SG,70.0,70.0,2428.0,478.0,1015.0,0.47,87.0,251.0,0.35,391.0,764.0,0.51,0.51,288.0,357.0,0.81,47.0,365.0,412.0,232.0,79.0,47.0,134.0,117.0,1331.0,1.0
2021,21,1033,OKC,Oklahoma City Thunder,Shai Gilgeous-Alexander,"July 12, 1998",22.0,NBA,SG,21.0,21.0,709.0,167.0,330.0,0.51,39.0,102.0,0.38,128.0,228.0,0.56,0.56,101.0,131.0,0.77,14.0,102.0,116.0,137.0,18.0,14.0,62.0,43.0,474.0,0.0
