SEASON,TEAM ID,TEAM,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
2007,19,NOK,12,Hilton Armstrong,C,6-11,235,1984-11-11,US,R,UConn
2007,19,NOK,33,Brandon Bass,PF,6-8,250,1985-04-30,US,1,LSU
2007,19,NOK,23,Devin Brown,SG,6-5,220,1978-12-30,US,4,Texas-San Antonio
2007,19,NOK,45,Rasual Butler,SF,6-7,215,1979-05-23,US,4,La Salle
2007,19,NOK,6,Tyson Chandler,C,7-0,235,1982-10-02,US,5,
2007,19,NOK,8,Bobby Jackson,SG,6-1,185,1973-03-13,US,9,Minnesota
2007,19,NOK,44,Marc Jackson,PF,6-10,270,1975-01-16,US,6,"VCU, Temple"
2007,19,NOK,43,Linton Johnson,PF,6-8,205,1980-06-13,US,3,Tulane
2007,19,NOK,24,Desmond Mason,SF,6-7,224,1977-10-11,US,6,Oklahoma State
2007,19,NOK,2,Jannero Pargo,PG,6-1,175,1979-10-22,US,4,Arkansas
2007,19,NOK,3,Chris Paul,PG,6-1,175,1985-05-06,US,1,Wake Forest
2007,19,NOK,22,Cedric Simmons,PF,6-9,235,1986-01-03,US,R,NC State
2007,19,NOK,16,Peja Stojakovic,SF,6-10,229,1977-06-09,HR,8,
2007,19,NOK,11,Marcus Vinicius,SF,6-8,225,1984-05-31,BR,R,
2007,19,NOK,30,David West,PF,6-9,250,1980-08-29,US,3,Xavier
