SEASON,TEAM ID,TEAM,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
2007,4,CHA,15,Alan Anderson,SG,6-6,220,1982-10-16,US,1,Michigan State
2007,4,CHA,23,Derek Anderson,SF,6-5,194,1974-07-18,US,9,"Ohio State, Kentucky"
2007,4,CHA,7,Primoz Brezec,C,7-2,252,1979-10-02,SI,5,
2007,4,CHA,13,Matt Carroll,SG,6-6,212,1980-08-28,US,3,Notre Dame
2007,4,CHA,2,Melvin Ely,PF,6-10,260,1978-05-02,US,4,Fresno State
2007,4,CHA,20,Raymond Felton,PG,6-1,205,1984-06-26,US,1,UNC
2007,4,CHA,24,Othella Harrington,PF,6-9,235,1974-01-31,US,10,Georgetown
2007,4,CHA,5,Walter Herrmann,PF,6-9,225,1979-06-26,AR,R,
2007,4,CHA,1,Ryan Hollins,C,7-0,240,1984-10-10,US,R,UCLA
2007,4,CHA,22,Brevin Knight,PG,5-10,173,1975-11-08,US,9,Stanford
2007,4,CHA,42,Sean May,PF,6-9,266,1984-04-04,US,1,UNC
2007,4,CHA,0,Jeff McInnis,PG,6-4,190,1974-10-22,US,9,UNC
2007,4,CHA,35,Adam Morrison,PF,6-8,205,1984-07-19,US,R,Gonzaga
2007,4,CHA,50,Emeka Okafor,C,6-10,252,1982-09-28,US,2,UConn
2007,4,CHA,21,Bernard Robinson,SG,6-6,210,1980-12-26,US,2,Michigan
2007,4,CHA,43,Jake Voskuhl,C,6-11,245,1977-11-01,US,6,UConn
2007,4,CHA,3,Gerald Wallace,SF,6-7,215,1982-07-23,US,5,Alabama
2007,4,CHA,55,Eric Williams,SF,6-8,220,1972-07-17,US,11,Providence
