Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001,22,1999,ORL,Orlando Magic,Mike Miller,1980-02-19,20.0,NBA,SF,4.0,4.0,112.0,6.1,15.4,0.4,2.3,5.8,0.39,3.9,9.6,0.4,1.0,1.3,0.75,1.6,4.2,5.8,2.3,0.0,1.0,1.0,4.2,15.4
2002,22,1999,ORL,Orlando Magic,Mike Miller,1980-02-19,21.0,NBA,SF,4.0,1.0,72.0,3.5,10.5,0.33,0.5,4.0,0.12,3.0,6.5,0.46,2.0,2.0,1.0,0.0,2.5,2.5,2.5,2.0,0.0,2.0,4.0,9.5
2004,15,1999,MEM,Memphis Grizzlies,Mike Miller,1980-02-19,23.0,NBA,SF,4.0,4.0,98.0,4.4,12.5,0.35,1.8,4.8,0.38,2.6,7.7,0.33,0.4,1.1,0.33,0.0,4.4,4.4,1.1,1.8,0.0,1.8,1.5,11.0
2005,15,1999,MEM,Memphis Grizzlies,Mike Miller,1980-02-19,24.0,NBA,SF,4.0,4.0,110.0,5.9,12.1,0.49,2.6,5.6,0.47,3.3,6.5,0.5,1.3,1.3,1.0,0.0,3.3,3.3,3.6,0.0,1.0,1.6,2.3,15.7
2006,15,1999,MEM,Memphis Grizzlies,Mike Miller,1980-02-19,25.0,NBA,SG,4.0,1.0,107.0,4.0,10.1,0.4,0.3,2.7,0.12,3.7,7.4,0.5,3.0,3.0,1.0,0.3,4.7,5.0,2.4,0.7,0.7,2.7,3.7,11.4
2011,16,1999,MIA,Miami Heat,Mike Miller,1980-02-19,30.0,NBA,SG,18.0,0.0,215.0,3.0,8.9,0.34,1.8,6.2,0.3,1.2,2.7,0.44,0.0,0.0,,1.5,6.7,8.2,2.2,1.2,0.2,1.3,4.4,7.9
2012,16,1999,MIA,Miami Heat,Mike Miller,1980-02-19,31.0,NBA,SG,23.0,0.0,368.0,3.9,9.7,0.4,3.0,7.3,0.41,0.9,2.3,0.38,0.9,1.1,0.82,0.9,4.8,5.7,1.7,0.9,0.2,1.2,4.0,11.7
2013,16,1999,MIA,Miami Heat,Mike Miller,1980-02-19,32.0,NBA,SF,17.0,5.0,232.0,3.3,7.0,0.47,2.5,5.6,0.44,0.8,1.4,0.56,0.0,0.0,,0.5,4.7,5.1,2.3,1.2,0.3,0.8,4.0,9.0
2014,15,1999,MEM,Memphis Grizzlies,Mike Miller,1980-02-19,33.0,NBA,SF,7.0,1.0,173.0,3.1,8.7,0.36,2.9,6.0,0.48,0.2,2.7,0.08,1.5,1.9,0.78,0.4,5.0,5.4,1.9,1.2,0.0,1.0,3.3,10.6
2015,6,1999,CLE,Cleveland Cavaliers,Mike Miller,1980-02-19,34.0,NBA,SF,9.0,1.0,65.0,1.7,2.8,0.6,1.7,2.8,0.6,0.0,0.0,,0.0,0.0,,0.0,5.5,5.5,0.0,0.6,0.6,0.6,3.3,5.0
