Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1981,5,1540,CHI,Chicago Bulls,Dwight Jones,"February 27, 1952",28.0,NBA,PF,6.0,,217.0,4.8,10.1,0.48,0.0,0.0,,4.8,10.1,0.48,2.8,2.8,1.0,3.0,6.8,9.8,1.8,0.8,0.5,2.7,3.5,12.4
1983,14,1540,LAL,Los Angeles Lakers,Dwight Jones,"February 27, 1952",30.0,NBA,PF,7.0,,59.0,3.1,9.8,0.31,0.0,0.0,,3.1,9.8,0.31,1.2,3.1,0.4,2.4,4.9,7.3,0.0,0.6,0.0,3.1,6.7,7.3
