PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Grant Hill,25,81,81,3294,10.2,22.5,0.452,0.0,0.3,0.14300000000000002,10.1,22.1,0.457,7.9,10.7,0.74,1.5,8.8,10.3,9.1,2.4,0.9,4.7,3.2,28.3,,106,101
Bison Dele,28,78,78,2619,11.0,21.6,0.511,0.0,0.1,0.33299999999999996,11.0,21.5,0.511,4.1,5.8,0.7070000000000001,4.6,9.8,14.4,2.0,1.4,1.1,3.8,5.2,26.2,,105,102
Lindsey Hunter,27,71,67,2505,6.9,17.9,0.38299999999999995,1.8,5.8,0.321,5.0,12.2,0.41200000000000003,3.1,4.3,0.74,1.3,4.0,5.4,4.9,2.7,0.2,2.4,3.8,18.7,,101,104
Joe Dumars,34,72,72,2326,7.7,18.5,0.41600000000000004,3.7,10.0,0.371,4.0,8.5,0.46799999999999997,3.0,3.6,0.825,0.3,2.1,2.4,5.9,1.0,0.0,2.0,2.3,22.1,,115,109
Jerry Stackhouse,23,57,15,1797,9.0,21.0,0.428,0.9,4.5,0.20800000000000002,8.0,16.4,0.488,8.3,10.6,0.782,2.3,3.4,5.8,5.3,1.8,1.2,4.5,3.6,27.1,,104,106
Malik Sealy,27,77,10,1641,7.2,16.7,0.428,0.3,1.4,0.22,6.9,15.4,0.446,5.0,6.0,0.8240000000000001,1.6,5.7,7.3,3.3,2.2,0.7,2.6,5.2,19.6,,103,104
Jerome Williams,24,77,3,1305,6.3,12.0,0.524,0.0,0.0,0.0,6.3,12.0,0.526,4.5,6.9,0.6509999999999999,7.1,8.7,15.8,2.0,2.1,0.4,2.5,6.0,17.1,,117,102
Don Reid,24,68,44,994,5.1,9.6,0.534,0.0,0.0,,5.1,9.6,0.534,2.7,3.9,0.7040000000000001,4.2,5.4,9.6,1.4,1.4,3.0,1.5,10.0,13.0,,119,103
Grant Long,31,40,17,739,3.7,8.6,0.42700000000000005,0.0,0.3,0.0,3.7,8.3,0.442,3.0,4.2,0.7190000000000001,4.2,6.8,11.0,1.8,2.1,0.9,1.6,6.7,10.4,,109,103
Rick Mahorn,39,59,0,707,4.5,9.9,0.457,0.0,0.0,,4.5,9.9,0.457,1.8,2.6,0.6759999999999999,5.0,10.0,15.0,1.2,1.1,0.5,2.8,9.5,10.9,,97,103
Theo Ratliff,24,24,12,586,5.3,10.3,0.514,0.0,0.0,,5.3,10.3,0.514,4.0,5.8,0.6829999999999999,4.3,7.0,11.2,1.4,1.1,5.1,3.2,7.7,14.6,,105,101
Aaron McKie,25,24,1,472,5.0,12.0,0.413,0.3,2.0,0.17600000000000002,4.6,10.0,0.46,2.3,2.7,0.87,2.8,5.1,7.8,4.4,2.7,0.1,2.8,5.4,12.6,,99,104
Eric Montross,26,28,10,354,4.8,10.5,0.456,0.0,0.0,,4.8,10.5,0.456,1.4,3.2,0.429,6.3,10.1,16.4,0.6,0.9,2.3,2.2,10.1,10.9,,99,101
Scot Pollard,22,33,0,317,6.0,12.0,0.5,0.0,0.0,,6.0,12.0,0.5,3.3,3.9,0.826,5.8,6.9,12.7,1.5,1.4,1.7,2.1,8.2,15.3,,116,103
Charles O'Bannon,22,30,0,234,6.0,16.0,0.377,0.0,0.7,0.0,6.0,15.3,0.39399999999999996,2.8,3.5,0.8,3.3,4.4,7.7,4.0,2.1,0.2,2.1,3.5,14.9,,97,105
Steve Henson,29,23,0,65,10.9,21.8,0.5,2.5,6.7,0.375,8.4,15.1,0.556,5.9,5.9,1.0,0.0,1.7,1.7,3.3,0.8,0.0,5.0,7.5,30.1,,108,110
