Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1993,23,3047,PHI,Philadelphia 76Ers,22.0,NBA,SF,82.0,82.0,2654.0,494.0,1053.0,0.47,1.0,4.0,0.25,493.0,1049.0,0.47,0.47,291.0,408.0,0.71,179.0,410.0,589.0,147.0,85.0,67.0,176.0,188.0,1280.0,,0.0
1994,23,3047,PHI,Philadelphia 76Ers,23.0,NBA,SF,82.0,82.0,3147.0,602.0,1246.0,0.48,4.0,17.0,0.24,598.0,1229.0,0.49,0.48,298.0,430.0,0.69,254.0,578.0,832.0,192.0,100.0,116.0,195.0,152.0,1506.0,,1.0
1995,23,3047,PHI,Philadelphia 76Ers,24.0,NBA,SF,76.0,76.0,2991.0,543.0,1238.0,0.44,4.0,21.0,0.19,539.0,1217.0,0.44,0.44,283.0,377.0,0.75,144.0,382.0,526.0,215.0,115.0,67.0,191.0,195.0,1373.0,,0.0
1996,23,3047,PHI,Philadelphia 76Ers,25.0,NBA,SF,78.0,75.0,3096.0,491.0,1015.0,0.48,0.0,2.0,0.0,491.0,1013.0,0.48,0.48,318.0,426.0,0.75,237.0,516.0,753.0,158.0,112.0,108.0,179.0,214.0,1300.0,,0.0
1997,23,3047,PHI,Philadelphia 76Ers,26.0,NBA,SF,82.0,82.0,2949.0,398.0,811.0,0.49,1.0,6.0,0.17,397.0,805.0,0.49,0.49,206.0,279.0,0.74,219.0,460.0,679.0,140.0,74.0,86.0,137.0,187.0,1003.0,,0.0
1998,31,3047,TOT,Total After Trade,27.0,NBA,PF,79.0,49.0,2325.0,268.0,608.0,0.44,0.0,0.0,,268.0,608.0,0.44,0.44,200.0,277.0,0.72,198.0,396.0,594.0,89.0,85.0,74.0,119.0,194.0,736.0,,0.0
1998,23,3047,PHI,Philadelphia 76Ers,27.0,NBA,PF,48.0,18.0,1290.0,141.0,331.0,0.43,0.0,0.0,,141.0,331.0,0.43,0.43,123.0,174.0,0.71,109.0,227.0,336.0,40.0,43.0,52.0,69.0,108.0,405.0,,0.0
1998,10,3047,GSW,Golden State Warriors,27.0,NBA,PF,31.0,31.0,1035.0,127.0,277.0,0.46,0.0,0.0,,127.0,277.0,0.46,0.46,77.0,103.0,0.75,89.0,169.0,258.0,49.0,42.0,22.0,50.0,86.0,331.0,,0.0
1999,16,3047,MIA,Miami Heat,28.0,NBA,SF,49.0,3.0,1040.0,141.0,264.0,0.53,0.0,0.0,,141.0,264.0,0.53,0.53,115.0,143.0,0.8,72.0,171.0,243.0,34.0,28.0,17.0,61.0,107.0,397.0,,0.0
2001,6,3047,CLE,Cleveland Cavaliers,30.0,NBA,PF,82.0,82.0,2774.0,347.0,692.0,0.5,0.0,0.0,,347.0,692.0,0.5,0.5,230.0,291.0,0.79,223.0,573.0,796.0,103.0,85.0,105.0,112.0,171.0,924.0,,0.0
2002,20,3047,NYK,New York Knicks,31.0,NBA,PF,56.0,41.0,1728.0,189.0,452.0,0.42,0.0,0.0,,189.0,452.0,0.42,0.42,116.0,146.0,0.8,149.0,311.0,460.0,60.0,37.0,48.0,47.0,132.0,494.0,,0.0
2003,20,3047,NYK,New York Knicks,32.0,NBA,PF,79.0,19.0,2024.0,186.0,414.0,0.45,0.0,0.0,,186.0,414.0,0.45,0.45,149.0,194.0,0.77,214.0,385.0,599.0,68.0,69.0,36.0,63.0,174.0,521.0,,0.0
2004,31,3047,TOT,Total After Trade,33.0,NBA,PF,52.0,1.0,868.0,104.0,211.0,0.49,0.0,1.0,0.0,104.0,210.0,0.5,0.49,53.0,72.0,0.74,74.0,130.0,204.0,30.0,30.0,15.0,35.0,75.0,261.0,,0.0
2004,20,3047,NYK,New York Knicks,33.0,NBA,PF,15.0,1.0,216.0,18.0,40.0,0.45,0.0,0.0,,18.0,40.0,0.45,0.45,18.0,19.0,0.95,14.0,36.0,50.0,13.0,8.0,2.0,9.0,19.0,54.0,,0.0
2004,11,3047,HOU,Houston Rockets,33.0,NBA,PF,37.0,0.0,652.0,86.0,171.0,0.5,0.0,1.0,0.0,86.0,170.0,0.51,0.5,35.0,53.0,0.66,60.0,94.0,154.0,17.0,22.0,13.0,26.0,56.0,207.0,,0.0
2005,11,3047,HOU,Houston Rockets,34.0,NBA,PF,40.0,18.0,525.0,47.0,114.0,0.41,0.0,0.0,,47.0,114.0,0.41,0.41,29.0,35.0,0.83,35.0,87.0,122.0,17.0,9.0,6.0,15.0,74.0,123.0,,0.0
