Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1985,21,3254,SEA,Seattle Supersonics,22.0,NBA,PG,3.0,0.0,26.0,3.7,18.6,0.2,0.0,1.9,0.0,3.7,16.7,0.22,0.0,0.0,,0.0,5.6,5.6,3.7,5.6,0.0,3.7,3.7,7.4,,45.0,101.0
1986,21,3254,SEA,Seattle Supersonics,23.0,NBA,PG,82.0,29.0,1901.0,5.9,11.6,0.51,0.6,1.9,0.32,5.3,9.7,0.54,2.3,2.7,0.85,0.8,2.4,3.1,7.9,2.9,0.2,2.4,2.9,14.7,,116.0,107.0
1987,21,3254,SEA,Seattle Supersonics,24.0,NBA,PG,73.0,26.0,1482.0,4.2,9.2,0.46,0.9,2.5,0.37,3.3,6.6,0.49,1.9,2.3,0.83,0.7,2.9,3.6,11.2,2.4,0.1,2.7,2.3,11.2,,118.0,112.0
1988,21,3254,SEA,Seattle Supersonics,25.0,NBA,PG,77.0,0.0,949.0,4.5,11.0,0.41,1.1,3.9,0.29,3.4,7.1,0.48,2.2,2.7,0.81,0.9,2.9,3.8,11.0,2.6,0.1,1.9,3.5,12.3,,120.0,109.0
1989,25,3254,POR,Portland Trail Blazers,26.0,NBA,PG,48.0,2.0,952.0,5.6,12.1,0.46,0.8,2.4,0.34,4.8,9.7,0.49,2.4,3.1,0.78,0.8,2.8,3.6,6.0,2.7,0.1,2.2,2.4,14.4,,112.0,109.0
1990,25,3254,POR,Portland Trail Blazers,27.0,NBA,PG,82.0,8.0,1393.0,4.6,11.0,0.42,0.5,2.0,0.27,4.1,9.1,0.45,3.1,3.8,0.81,1.0,3.1,4.1,7.8,2.8,0.1,2.7,2.8,12.9,,109.0,105.0
1991,25,3254,POR,Portland Trail Blazers,28.0,NBA,PG,75.0,1.0,897.0,5.5,14.4,0.38,1.9,5.5,0.35,3.6,8.9,0.4,2.2,2.4,0.91,1.2,2.8,4.0,7.5,2.7,0.4,2.7,2.6,15.1,,106.0,106.0
1992,31,3254,TOT,Total After Trade,29.0,NBA,PG,62.0,5.0,1023.0,4.8,12.4,0.39,1.1,3.4,0.33,3.7,9.0,0.42,2.8,3.2,0.85,0.8,2.9,3.6,8.3,2.2,0.2,2.3,2.6,13.6,,108.0,108.0
1992,25,3254,POR,Portland Trail Blazers,29.0,NBA,PG,18.0,0.0,134.0,5.8,14.5,0.4,1.1,3.6,0.3,4.7,10.9,0.43,3.6,5.1,0.71,0.0,3.3,3.3,7.2,2.2,0.0,1.8,2.2,16.3,,111.0,107.0
1992,13,3254,LAC,Los Angeles Clippers,29.0,NBA,PG,44.0,5.0,889.0,4.7,12.0,0.39,1.1,3.4,0.33,3.6,8.7,0.41,2.6,3.0,0.89,0.9,2.8,3.7,8.5,2.2,0.2,2.3,2.6,13.1,,108.0,108.0
1993,9,3254,DET,Detroit Pistons,30.0,NBA,PG,65.0,2.0,836.0,4.2,10.3,0.41,1.4,4.2,0.32,2.9,6.1,0.48,1.7,2.0,0.88,0.8,2.1,2.9,7.3,1.9,0.3,1.8,2.2,11.6,,114.0,111.0
1995,17,3254,MIL,Milwaukee Bucks,32.0,NBA,PG,7.0,0.0,77.0,6.1,11.4,0.53,3.4,8.1,0.42,2.7,3.4,0.8,0.7,0.7,1.0,0.7,2.7,3.4,8.1,2.7,0.0,2.7,5.4,16.1,,129.0,112.0
