Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2013,11,2070,HOU,Houston Rockets,Donatas Motiejunas,1990-09-20,22.0,NBA,PF,1.0,0.0,5.0,14.4,14.4,1.0,0.0,0.0,,14.4,14.4,1.0,7.2,7.2,1.0,7.2,0.0,7.2,0.0,0.0,0.0,0.0,0.0,36.0
2016,11,2070,HOU,Houston Rockets,Donatas Motiejunas,1990-09-20,25.0,NBA,PF,5.0,4.0,98.0,5.9,13.6,0.43,1.5,3.3,0.44,4.4,10.3,0.43,2.9,6.2,0.47,3.7,5.9,9.6,1.8,1.5,0.7,4.4,4.0,16.2
2019,27,2070,SAS,San Antonio Spurs,Donatas Motiejunas,1990-09-20,28.0,NBA,PF,5.0,0.0,19.0,11.4,18.9,0.6,0.0,1.9,0.0,11.4,17.1,0.67,1.9,3.8,0.5,5.7,7.6,13.3,3.8,0.0,0.0,0.0,1.9,24.6
