Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1984,24.0,SEA,NBA,PF,5.0,,191.0,7.8,16.4,0.475,0.0,0.3,0.0,7.8,16.1,0.483,3.3,5.0,0.667,1.1,8.1,9.2,2.2,1.4,0.8,2.5,6.4,18.9,,98.0,105.0
1987,27.0,SEA,NBA,PF,14.0,14.0,498.0,11.6,26.0,0.449,0.6,1.8,0.333,11.1,24.2,0.457,7.9,9.8,0.808,3.2,5.7,8.9,3.2,1.2,1.3,3.4,5.0,31.8,,110.0,113.0
1988,28.0,SEA,NBA,PF,5.0,5.0,168.0,14.4,26.2,0.549,0.0,0.6,0.0,14.4,25.6,0.562,8.3,10.1,0.829,2.3,6.6,8.9,3.2,0.9,0.3,3.7,6.9,37.1,,119.0,116.0
1989,29.0,PHO,NBA,PF,12.0,12.0,495.0,11.0,23.9,0.459,0.8,2.0,0.409,10.1,21.8,0.464,6.2,7.2,0.859,2.0,10.1,12.2,4.3,1.2,1.4,3.6,4.1,29.0,,109.0,105.0
1990,30.0,PHO,NBA,PF,16.0,16.0,612.0,9.4,22.0,0.425,0.4,1.5,0.263,9.0,20.5,0.438,9.3,10.6,0.879,1.6,7.0,8.6,2.5,0.6,0.6,3.9,4.3,28.4,,105.0,109.0
1991,31.0,PHO,NBA,PF,4.0,4.0,142.0,9.5,23.2,0.409,0.0,1.8,0.0,9.5,21.4,0.443,4.9,6.7,0.737,0.7,7.4,8.1,3.5,2.5,1.8,4.2,4.2,23.9,,85.0,108.0
1992,32.0,PHO,NBA,PF,7.0,0.0,194.0,9.7,21.1,0.459,1.0,1.7,0.571,8.7,19.4,0.449,6.7,8.0,0.844,2.0,5.7,7.7,4.7,0.5,1.2,3.7,6.2,27.1,,109.0,116.0
1993,33.0,PHO,NBA,PF,24.0,1.0,376.0,8.8,22.7,0.388,0.3,0.7,0.4,8.5,22.0,0.388,6.1,7.4,0.815,3.2,5.8,8.9,1.7,0.8,1.4,3.6,8.0,23.9,,94.0,112.0
1994,34.0,UTA,NBA,PF,16.0,0.0,325.0,6.0,16.6,0.361,0.0,1.2,0.0,6.0,15.4,0.389,3.9,5.0,0.793,2.7,5.0,7.7,2.1,0.9,1.5,1.4,8.6,15.9,,96.0,108.0
1995,35.0,UTA,NBA,PF,5.0,0.0,60.0,9.8,19.6,0.5,0.9,2.7,0.333,8.9,16.9,0.526,8.0,11.6,0.692,2.7,8.9,11.6,1.8,1.8,0.0,2.7,16.1,28.5,,113.0,120.0
