Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1987,6,3143,CLE,Cleveland Cavaliers,24.0,NBA,PF,80.0,2714.0,16.2,0.54,0.0,0.45,8.8,16.1,12.5,8.3,1.0,3.4,11.5,17.9,3.8,3.7,7.5,0.13,0.5,0.9,1.4,2.3
1988,6,3143,CLE,Cleveland Cavaliers,25.0,NBA,PF,77.0,2106.0,15.8,0.54,0.0,0.42,9.1,18.9,14.1,7.1,1.4,4.1,11.7,18.0,2.4,3.3,5.7,0.13,-0.4,1.1,0.8,1.5
1989,6,3143,CLE,Cleveland Cavaliers,26.0,NBA,PF,82.0,2125.0,17.6,0.57,0.01,0.45,9.7,15.3,12.7,7.2,1.8,3.6,10.8,18.8,3.8,3.8,7.7,0.17,0.7,1.5,2.2,2.3
1990,6,3143,CLE,Cleveland Cavaliers,27.0,NBA,PF,82.0,2776.0,19.0,0.55,0.0,0.41,8.8,18.1,13.4,9.8,1.6,3.6,10.2,21.9,4.6,4.1,8.7,0.15,1.0,1.1,2.1,2.9
1991,6,3143,CLE,Cleveland Cavaliers,28.0,NBA,C,43.0,1293.0,14.9,0.5,0.0,0.38,10.0,16.0,13.0,11.6,1.4,3.2,11.1,19.1,1.0,1.4,2.4,0.09,-0.7,0.5,-0.2,0.6
1992,6,3143,CLE,Cleveland Cavaliers,29.0,NBA,C,80.0,2432.0,18.6,0.57,0.01,0.53,10.9,16.7,13.9,11.1,1.2,4.3,9.0,16.5,6.0,3.2,9.2,0.18,2.2,1.4,3.5,3.4
1993,6,3143,CLE,Cleveland Cavaliers,30.0,NBA,C,67.0,2055.0,13.7,0.54,0.0,0.53,7.4,15.4,11.6,10.1,1.2,3.1,14.4,17.4,1.7,2.8,4.5,0.1,-1.0,0.8,-0.1,0.9
1994,6,3143,CLE,Cleveland Cavaliers,31.0,NBA,PF,76.0,2660.0,16.2,0.53,0.0,0.42,9.0,16.1,12.6,11.3,1.5,3.2,12.5,18.8,3.8,3.6,7.4,0.13,0.6,0.9,1.5,2.4
1995,6,3143,CLE,Cleveland Cavaliers,32.0,NBA,PF,74.0,2641.0,14.6,0.5,0.01,0.35,7.9,16.3,12.0,13.2,1.8,3.1,13.7,19.7,0.9,4.4,5.3,0.1,-0.8,1.7,0.8,1.9
1996,24,3143,PHO,Phoenix Suns,33.0,NBA,C,62.0,1652.0,12.4,0.5,0.0,0.33,9.2,16.8,13.0,5.5,1.4,4.1,12.0,13.9,1.0,1.7,2.8,0.08,-2.0,0.3,-1.6,0.2
1997,24,3143,PHO,Phoenix Suns,34.0,NBA,C,68.0,2137.0,13.8,0.54,0.0,0.48,9.8,20.8,15.4,6.7,1.6,3.1,11.6,12.0,2.8,2.5,5.3,0.12,-0.6,0.6,0.0,1.0
1998,24,3143,PHO,Phoenix Suns,35.0,NBA,C,71.0,1333.0,11.5,0.52,0.0,0.46,9.6,17.5,13.7,5.1,1.3,3.3,10.7,9.2,1.7,2.1,3.7,0.14,-1.6,1.3,-0.2,0.6
1999,7,3143,DAL,Dallas Mavericks,36.0,NBA,C,25.0,403.0,7.4,0.39,0.0,0.3,10.0,13.2,11.6,5.3,1.7,3.2,25.8,5.7,0.0,0.3,0.4,0.04,-3.1,1.5,-1.6,0.0
