Season,Tm,Player,Rank,Pts Won,Pts Max,Share,Type
2007,POR,Brandon Roy,1,638.0,640,0.997,ROY
2007,TOR,Andrea Bargnani,2,264.0,640,0.413,ROY
2007,MEM,Rudy Gay,3,93.0,640,0.145,ROY
2007,CHA,Adam Morrison,4,44.0,640,0.069,ROY
2007,MIN,Randy Foye,5,37.0,640,0.058,ROY
2007,UTA,Paul Millsap,6,19.0,640,0.03,ROY
2007,POR,LaMarcus Aldridge,7,18.0,640,0.028,ROY
2007,TOR,Jorge Garbajosa,8,17.0,640,0.027,ROY
2007,CHI,Tyrus Thomas,9,10.0,640,0.016,ROY
2007,CHA,Walter Herrmann,10,5.0,640,0.008,ROY
2007,MIN,Craig Smith,11,4.0,640,0.006,ROY
2007,BOS,Rajon Rondo,12,3.0,640,0.005,ROY
