PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
James Harden,23,6,6,40.5,7.5,19.2,0.391,2.5,7.3,0.341,5.0,11.8,0.423,0.457,8.8,11.0,0.8029999999999999,0.8,5.8,6.7,4.5,2.0,1.0,4.5,3.0,26.3
Chandler Parsons,24,6,6,39.7,7.0,15.5,0.452,2.7,6.7,0.4,4.3,8.8,0.491,0.5379999999999999,1.5,2.3,0.643,1.2,5.3,6.5,3.7,0.2,0.3,3.0,3.2,18.2
James Anderson,26,6,6,34.7,3.7,6.5,0.564,0.0,0.0,,3.7,6.5,0.564,0.564,5.0,7.8,0.638,3.5,7.7,11.2,0.5,0.5,1.7,2.0,3.7,12.3
Patrick Beverley,24,6,5,33.3,4.7,10.8,0.431,1.3,4.0,0.33299999999999996,3.3,6.8,0.488,0.49200000000000005,1.2,1.2,1.0,1.8,3.7,5.5,2.8,1.2,0.7,1.0,4.0,11.8
Francisco García,31,6,3,27.3,3.7,8.3,0.44,2.8,6.2,0.45899999999999996,0.8,2.2,0.385,0.61,0.5,0.8,0.6,0.5,2.8,3.3,1.5,0.7,0.8,0.7,3.5,10.7
Carlos Delfino,30,5,0,24.0,3.0,8.0,0.375,2.2,6.2,0.355,0.8,1.8,0.444,0.513,0.8,0.8,1.0,0.2,2.2,2.4,2.0,0.6,0.2,1.0,2.0,9.0
Jeremy Lin,24,4,3,21.0,1.5,6.0,0.25,0.5,3.0,0.16699999999999998,1.0,3.0,0.33299999999999996,0.292,0.5,0.5,1.0,0.0,2.0,2.0,2.0,0.5,0.3,2.0,2.3,4.0
Terrence Jones,21,2,0,17.5,2.0,5.0,0.4,0.0,1.0,0.0,2.0,4.0,0.5,0.4,0.0,1.5,0.0,2.5,5.0,7.5,0.5,0.0,0.5,0.5,1.0,4.0
Greg Smith,22,5,1,11.8,1.2,1.8,0.667,0.0,0.0,,1.2,1.8,0.667,0.667,1.2,2.4,0.5,1.4,1.2,2.6,0.0,0.4,0.4,0.8,1.8,3.6
Aaron Brooks,28,6,0,11.2,2.2,5.7,0.382,0.2,1.5,0.111,2.0,4.2,0.48,0.397,0.5,0.8,0.6,0.5,1.0,1.5,1.8,0.2,0.2,1.0,0.5,5.0
James Anderson,23,2,0,9.0,0.5,2.5,0.2,0.0,1.5,0.0,0.5,1.0,0.5,0.2,0.0,0.0,,0.5,1.5,2.0,0.0,0.0,0.0,0.0,1.0,1.0
Donatas Motiejūnas,22,1,0,5.0,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
