PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kawhi Leonard,21,21,21,36.9,5.5,10.0,0.545,1.1,2.8,0.39,4.4,7.2,0.605,0.6,1.5,2.3,0.633,2.4,6.7,9.0,1.0,1.8,0.5,1.1,1.9,13.5
Tony Parker,30,21,21,36.4,8.0,17.4,0.45799999999999996,0.5,1.5,0.355,7.4,15.9,0.467,0.473,4.1,5.3,0.777,0.7,2.6,3.2,7.0,1.1,0.1,2.5,1.2,20.6
Tim Duncan,36,21,21,35.0,7.2,15.3,0.47,0.0,0.0,0.0,7.2,15.2,0.47200000000000003,0.47,3.8,4.7,0.8059999999999999,2.6,7.6,10.2,1.9,0.9,1.6,2.0,2.5,18.1
Danny Green,25,21,21,31.9,4.0,8.9,0.446,2.6,5.4,0.48200000000000004,1.3,3.4,0.389,0.594,0.6,0.7,0.8,0.9,3.3,4.1,1.5,1.0,1.1,0.9,2.4,11.1
Manu Ginóbili,35,21,3,26.7,3.7,9.2,0.39899999999999997,1.4,4.6,0.302,2.3,4.6,0.495,0.474,2.8,3.8,0.738,0.4,3.3,3.7,5.0,1.1,0.3,2.6,2.5,11.5
Tiago Splitter,28,19,15,20.4,2.4,4.4,0.536,0.0,0.1,0.0,2.4,4.4,0.542,0.536,1.4,1.7,0.7879999999999999,1.1,1.9,3.1,1.2,0.8,0.7,1.3,2.4,6.1
Gary Neal,28,21,0,18.6,2.5,6.4,0.385,1.1,3.1,0.348,1.4,3.3,0.42,0.47,0.8,0.8,1.0,0.0,2.1,2.1,0.7,0.1,0.0,0.6,1.6,6.8
Boris Diaw,30,16,1,17.1,1.5,3.4,0.444,0.3,0.8,0.385,1.2,2.6,0.46299999999999997,0.491,0.8,0.9,0.857,0.5,2.0,2.5,1.8,0.3,0.2,0.8,1.8,4.1
Matt Bonner,32,20,1,13.4,1.4,3.0,0.475,0.8,1.6,0.469,0.7,1.4,0.48100000000000004,0.602,0.5,0.6,0.833,0.5,1.5,2.0,0.3,0.3,0.3,0.1,1.8,4.1
Cory Joseph,21,20,0,9.6,1.3,2.8,0.46399999999999997,0.1,0.6,0.182,1.2,2.3,0.5329999999999999,0.48200000000000004,0.3,0.6,0.455,0.4,1.2,1.6,1.2,0.3,0.1,0.5,0.8,3.0
DeJuan Blair,23,12,0,6.3,1.8,2.8,0.618,0.0,0.0,,1.8,2.8,0.618,0.618,0.4,0.8,0.556,0.5,1.5,2.0,0.6,0.4,0.1,0.1,1.2,3.9
Aron Baynes,26,4,1,5.8,1.0,1.8,0.5710000000000001,0.0,0.0,,1.0,1.8,0.5710000000000001,0.5710000000000001,0.0,0.0,,0.5,0.8,1.3,0.0,0.0,0.0,0.3,1.0,2.0
Tracy McGrady,33,6,0,5.2,0.0,1.2,0.0,0.0,0.5,0.0,0.0,0.7,0.0,0.0,0.0,0.0,,0.2,1.2,1.3,1.2,0.3,0.5,0.3,0.2,0.0
Patty Mills,24,9,0,3.4,0.6,1.1,0.5,0.2,0.8,0.28600000000000003,0.3,0.3,1.0,0.6,0.0,0.0,,0.1,0.2,0.3,0.2,0.0,0.0,0.1,0.2,1.3
Nando De Colo,25,5,0,2.8,0.2,0.8,0.25,0.0,0.6,0.0,0.2,0.2,1.0,0.25,0.4,0.4,1.0,0.4,0.4,0.8,0.4,0.0,0.0,0.0,0.2,0.8
