Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1986,10,2075,GSW,Golden State Warriors,22.0,NBA,SG,55.0,30.0,1391.0,287.0,620.0,0.46,5.0,27.0,0.18,282.0,593.0,0.48,0.47,189.0,211.0,0.9,42.0,73.0,115.0,105.0,70.0,23.0,75.0,130.0,768.0,,0.0
1987,10,2075,GSW,Golden State Warriors,23.0,NBA,SG,82.0,82.0,2377.0,477.0,928.0,0.51,19.0,63.0,0.3,458.0,865.0,0.53,0.52,269.0,326.0,0.82,39.0,142.0,181.0,261.0,98.0,36.0,154.0,217.0,1242.0,,0.0
1988,10,2075,GSW,Golden State Warriors,24.0,NBA,SF,60.0,55.0,2033.0,470.0,926.0,0.51,34.0,97.0,0.35,436.0,829.0,0.53,0.53,239.0,270.0,0.88,58.0,147.0,205.0,290.0,113.0,32.0,156.0,136.0,1213.0,,0.0
1989,10,2075,GSW,Golden State Warriors,25.0,NBA,SF,82.0,82.0,3093.0,830.0,1630.0,0.51,23.0,100.0,0.23,807.0,1530.0,0.53,0.52,493.0,553.0,0.89,152.0,331.0,483.0,415.0,176.0,39.0,296.0,178.0,2176.0,,1.0
1990,10,2075,GSW,Golden State Warriors,26.0,NBA,SF,78.0,78.0,2830.0,682.0,1272.0,0.54,87.0,234.0,0.37,595.0,1038.0,0.57,0.57,505.0,568.0,0.89,130.0,333.0,463.0,319.0,123.0,45.0,239.0,142.0,1956.0,,0.0
1991,10,2075,GSW,Golden State Warriors,27.0,NBA,SF,82.0,82.0,3315.0,777.0,1449.0,0.54,40.0,133.0,0.3,737.0,1316.0,0.56,0.55,513.0,580.0,0.88,141.0,302.0,443.0,329.0,173.0,63.0,245.0,176.0,2107.0,,0.0
1992,10,2075,GSW,Golden State Warriors,28.0,NBA,SF,81.0,81.0,3346.0,830.0,1584.0,0.52,64.0,175.0,0.37,766.0,1409.0,0.54,0.54,350.0,420.0,0.83,127.0,323.0,450.0,286.0,173.0,62.0,202.0,171.0,2074.0,,0.0
1993,10,2075,GSW,Golden State Warriors,29.0,NBA,SF,46.0,46.0,1902.0,474.0,930.0,0.51,60.0,133.0,0.45,414.0,797.0,0.52,0.54,183.0,226.0,0.81,42.0,190.0,232.0,166.0,68.0,41.0,139.0,76.0,1191.0,,0.0
1994,10,2075,GSW,Golden State Warriors,30.0,NBA,SF,62.0,39.0,2324.0,410.0,869.0,0.47,55.0,151.0,0.36,355.0,718.0,0.49,0.5,165.0,219.0,0.75,64.0,281.0,345.0,315.0,107.0,53.0,178.0,114.0,1040.0,,1.0
1995,10,2075,GSW,Golden State Warriors,31.0,NBA,SF,25.0,23.0,890.0,170.0,348.0,0.49,42.0,93.0,0.45,128.0,255.0,0.5,0.55,94.0,107.0,0.88,25.0,90.0,115.0,125.0,38.0,19.0,93.0,53.0,476.0,,1.0
1996,10,2075,GSW,Golden State Warriors,32.0,NBA,SF,55.0,19.0,1617.0,269.0,539.0,0.5,59.0,150.0,0.39,210.0,389.0,0.54,0.55,137.0,160.0,0.86,44.0,115.0,159.0,194.0,75.0,32.0,122.0,127.0,734.0,,0.0
1997,10,2075,GSW,Golden State Warriors,33.0,NBA,SF,79.0,63.0,2733.0,438.0,792.0,0.55,83.0,202.0,0.41,355.0,590.0,0.6,0.6,184.0,213.0,0.86,75.0,242.0,317.0,322.0,130.0,33.0,192.0,155.0,1143.0,,2.0
1998,12,2075,IND,Indiana Pacers,34.0,NBA,SF,82.0,82.0,2177.0,333.0,692.0,0.48,107.0,243.0,0.44,226.0,449.0,0.5,0.56,154.0,164.0,0.94,38.0,211.0,249.0,186.0,95.0,39.0,117.0,186.0,927.0,,0.0
1999,12,2075,IND,Indiana Pacers,35.0,NBA,SF,50.0,50.0,1179.0,177.0,371.0,0.48,73.0,157.0,0.46,104.0,214.0,0.49,0.57,80.0,92.0,0.87,25.0,135.0,160.0,81.0,47.0,13.0,60.0,101.0,507.0,,0.0
2001,10,2075,GSW,Golden State Warriors,37.0,NBA,SF,20.0,8.0,374.0,36.0,106.0,0.34,19.0,52.0,0.36,17.0,54.0,0.32,0.43,24.0,28.0,0.86,10.0,31.0,41.0,19.0,16.0,10.0,19.0,28.0,115.0,,0.0
