Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1994,10,3054,GSW,Golden State Warriors,20.0,NBA,C,76.0,76.0,2438.0,572.0,1037.0,0.55,0.0,14.0,0.0,572.0,1023.0,0.56,0.55,189.0,355.0,0.53,305.0,389.0,694.0,272.0,93.0,164.0,206.0,247.0,1333.0,,1.0
1995,30,3054,WSB,Washington Bullets,21.0,NBA,PF,54.0,52.0,2067.0,464.0,938.0,0.5,40.0,145.0,0.28,424.0,793.0,0.54,0.52,117.0,233.0,0.5,200.0,318.0,518.0,256.0,83.0,85.0,167.0,186.0,1085.0,,3.0
1996,30,3054,WSB,Washington Bullets,22.0,NBA,PF,15.0,15.0,558.0,150.0,276.0,0.54,15.0,34.0,0.44,135.0,242.0,0.56,0.57,41.0,69.0,0.59,37.0,77.0,114.0,75.0,27.0,9.0,49.0,51.0,356.0,,1.0
1997,30,3054,WSB,Washington Bullets,23.0,NBA,PF,72.0,72.0,2806.0,604.0,1167.0,0.52,60.0,151.0,0.4,544.0,1016.0,0.54,0.54,177.0,313.0,0.56,238.0,505.0,743.0,331.0,122.0,137.0,230.0,258.0,1445.0,,2.0
1998,30,3054,WAS,Washington Wizards,24.0,NBA,C,71.0,71.0,2809.0,647.0,1341.0,0.48,65.0,205.0,0.32,582.0,1136.0,0.51,0.51,196.0,333.0,0.59,176.0,498.0,674.0,273.0,111.0,124.0,185.0,269.0,1555.0,,0.0
1999,26,3054,SAC,Sacramento Kings,25.0,NBA,PF,42.0,42.0,1719.0,378.0,778.0,0.49,4.0,34.0,0.12,374.0,744.0,0.5,0.49,79.0,174.0,0.45,149.0,396.0,545.0,173.0,60.0,89.0,148.0,145.0,839.0,,1.0
2001,26,3054,SAC,Sacramento Kings,27.0,NBA,PF,70.0,70.0,2836.0,786.0,1635.0,0.48,2.0,28.0,0.07,784.0,1607.0,0.49,0.48,324.0,461.0,0.7,179.0,598.0,777.0,294.0,93.0,118.0,195.0,226.0,1898.0,,1.0
2002,26,3054,SAC,Sacramento Kings,28.0,NBA,PF,54.0,54.0,2071.0,532.0,1075.0,0.5,5.0,19.0,0.26,527.0,1056.0,0.5,0.5,253.0,338.0,0.75,150.0,396.0,546.0,258.0,90.0,76.0,158.0,181.0,1322.0,,0.0
2003,26,3054,SAC,Sacramento Kings,29.0,NBA,PF,67.0,67.0,2622.0,661.0,1433.0,0.46,5.0,21.0,0.24,656.0,1412.0,0.46,0.46,215.0,354.0,0.61,160.0,544.0,704.0,364.0,106.0,88.0,215.0,204.0,1542.0,,3.0
2004,26,3054,SAC,Sacramento Kings,30.0,NBA,PF,23.0,23.0,831.0,174.0,421.0,0.41,1.0,5.0,0.2,173.0,416.0,0.42,0.41,81.0,114.0,0.71,48.0,152.0,200.0,105.0,31.0,20.0,60.0,76.0,430.0,,0.0
2005,31,3054,TOT,Total After Trade,31.0,NBA,PF,67.0,67.0,2370.0,555.0,1283.0,0.43,15.0,44.0,0.34,540.0,1239.0,0.44,0.44,181.0,228.0,0.79,130.0,482.0,612.0,318.0,94.0,53.0,182.0,214.0,1306.0,,4.0
2005,26,3054,SAC,Sacramento Kings,31.0,NBA,PF,46.0,46.0,1668.0,412.0,917.0,0.45,11.0,29.0,0.38,401.0,888.0,0.45,0.46,143.0,179.0,0.8,94.0,353.0,447.0,252.0,68.0,34.0,133.0,144.0,978.0,,4.0
2005,23,3054,PHI,Philadelphia 76Ers,31.0,NBA,PF,21.0,21.0,702.0,143.0,366.0,0.39,4.0,15.0,0.27,139.0,351.0,0.4,0.4,38.0,49.0,0.78,36.0,129.0,165.0,66.0,26.0,19.0,49.0,70.0,328.0,,0.0
2006,23,3054,PHI,Philadelphia 76Ers,32.0,NBA,PF,75.0,75.0,2893.0,617.0,1422.0,0.43,21.0,77.0,0.27,596.0,1345.0,0.44,0.44,263.0,348.0,0.76,184.0,557.0,741.0,256.0,103.0,62.0,182.0,219.0,1518.0,,0.0
2007,31,3054,TOT,Total After Trade,33.0,NBA,PF,61.0,60.0,1821.0,289.0,639.0,0.45,4.0,11.0,0.36,285.0,628.0,0.45,0.46,102.0,160.0,0.64,124.0,313.0,437.0,188.0,60.0,41.0,107.0,143.0,684.0,,0.0
2007,23,3054,PHI,Philadelphia 76Ers,33.0,NBA,PF,18.0,18.0,544.0,89.0,230.0,0.39,2.0,5.0,0.4,87.0,225.0,0.39,0.39,18.0,28.0,0.64,37.0,112.0,149.0,61.0,18.0,15.0,33.0,36.0,198.0,,0.0
2007,9,3054,DET,Detroit Pistons,33.0,NBA,PF,43.0,42.0,1277.0,200.0,409.0,0.49,2.0,6.0,0.33,198.0,403.0,0.49,0.49,84.0,132.0,0.64,87.0,201.0,288.0,127.0,42.0,26.0,74.0,107.0,486.0,,0.0
2008,10,3054,GSW,Golden State Warriors,34.0,NBA,PF,9.0,8.0,126.0,15.0,31.0,0.48,0.0,0.0,,15.0,31.0,0.48,0.48,5.0,12.0,0.42,2.0,30.0,32.0,18.0,4.0,6.0,11.0,17.0,35.0,,0.0
