Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1994,23,326,PHI,Philadelphia 76Ers,21.0,NBA,C,49.0,45.0,1385.0,201.0,491.0,0.41,0.0,3.0,0.0,201.0,488.0,0.41,0.41,102.0,168.0,0.61,98.0,208.0,306.0,98.0,45.0,147.0,148.0,170.0,504.0,,0.0
1995,23,326,PHI,Philadelphia 76Ers,22.0,NBA,C,82.0,59.0,2365.0,315.0,693.0,0.46,0.0,3.0,0.0,315.0,690.0,0.46,0.46,148.0,232.0,0.64,243.0,416.0,659.0,53.0,54.0,274.0,142.0,338.0,778.0,,0.0
1996,31,326,TOT,Total After Trade,23.0,NBA,C,79.0,68.0,2329.0,387.0,873.0,0.44,1.0,4.0,0.25,386.0,869.0,0.44,0.44,169.0,246.0,0.69,221.0,417.0,638.0,63.0,49.0,288.0,179.0,286.0,944.0,,3.0
1996,23,326,PHI,Philadelphia 76Ers,23.0,NBA,C,12.0,11.0,334.0,43.0,97.0,0.44,0.0,0.0,,43.0,97.0,0.44,0.44,19.0,25.0,0.76,34.0,72.0,106.0,8.0,8.0,38.0,31.0,42.0,105.0,,0.0
1996,3,326,NJN,New Jersey Nets,23.0,NBA,C,67.0,57.0,1995.0,344.0,776.0,0.44,1.0,4.0,0.25,343.0,772.0,0.44,0.44,150.0,221.0,0.68,187.0,345.0,532.0,55.0,41.0,250.0,148.0,244.0,839.0,,3.0
1997,31,326,TOT,Total After Trade,24.0,NBA,C,73.0,70.0,2288.0,406.0,905.0,0.45,0.0,8.0,0.0,406.0,897.0,0.45,0.45,149.0,228.0,0.65,221.0,390.0,611.0,52.0,40.0,248.0,134.0,237.0,961.0,,2.0
1997,3,326,NJN,New Jersey Nets,24.0,NBA,C,40.0,38.0,1228.0,199.0,456.0,0.44,0.0,5.0,0.0,199.0,451.0,0.44,0.44,81.0,122.0,0.66,118.0,207.0,325.0,20.0,23.0,160.0,64.0,122.0,479.0,,2.0
1997,7,326,DAL,Dallas Mavericks,24.0,NBA,C,33.0,32.0,1060.0,207.0,449.0,0.46,0.0,3.0,0.0,207.0,446.0,0.46,0.46,68.0,106.0,0.64,103.0,183.0,286.0,32.0,17.0,88.0,70.0,115.0,482.0,,0.0
1998,7,326,DAL,Dallas Mavericks,25.0,NBA,C,64.0,46.0,1822.0,300.0,711.0,0.42,1.0,3.0,0.33,299.0,708.0,0.42,0.42,130.0,180.0,0.72,164.0,354.0,518.0,60.0,51.0,214.0,96.0,214.0,731.0,,1.0
1999,7,326,DAL,Dallas Mavericks,26.0,NBA,C,49.0,33.0,1294.0,167.0,348.0,0.48,0.0,4.0,0.0,167.0,344.0,0.48,0.48,86.0,115.0,0.75,130.0,262.0,392.0,40.0,35.0,159.0,56.0,153.0,420.0,,0.0
2001,7,326,DAL,Dallas Mavericks,28.0,NBA,C,82.0,35.0,2001.0,219.0,447.0,0.49,1.0,6.0,0.17,218.0,441.0,0.49,0.49,140.0,178.0,0.79,160.0,448.0,608.0,38.0,36.0,228.0,88.0,256.0,579.0,,0.0
2002,7,326,DAL,Dallas Mavericks,29.0,NBA,C,53.0,16.0,757.0,78.0,163.0,0.48,0.0,1.0,0.0,78.0,162.0,0.48,0.48,59.0,64.0,0.92,53.0,123.0,176.0,20.0,28.0,64.0,25.0,128.0,215.0,,0.0
2003,7,326,DAL,Dallas Mavericks,30.0,NBA,C,81.0,39.0,1731.0,201.0,375.0,0.54,0.0,1.0,0.0,201.0,374.0,0.54,0.54,141.0,175.0,0.81,151.0,325.0,476.0,54.0,65.0,170.0,67.0,242.0,543.0,,0.0
2004,7,326,DAL,Dallas Mavericks,31.0,NBA,C,66.0,5.0,773.0,89.0,188.0,0.47,0.0,1.0,0.0,89.0,187.0,0.48,0.47,41.0,49.0,0.84,72.0,101.0,173.0,20.0,33.0,74.0,17.0,130.0,219.0,,0.0
2005,7,326,DAL,Dallas Mavericks,32.0,NBA,C,77.0,14.0,885.0,84.0,186.0,0.45,0.0,0.0,,84.0,186.0,0.45,0.45,43.0,63.0,0.68,70.0,144.0,214.0,15.0,25.0,63.0,33.0,153.0,211.0,,0.0
