Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1986,23.0,DAL,NBA,SF,10.0,0.0,120.0,13.0,28.0,0.464,0.0,1.0,0.0,13.0,27.0,0.481,0.464,11.0,17.0,0.647,7.0,16.0,23.0,14.0,2.0,1.0,10.0,24.0,37.0
1987,24.0,DAL,NBA,SF,4.0,0.0,97.0,13.0,35.0,0.371,0.0,3.0,0.0,13.0,32.0,0.406,0.371,5.0,11.0,0.455,4.0,8.0,12.0,6.0,3.0,2.0,6.0,13.0,31.0
1988,25.0,DAL,NBA,SF,15.0,0.0,274.0,40.0,86.0,0.465,1.0,3.0,0.333,39.0,83.0,0.47,0.471,36.0,51.0,0.706,25.0,30.0,55.0,24.0,8.0,7.0,21.0,29.0,117.0
1990,27.0,IND,NBA,PF,3.0,3.0,125.0,23.0,47.0,0.489,0.0,3.0,0.0,23.0,44.0,0.523,0.489,15.0,16.0,0.938,5.0,17.0,22.0,5.0,2.0,1.0,10.0,13.0,61.0
1991,28.0,IND,NBA,PF,5.0,0.0,179.0,27.0,57.0,0.474,0.0,4.0,0.0,27.0,53.0,0.509,0.474,25.0,30.0,0.833,10.0,26.0,36.0,11.0,2.0,0.0,11.0,17.0,79.0
1992,29.0,IND,NBA,PF,3.0,0.0,120.0,18.0,47.0,0.383,2.0,4.0,0.5,16.0,43.0,0.372,0.404,25.0,28.0,0.893,12.0,27.0,39.0,7.0,2.0,1.0,7.0,10.0,63.0
1993,30.0,IND,NBA,PF,4.0,4.0,165.0,25.0,54.0,0.463,0.0,2.0,0.0,25.0,52.0,0.481,0.463,28.0,36.0,0.778,3.0,20.0,23.0,29.0,1.0,2.0,17.0,14.0,78.0
1994,31.0,SEA,NBA,SF,5.0,5.0,174.0,26.0,50.0,0.52,2.0,6.0,0.333,24.0,44.0,0.545,0.54,39.0,45.0,0.867,8.0,19.0,27.0,10.0,1.0,3.0,8.0,21.0,93.0
1995,32.0,SEA,NBA,SF,4.0,4.0,153.0,23.0,57.0,0.404,10.0,18.0,0.556,13.0,39.0,0.333,0.491,19.0,24.0,0.792,2.0,17.0,19.0,12.0,3.0,2.0,11.0,12.0,75.0
1996,33.0,SEA,NBA,SF,21.0,21.0,789.0,123.0,259.0,0.475,21.0,57.0,0.368,102.0,202.0,0.505,0.515,69.0,92.0,0.75,19.0,86.0,105.0,67.0,14.0,5.0,67.0,63.0,336.0
1997,34.0,SEA,NBA,SF,12.0,12.0,459.0,67.0,142.0,0.472,16.0,29.0,0.552,51.0,113.0,0.451,0.528,53.0,65.0,0.815,20.0,49.0,69.0,41.0,13.0,1.0,18.0,40.0,203.0
1998,35.0,SEA,NBA,SF,10.0,10.0,375.0,64.0,125.0,0.512,2.0,14.0,0.143,62.0,111.0,0.559,0.52,31.0,38.0,0.816,18.0,59.0,77.0,39.0,7.0,1.0,22.0,21.0,161.0
2001,38.0,POR,NBA,SF,3.0,0.0,32.0,4.0,6.0,0.667,2.0,3.0,0.667,2.0,3.0,0.667,0.833,4.0,6.0,0.667,0.0,5.0,5.0,1.0,0.0,0.0,2.0,3.0,14.0
