Season,Tm,Player,Rank,Pts Won,Pts Max,Share,Type
1996,CHI,Michael Jordan,1,1114.0,1130,0.986,MVP
1996,SAS,David Robinson,2,574.0,1130,0.508,MVP
1996,ORL,Anfernee Hardaway,3,360.0,1130,0.319,MVP
1996,HOU,Hakeem Olajuwon,4,238.0,1130,0.211,MVP
1996,CHI,Scottie Pippen,5,226.0,1130,0.2,MVP
1996,SEA,Gary Payton,6,98.0,1130,0.087,MVP
1996,UTA,Karl Malone,7,85.0,1130,0.075,MVP
1996,SEA,Shawn Kemp,8,73.0,1130,0.065,MVP
1996,DET,Grant Hill,9T,63.0,1130,0.056,MVP
1996,ORL,Shaquille O'Neal,9T,63.0,1130,0.056,MVP
1996,UTA,John Stockton,11,12.0,1130,0.011,MVP
1996,PHO,Charles Barkley,12T,8.0,1130,0.007,MVP
1996,LAL,Magic Johnson,12T,8.0,1130,0.007,MVP
1996,MIA,Alonzo Mourning,14,6.0,1130,0.005,MVP
1996,CHI,Dennis Rodman,15,4.0,1130,0.004,MVP
1996,CLE,Terrell Brandon,16T,3.0,1130,0.003,MVP
1996,SAC,Mitch Richmond,16T,3.0,1130,0.003,MVP
