Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1986,29,UTA,Utah Jazz,Mark Eaton,29,4,4,157,28,57,0.49,0,0,,28,57,0.49,0.49,2,3,0.67,13,23,36,10,1,18,4,12,58
1986,29,UTA,Utah Jazz,Thurl Bailey,24,4,4,147,28,77,0.36,0,1,0.0,28,76,0.37,0.36,8,11,0.73,11,21,32,13,2,2,5,13,64
1986,29,UTA,Utah Jazz,Karl Malone,22,4,4,144,38,72,0.53,0,0,,38,72,0.53,0.53,11,26,0.42,6,24,30,4,8,0,6,18,87
1986,29,UTA,Utah Jazz,Bob Hansen,25,4,4,140,27,37,0.73,2,3,0.67,25,34,0.74,0.76,8,9,0.89,10,8,18,11,3,1,7,16,64
1986,29,UTA,Utah Jazz,Rickey Green,31,4,4,119,21,43,0.49,1,2,0.5,20,41,0.49,0.5,10,11,0.91,0,9,9,38,2,0,5,1,53
1986,29,UTA,Utah Jazz,Marc Iavaroni,29,4,0,73,5,16,0.31,0,0,,5,16,0.31,0.31,3,4,0.75,4,5,9,6,1,0,4,9,13
1986,29,UTA,Utah Jazz,John Stockton,23,4,0,73,9,17,0.53,1,1,1.0,8,16,0.5,0.56,8,9,0.89,3,3,6,14,5,0,4,10,27
1986,29,UTA,Utah Jazz,Carey Scurry,23,4,0,54,8,20,0.4,0,2,0.0,8,18,0.44,0.4,1,2,0.5,10,6,16,3,1,4,2,12,17
1986,29,UTA,Utah Jazz,Fred Roberts,25,4,0,31,7,15,0.47,0,0,,7,15,0.47,0.47,8,9,0.89,4,3,7,3,0,0,6,5,22
1986,29,UTA,Utah Jazz,Jeff Cook,29,4,0,21,1,4,0.25,0,0,,1,4,0.25,0.25,3,4,0.75,1,4,5,2,0,0,0,4,5
1986,29,UTA,Utah Jazz,Steve Hayes,30,1,0,1,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,0,1,1,0,0,0,0,0,2
