Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1986,7,DAL,Dallas Mavericks,James Donaldson,28,10,10,410,36,48,0.75,0,0,,36,48,0.75,0.75,37,40,0.92,30,87,117,10,6,12,10,26,109
1986,7,DAL,Dallas Mavericks,Rolando Blackman,26,10,10,371,83,167,0.5,0,1,0.0,83,166,0.5,0.5,42,53,0.79,15,20,35,32,8,1,20,26,208
1986,7,DAL,Dallas Mavericks,Derek Harper,24,10,10,348,57,107,0.53,8,14,0.57,49,93,0.53,0.57,12,16,0.75,13,6,19,76,23,0,23,27,134
1986,7,DAL,Dallas Mavericks,Sam Perkins,24,10,10,347,57,133,0.43,2,8,0.25,55,125,0.44,0.44,33,43,0.77,30,53,83,24,9,14,16,32,149
1986,7,DAL,Dallas Mavericks,Mark Aguirre,26,10,10,345,105,214,0.49,2,6,0.33,103,208,0.5,0.5,35,55,0.64,21,50,71,54,9,0,23,28,247
1986,7,DAL,Dallas Mavericks,Jay Vincent,26,10,0,204,38,99,0.38,0,0,,38,99,0.38,0.38,30,34,0.88,15,24,39,15,4,1,17,19,106
1986,7,DAL,Dallas Mavericks,Brad Davis,30,10,0,163,24,44,0.55,10,15,0.67,14,29,0.48,0.66,19,24,0.79,1,18,19,23,3,0,15,22,77
1986,7,DAL,Dallas Mavericks,Detlef Schrempf,23,10,0,120,13,28,0.46,0,1,0.0,13,27,0.48,0.46,11,17,0.65,7,16,23,14,2,1,10,24,37
1986,7,DAL,Dallas Mavericks,Dale Ellis,25,7,0,67,9,22,0.41,7,12,0.58,2,10,0.2,0.57,5,5,1.0,3,4,7,2,2,2,4,6,30
1986,7,DAL,Dallas Mavericks,Bill Wennington,22,6,0,18,2,6,0.33,1,1,1.0,1,5,0.2,0.42,2,2,1.0,4,1,5,0,0,0,0,4,7
1986,7,DAL,Dallas Mavericks,Uwe Blab,23,1,0,6,2,3,0.67,0,0,,2,3,0.67,0.67,0,0,,0,1,1,0,0,0,0,1,4
1986,7,DAL,Dallas Mavericks,Harold Keeling,22,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
