NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
21,Tim Bassett,PF,6-8,225,1951-04-01,US,6,Georgia
34,Winford Boynes,SG,6-6,185,1957-05-17,US,1,San Francisco
54,Bob Elliott,PF,6-9,225,1955-08-18,US,1,Arizona
17,Phil Jackson,PF,6-8,220,1945-09-17,US,11,University of North Dakota
52,George Johnson,C,6-11,205,1948-12-18,US,7,Dillard University
15,Eddie Jordan,PG,6-1,170,1955-01-29,US,2,Rutgers University
53,Rich Kelley,C,7-0,235,1953-03-23,US,4,Stanford
33,Maurice Lucas,PF,6-9,215,1952-02-18,US,5,Marquette
43,Calvin Natt,SF,6-6,220,1957-01-08,US,R,Louisiana-Monroe
14,Mike Newlin,SG,6-4,200,1949-01-02,US,8,Utah
22,Roger Phegley,SG,6-6,205,1956-10-16,US,1,Bradley
45,Cliff Robinson,PF,6-9,220,1960-03-13,US,R,USC
44,Ralph Simpson,SG,6-5,200,1949-08-10,US,9,Michigan State
10,Robert Smith,PG,5-11,165,1955-03-10,US,2,UNLV
20,Jan van Breda Kolff,SF,6-7,195,1951-12-16,US,5,Vanderbilt
23,John Williamson,SG,6-2,185,1951-11-10,US,6,New Mexico State
