NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
27,Marvin Barnes,PF,6-8,210,1952-07-27,US,5,Providence
23,Joe Bryant,PF,6-9,185,1954-10-19,US,4,La Salle
30,Bob Carrington,SG,6-6,195,1953-07-03,US,1,Boston College
24,World B. Free,SG,6-2,185,1953-12-09,US,4,Guilford College
4,Steve Malovic,PF,6-10,230,1956-07-21,US,R,"USC, San Diego State"
31,Swen Nater,C,6-11,240,1950-01-14,NL,6,UCLA
40,John Olive,SF,6-7,210,1955-03-01,US,1,Villanova
22,Stan Pietkiewicz,PG,6-5,200,1956-07-14,US,1,Auburn
7,Bingo Smith,SF,6-5,195,1946-02-26,US,10,Tulsa
14,Brian Taylor,PG,6-2,185,1951-06-09,US,7,Princeton
32,Bill Walton,C,6-11,210,1952-11-05,US,4,UCLA
12,Nick Weatherspoon,SF,6-7,195,1950-07-20,US,6,Illinois
33,Jerome Whitehead,C,6-10,220,1956-09-30,US,1,Marquette
21,Sidney Wicks,PF,6-8,225,1949-09-19,US,8,UCLA
20,Freeman Williams,SG,6-4,190,1956-05-15,US,1,Portland State
