Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1988,31,1499,TOT,Total After Trade,21.0,NBA,PG,80.0,28.0,1917.0,5.2,11.2,0.46,0.1,0.5,0.21,5.1,10.7,0.47,3.3,4.0,0.84,0.7,2.9,3.6,8.2,1.9,0.5,2.7,2.9,13.7
1988,6,1499,CLE,Cleveland Cavaliers,21.0,NBA,PG,52.0,3.0,1043.0,4.9,10.7,0.46,0.1,0.3,0.22,4.9,10.4,0.47,3.2,3.9,0.82,0.3,2.1,2.5,6.7,2.1,0.6,2.8,3.3,13.1
1988,24,1499,PHO,Phoenix Suns,21.0,NBA,PG,28.0,25.0,874.0,5.4,11.7,0.46,0.1,0.6,0.2,5.3,11.1,0.48,3.5,4.1,0.86,1.1,3.8,4.9,10.1,1.8,0.3,2.6,2.4,14.5
1989,24,1499,PHO,Phoenix Suns,22.0,NBA,PG,81.0,81.0,3179.0,6.5,12.8,0.5,0.0,0.2,0.09,6.4,12.5,0.51,5.8,6.5,0.88,0.5,3.3,3.9,11.2,1.5,0.3,3.6,2.6,18.7
1990,24,1499,PHO,Phoenix Suns,23.0,NBA,PG,74.0,74.0,2782.0,7.5,15.0,0.5,0.1,0.5,0.2,7.4,14.5,0.51,6.5,7.7,0.84,0.5,3.0,3.5,10.9,1.2,0.2,3.4,1.9,21.5
1991,24,1499,PHO,Phoenix Suns,24.0,NBA,PG,77.0,76.0,2772.0,7.7,14.9,0.52,0.1,0.6,0.2,7.6,14.3,0.53,6.7,8.0,0.84,0.7,2.8,3.5,10.1,2.1,0.1,3.5,2.3,22.2
1992,24,1499,PHO,Phoenix Suns,25.0,NBA,PG,78.0,78.0,2899.0,6.7,14.0,0.48,0.1,0.6,0.22,6.6,13.4,0.49,5.6,6.9,0.81,0.8,2.9,3.6,10.4,1.4,0.3,3.4,2.2,19.1
1993,24,1499,PHO,Phoenix Suns,26.0,NBA,PG,49.0,47.0,1643.0,6.2,12.4,0.5,0.0,0.2,0.12,6.2,12.2,0.5,5.0,6.0,0.82,0.7,1.6,2.3,8.4,1.9,0.4,3.3,2.2,17.3
1994,24,1499,PHO,Phoenix Suns,27.0,NBA,PG,67.0,67.0,2449.0,7.0,14.4,0.49,0.1,0.4,0.22,6.9,14.0,0.49,5.6,6.8,0.82,0.8,1.6,2.5,9.4,1.8,0.1,3.5,1.9,19.7
1995,24,1499,PHO,Phoenix Suns,28.0,NBA,PG,47.0,35.0,1352.0,6.6,13.9,0.47,0.1,0.7,0.15,6.4,13.2,0.49,6.2,7.7,0.81,0.9,2.2,3.1,9.6,1.3,0.5,2.8,2.3,19.4
1996,24,1499,PHO,Phoenix Suns,29.0,NBA,PG,56.0,55.0,2007.0,6.1,12.1,0.51,0.4,1.0,0.37,5.8,11.1,0.52,6.1,7.1,0.86,0.8,3.2,4.0,9.3,1.5,0.2,3.0,2.6,18.8
1997,24,1499,PHO,Phoenix Suns,30.0,NBA,PG,70.0,70.0,2658.0,6.0,12.1,0.5,1.2,2.7,0.44,4.8,9.3,0.51,5.9,7.0,0.85,0.7,2.7,3.4,8.8,1.4,0.2,2.9,1.9,19.1
1998,24,1499,PHO,Phoenix Suns,31.0,NBA,PG,50.0,12.0,1290.0,4.3,9.7,0.45,0.1,0.7,0.15,4.2,9.0,0.47,4.5,5.2,0.87,1.0,3.6,4.6,6.8,0.8,0.2,2.8,1.6,13.3
