Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1993,20,689,NYK,New York Knicks,Hubert Davis,"May 17, 1970",22.0,NBA,SG,50.0,815.0,8.7,0.49,0.08,0.22,1.8,5.7,3.8,15.2,1.4,0.3,14.1,17.0,0.0,1.2,1.2,0.07,-3.2,0.8,-2.4,-0.1
1994,20,689,NYK,New York Knicks,Hubert Davis,"May 17, 1970",23.0,NBA,SG,56.0,1333.0,14.0,0.56,0.26,0.2,2.0,3.7,2.8,20.4,1.6,0.2,12.1,20.6,2.3,1.9,4.2,0.15,1.0,0.5,1.5,1.2
1995,20,689,NYK,New York Knicks,Hubert Davis,"May 17, 1970",24.0,NBA,SG,82.0,1697.0,14.7,0.61,0.47,0.19,2.2,5.3,3.8,15.2,1.1,0.5,11.5,20.4,3.1,1.7,4.8,0.14,2.3,-0.2,2.1,1.8
1996,20,689,NYK,New York Knicks,Hubert Davis,"May 17, 1970",25.0,NBA,SG,74.0,1773.0,14.8,0.63,0.47,0.23,2.4,5.7,4.1,9.6,0.9,0.3,9.2,18.0,4.0,1.6,5.6,0.15,2.3,-0.6,1.7,1.7
1997,28,689,TOR,Toronto Raptors,Hubert Davis,"May 17, 1970",26.0,NBA,SG,36.0,623.0,7.4,0.47,0.38,0.12,2.0,5.6,3.8,8.9,0.9,0.3,9.8,15.5,0.0,0.1,0.1,0.01,-3.2,-1.6,-4.9,-0.5
1998,7,689,DAL,Dallas Mavericks,Hubert Davis,"May 17, 1970",27.0,NBA,SG,81.0,2378.0,12.5,0.55,0.3,0.15,1.6,6.5,4.0,11.4,1.0,0.1,9.7,17.4,3.1,0.3,3.4,0.07,-0.4,-1.6,-2.0,0.0
1999,7,689,DAL,Dallas Mavericks,Hubert Davis,"May 17, 1970",28.0,NBA,SG,50.0,1378.0,10.9,0.55,0.36,0.13,0.2,6.8,3.5,10.8,0.8,0.2,12.0,15.9,1.6,0.0,1.6,0.06,-0.6,-1.8,-2.4,-0.1
2000,7,689,DAL,Dallas Mavericks,Hubert Davis,"May 17, 1970",29.0,NBA,PG,79.0,1817.0,10.8,0.58,0.36,0.17,1.0,6.9,4.0,11.2,0.7,0.1,12.3,13.8,2.5,0.0,2.5,0.07,-0.4,-1.6,-2.0,0.0
2001,31,689,TOT,Total After Trade,Hubert Davis,"May 17, 1970",30.0,NBA,PG,66.0,1692.0,10.0,0.57,0.4,0.14,1.9,7.3,4.6,10.3,1.1,0.0,15.0,14.5,1.6,0.6,2.2,0.06,-0.6,-1.1,-1.7,0.1
2001,7,689,DAL,Dallas Mavericks,Hubert Davis,"May 17, 1970",30.0,NBA,PG,51.0,1261.0,9.1,0.56,0.42,0.13,1.6,7.9,4.8,7.2,1.2,0.1,14.4,14.0,0.8,0.7,1.5,0.06,-1.1,-0.6,-1.7,0.1
2001,30,689,WAS,Washington Wizards,Hubert Davis,"May 17, 1970",30.0,NBA,PG,15.0,431.0,12.8,0.6,0.32,0.18,2.7,5.5,4.1,19.4,0.7,0.0,16.3,15.8,0.8,-0.1,0.7,0.08,0.8,-2.6,-1.8,0.0
2002,30,689,WAS,Washington Wizards,Hubert Davis,"May 17, 1970",31.0,NBA,SG,51.0,1231.0,10.7,0.54,0.39,0.06,0.7,6.7,3.6,13.9,1.2,0.2,11.6,14.2,1.3,0.4,1.7,0.06,-0.3,-0.5,-0.8,0.4
2003,9,689,DET,Detroit Pistons,Hubert Davis,"May 17, 1970",32.0,NBA,SG,43.0,328.0,8.8,0.48,0.46,0.08,2.1,11.0,6.5,15.1,0.8,0.0,11.9,13.6,0.2,0.3,0.5,0.07,-2.5,-0.3,-2.8,-0.1
2004,31,689,TOT,Total After Trade,Hubert Davis,"May 17, 1970",33.0,NBA,SG,17.0,78.0,-2.3,0.17,0.09,0.18,3.0,9.1,6.1,7.4,1.4,0.0,20.2,8.9,-0.2,0.1,-0.1,-0.06,-10.0,0.5,-9.5,-0.1
2004,9,689,DET,Detroit Pistons,Hubert Davis,"May 17, 1970",33.0,NBA,SG,3.0,23.0,-7.7,0.0,0.5,0.0,0.0,0.0,0.0,6.3,0.0,0.0,33.3,6.1,-0.1,0.0,-0.1,-0.11,-11.1,-0.5,-11.6,-0.1
2004,3,689,NJN,New Jersey Nets,Hubert Davis,"May 17, 1970",33.0,NBA,SG,14.0,55.0,0.0,0.2,0.0,0.22,4.3,12.8,8.6,7.8,2.0,0.0,16.8,10.1,-0.1,0.1,0.0,-0.04,-9.5,0.9,-8.6,-0.1
