Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2004,13,169,LAC,Los Angeles Clippers,Matt Barnes,"March 9, 1980",23.0,NBA,SF,38.0,9.0,724.0,4.6,10.1,0.46,0.1,0.9,0.15,4.4,9.1,0.49,3.1,4.4,0.7,3.9,7.1,11.0,3.5,2.0,0.2,3.2,5.5,12.5,,101.0,108.0
2005,26,169,SAC,Sacramento Kings,Matt Barnes,"March 9, 1980",24.0,NBA,SF,43.0,9.0,715.0,4.5,10.9,0.41,0.4,1.6,0.23,4.1,9.3,0.44,2.5,4.2,0.6,3.5,6.1,9.6,4.1,2.2,0.5,3.2,5.8,11.8,,95.0,108.0
2006,31,169,TOT,Total After Trade,Matt Barnes,"March 9, 1980",25.0,NBA,"PF,SF",56.0,5.0,631.0,5.8,11.5,0.5,0.2,1.2,0.2,5.5,10.3,0.54,2.6,3.9,0.68,4.0,6.0,10.0,2.3,1.6,0.6,2.5,8.2,14.4,,108.0,109.0
2006,20,169,NYK,New York Knicks,Matt Barnes,"March 9, 1980",25.0,NBA,SF,6.0,5.0,93.0,6.3,17.1,0.37,0.6,2.3,0.25,5.7,14.8,0.38,1.7,2.3,0.75,4.0,9.7,13.6,3.4,2.3,0.0,3.4,4.5,14.8,,88.0,108.0
2006,23,169,PHI,Philadelphia 76Ers,Matt Barnes,"March 9, 1980",25.0,NBA,PF,50.0,0.0,538.0,5.7,10.6,0.54,0.2,1.1,0.18,5.5,9.5,0.58,2.8,4.1,0.67,3.9,5.4,9.3,2.1,1.5,0.7,2.3,8.9,14.3,,112.0,109.0
2007,10,169,GSW,Golden State Warriors,Matt Barnes,"March 9, 1980",26.0,NBA,PF,76.0,23.0,1813.0,7.3,16.8,0.44,2.8,7.7,0.37,4.5,9.0,0.5,2.4,3.3,0.73,2.4,6.9,9.3,4.2,1.9,1.1,2.8,5.0,19.9,,107.0,107.0
2008,10,169,GSW,Golden State Warriors,Matt Barnes,"March 9, 1980",27.0,NBA,PF,73.0,18.0,1414.0,6.4,15.2,0.42,1.8,6.2,0.29,4.6,9.0,0.51,2.0,2.7,0.75,3.2,7.9,11.1,4.8,1.6,1.2,2.9,5.5,16.7,,105.0,108.0
2009,24,169,PHO,Phoenix Suns,Matt Barnes,"March 9, 1980",28.0,NBA,PF,77.0,40.0,2082.0,6.8,16.2,0.42,2.8,8.2,0.34,4.0,8.0,0.5,2.4,3.3,0.74,1.9,8.2,10.1,5.1,1.2,0.6,3.1,5.0,18.9,,107.0,111.0
2010,22,169,ORL,Orlando Magic,Matt Barnes,"March 9, 1980",29.0,NBA,SF,81.0,58.0,2097.0,6.7,13.9,0.49,1.6,5.1,0.32,5.1,8.7,0.59,2.7,3.6,0.74,2.6,8.4,11.1,3.3,1.5,0.7,2.8,4.6,17.8,,111.0,103.0
2011,14,169,LAL,Los Angeles Lakers,Matt Barnes,"March 9, 1980",30.0,NBA,SF,53.0,0.0,1020.0,6.8,14.5,0.47,1.8,5.5,0.32,5.0,8.9,0.56,3.1,4.0,0.78,3.8,8.0,11.8,3.7,2.0,1.1,3.0,6.6,18.5,,112.0,103.0
2012,14,169,LAL,Los Angeles Lakers,Matt Barnes,"March 9, 1980",31.0,NBA,SF,63.0,16.0,1440.0,6.4,14.2,0.45,1.7,5.1,0.33,4.7,9.2,0.52,3.5,4.7,0.74,3.6,9.1,12.7,4.6,1.3,1.8,2.7,5.6,18.1,,112.0,103.0
